ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,err
BRG,1701,Basic Materials,"Borregaard ASA develops, produces, and sells biomaterials, biochemicals, and fine chemicals in Norway, rest of Europe, the United States, Asia, and internationally. It operates through three segments: BioSolutions, BioMaterials, and Fine Chemicals. The BioSolutions segment provides biopolymers that are used as binding and dispersing agents for a range of applications, such as construction, industrial binders, agrochemicals, and batteries; and biovanillin for flavor and fragrance companies, as well as for the food and beverage industry. This segment also engages in chemicals trading activities. The BioMaterials segment offers specialty cellulose for use as a raw material in the production of cellulose ethers, cellulose acetate, and other specialty products, as well as provides cellulose fibrils for industrial applications. The Fine Chemicals segment provides pharma intermediates and bioethanol. Borregaard ASA was incorporated in 2012 and is headquartered in Sarpsborg, Norway.",Sarpsborg,47 69 11 80 00,Norway,[],http://www.borregaard.com,1,Hjalmar Wessels vei 6,Specialty Chemicals,PO Box 162,122,122,100.16558,0.01885246,0.6183,,124.6,,51492,,122,109.944115,2.3,122,,51492,,,,2.3,1592265600,0,,,119.6,2,NOK,28281,,,,12389394432,,,84122,2.3812022,119.6,124.4,,721000,28281,124.6,23.252337,,,75,124.2,False,0.0189,391200,124.6,OSL,BORREGAARD ASA,Borregaard ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BRG.OL,finmb_216329283,no_market,,2.777,,0.0715,14.362,0.29999995,,5.35,,99593200,,,29.38,,,,1577750400,0.56839,372000000,3.728,,0.18708742,4.2341733,0.07204,1640908800,1593475200,,,91484295,14448366592,,,,,,-0.172,,,,,,,,https://logo.clearbit.com/borregaard.com,1103,33.3691,47 69 11 87 70,,,,,
CRAYON,0484,Technology,"Crayon Group Holding ASA, together with its subsidiaries, operates as an IT advisory company in software and digital transformation services. It operates through Software & Cloud Direct, Software & Cloud Channel, Software & Cloud Economics, and Consulting segments. The company offers license management and consultancy services; SAM as a Service, a single hosted managed service that enables its clients to control software and technology assets across their IT environment; and SAM-iQ, which provides a centralized program interface that allows its customers to analyze, review, and manage their SAM environment. It also provides software and cloud economic services, including license management and solutions across large and mid-market enterprises, public sector, and cloud and service provider markets, as well as deployment planning services. In addition, the company offers consulting services in the areas of cloud architecture and deployment solutions, licensing environment optimization and management, security, datacenter systems, infrastructure and networking, backup and data recovery, servers environments, and storage and virtualization solutions; and managed services, such as outsourced license lifecycle management, project management, audit simulation and support, and infrastructure management and support services. Further, it provides training, events, and development programs for IT professionals. It has operations in the Nordics, Europe, the Asia-Pacific, the Middle East and Africa, and the United States. The company is headquartered in Oslo, Norway.",Oslo,47 22 89 10 00,Norway,[],http://www.crayon.com,1,Sandakerveien 114A,Information Technology Services,,94.6,95.2,59.042755,,0,,102.8,,294137,,94.6,69.0853,,95.2,,294137,,,,,,1.349002,,,93.8,2,NOK,478978,,,,8100306944,,,213094,0.5335244,93.8,100.2,,0,478978,102.8,93.27103,,,27.6,99.7,False,,0,102.8,OSL,CRAYON GROUP HLD,Crayon Group Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,CRAYON.OL,finmb_46100086,no_market,,0.454,,-0.00343,39.697,1.776025,,1.07,,81165400,,,8.798,,,,1577750400,0.21603,-52075000,-0.691,,0.18708742,11.343487,0.60696,1640908800,1585612800,,,34221159,6888569856,,,,,,,,,,,,,,https://logo.clearbit.com/crayon.com,1500,,,,,,,
DNB,0191,Financial Services,"DNB ASA provides various banking products and services for retail and corporate customers in Norway and internationally. The company offers savings and investment products, including saving accounts, home savings products, equities, retirement savings, fixed rate deposits, exchange traded products, bonds and commercial papers, and asset management services; and loans, such as home mortgages, car and consumer loans, trade finance, and export financing, as well as overdraft facilities, bank guarantees, and leasing and factoring services. It also provides various cards; a range of insurance products comprising car, boat, motor vehicle, household contents, home, holiday home, travel, and life insurance products, as well as pet insurance for cats and dogs; and pension plans. In addition, the company offers investment banking advisory and financing services, such as mergers and acquisitions, and equity and debt capital markets for corporations and private equity firms; and foreign exchange and treasury, cash management, research, commodities, equities, corporate finance, interest rates, securities, real estate broking, and internet and mobile banking services. It offers its products and services to various sectors, including energy; financial institutions; healthcare; manufacturing; packaging and forest products; seafood; shipping, offshore, and logistics; and telecom, media, and technology. The company distributes its products and services through its branches, in-store postal and banking outlets, and post office counters. DNB ASA was founded in 1822 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.dnb.no,1,Dronning Eufemias gate 30,Banks—Regional,BjÃ¸rvika,146.4,146.35,134.38232,0.06147541,0,,146.7,,1421529,,146.4,138.34265,9,146.35,,1421529,,,,,1588118400,0.975609,,,144.3,2,NOK,405482,,,,226043953152,,,2851818,4.628444,144.3,145.9,,246400,405482,178.1,9.798388,,,94.26,145.8,False,,327700,146.7,OSL,DNB ASA,DNB ASA,Europe/Oslo,CEST,False,7200000,EQUITY,DNB.OL,finmb_9778651,no_market,,19.977,,0.43046,,0.006211281,,14.88,,1550370048,,,154.097,,,,1577750400,0.37327,19740000256,12.557,,0.18708742,0.94615734,0.42226002,1640908800,1593475200,,,889201447,975652782080,,,,,,-0.182,,,,,,,,https://logo.clearbit.com/dnb.no,9020,11.611053,,,,,,
DNO,0250,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East and the North Sea. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. As of December 31, 2019, its proven reserves consisted of 205.6 million barrels of oil equivalent (MMboe); proven and probable reserves included 344.8 MMboe; and proven, probable, and possible reserves consisted of 539.9 MMboe. The company was founded in 1971 and is headquartered in Oslo, Norway.",Oslo,47 23 23 84 80,Norway,[],http://www.dno.no,1,Dokkveien 1,Oil & Gas E&P,Aker Brygge,5.836,5.83,5.6782517,0.0075394106,,,5.92,,9323803,,5.836,5.951,0.044,5.83,,9323803,,,,0.4,1571961600,1.96806,,,5.778,2,NOK,2211882,,,,5717988352,,,8389371,7.3363976,5.778,5.872,,728400,2211882,14.755,17.763636,,,2.5,5.854,False,0.0679,162000,5.92,OSL,DNO ASA,DNO ASA,Europe/Oslo,CEST,False,7200000,EQUITY,DNO.OL,finmb_878127,no_market,,8.12,,-0.19066,19.87,-0.48671025,,0.33,,975433024,,,0.988,,,,1577750400,0.14917,-148600000,-0.15,,0.18708742,5.9331985,0.40448,1640908800,1593475200,,,536593797,6328609280,,1150416000,4:1,,,,,,,,,,,https://logo.clearbit.com/dno.no,1318,,47 23 23 84 81,,,,,
EPIC-ME,059818,Energy,"Epic Gas Ltd, together with its subsidiaries, owns and operates a fleet of pressurized gas carriers in Southeast Asia, Europe, West Africa, and the United States. As of February 13, 2020, it operated a fleet of 44 vessels that provide seaborne services for the transportation of liquefied petroleum gas and petrochemicals, which serve as a link in the international gas and petrochemical supply chains of various oil and commodity trading houses. The company also offers commercial and technical management services for various ship owners. In addition, it engages in vessel owning and chartering activities. Epic Gas Ltd was incorporated in 2012 and is headquartered in Singapore. Epic Gas Ltd is a subsidiary of BW Group Limited.",Singapore,65 6230 7801,Singapore,[],http://www.epic-gas.com,1,8 Eu Tong Sen Street,Oil & Gas Midstream,"No.22-89, The Central",16.7,17.5,13.860145,,0,,17.5,,42,,16.7,14.176471,,17.5,,42,,,,,,0.321138,,,17.5,2,NOK,264,,,,1865500032,,,164,10.325214,17.5,20.2,,,264,17.5,,,,13.4,19,False,,,17.5,OSL,EPIC GAS LTD,Epic Gas Ltd.,Europe/Oslo,CEST,False,7200000,EQUITY,EPIC-ME.OL,finmb_254340014,no_market,,11.669,,-0.01735,50.617,0.07142854,,,,106600000,,,2.727,,,,1577750400,0,-3134591,-0.029,,0.18708742,6.4173083,0.83456004,1640908800,1585612800,,,17242550,2108220032,,,,,,,,,,,,,,https://logo.clearbit.com/epic-gas.com,,,,,,,,
ENDUR,5160,Industrials,"EndÃºr ASA engages in the aquaculture, maritime, and energy businesses in Norway and internationally. The company offers maritime service, and technical ship maintenance and services; and produces integrated concrete feed and work barges for the aquaculture industry. It also engages in the maintenance, modification, installation, fabrication, and reconstruction of oil and gas installations for onshore and offshore. The company was formerly known as Bergen Group ASA and changed its name to EndÃºr ASA in February 2019. EndÃºr ASA was founded in 2007 and is headquartered in Bergen, Norway.",Bergen,47 55 54 24 00,Norway,[],http://www.endur.no,1,DamsgArdsveien 229,Conglomerates,LaksevAg,1.465,1.48,1.0109565,,0,,1.48,,2170700,,1.465,1.6277941,,1.48,,2170700,,,,,,,,,1.45,4,NOK,259371,,,,413312896,,,3075930,0.7813512,1.45,1.47,,0,259371,3.2,,,,0.532,1.455,False,,0,1.48,OSL,ENDUR ASA,EndÃºr ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ENDUR.OL,finmb_22783429,no_market,,0.706,,-0.01554,-59.504,0.20901644,,,,283091008,,,0.546,,,,1577750400,0.17669001,-15706000,-0.039,,0.18708742,2.6739926,0.70949996,1640908800,1585612800,,,87390757,373330336,,,,,,0.402,,,,,,,,https://logo.clearbit.com/endur.no,249,,,,,,,
ELE,0250,Basic Materials,"Element ASAengages  acquisition and development of mineral resources. It holds interests in the nickel-cobalt-mineralized areas on the island of Mindoro in the Philippines. The company's main assets are currently the Mindoro Nickel Project, PALCapital Ventures. The company was formerly known as Intex Resources ASA and changed its name to Element ASA in October 2017. Element ASA was incorporated in 1996 and is headquartered in Oslo, Norway.",Oslo,47 23 08 23 08,Norway,[],http://www.elementasa.com,1,Grundingen 2,Other Industrial Metals & Mining,,5.39,5.4,4.5104856,,0,,5.43,,243212,,5.39,5.362353,,5.4,,243212,,,,,,3.890824,,,5.1,2,NOK,141422,,,,98088928,,,849569,628.7752,5.1,5.24,,0,141422,9.5,,,,1.22,5.17,False,,0,5.43,OSL,ELEMENT ASA,Element ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ELE.OL,finmb_22929109,no_market,,734.115,,0,-39.338,1.8888888,,,,18899600,,,0.229,,,,1577750400,0.00629,-5625000,-0.457,,0.18708742,22.663755,0.28688,1640908800,1585612800,,,11864880,114522000,,1556150400,1:20,,,,,,,,,,,https://logo.clearbit.com/elementasa.com,2,,,,,,,
ELK,0277,Basic Materials,"Elkem ASA manufactures and sells metals and materials in Norway and internationally. The company operates through four segments: Silicones, Silicon Materials, Foundry Products and Carbon. Its products include silicones, ferrosilicones, foundry alloys, carbon materials, and microsilica products. The company also engages in sale of electric power, as well as supplies heat in the form of steam and hot water. Its products are used in chemical applications, as well as construction, refractory, and oilfield industries. The company was founded in 1904 and is headquartered in Oslo, Norway. Elkem ASA is a subsidiary of Bluestar Elkem International Co., Ltd. S.A.",Oslo,47 22 45 01 00,Norway,[],http://www.elkem.com,1,Drammensveien 169,Specialty Chemicals,,18.04,18.07,18.22355,0.03325942,0.75949997,,18.14,,496488,,18.04,18.784119,0.6,18.07,,496488,,,,0.6,1589155200,2.220063,,,17.87,2,NOK,146858,,,,10492645376,,,789350,0.4713677,17.87,18.05,,0,146858,26.4,4.1022725,,,10.92,18.03,False,0.0332,0,18.14,OSL,ELKEM ASA,Elkem ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ELK.OL,finmb_731504,no_market,,0.86,,0.02066,8.396,-0.11643839,,4.4,,581310016,,,21.744,,,,1577750400,0.29434,460000000,0.79,,0.18708742,0.83011407,0.58916,1640908800,1593475200,,,238610457,19150837760,,,,,,,,,,,,,,https://logo.clearbit.com/elkem.com,6370,22.848099,47 22 45 01 55,,,,,
ELOP-ME,2316,Technology,"Elop AS designs and develops smart products and solutions for the inspection, asset management, and structural health monitoring of concrete structures. It offers Cobri, a tool that gathers assessment data on critical infrastructure such as bridges, tunnels, and buildings and provides it to owners of critical concrete infrastructure. The company was founded in 2013 and is based in Hamar, Norway.",Hamar,47 41 64 13 00,Norway,[],http://www.elop.no,1,Nordvikvegen 50,Scientific & Technical Instruments,,5.02,5.01,5.1872354,,0,,5.14,,87783,,5.02,5.1872354,,5.01,,87783,,,,,,,,,4.97,2,NOK,34212,,,,361356864,,,427090,,4.97,5.139,,,34212,6.2,,,,4.82,5.05,False,,,5.14,OSL,ELOP AS,Elop AS,Europe/Oslo,CEST,False,7200000,EQUITY,ELOP-ME.OL,finmb_622946747,no_market,,,,0,,-0.030660808,,,,70302896,,,,,,,,,,,,0.18708742,,,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/elop.no,,,,,,,,
EXTX-ME,0379,Healthcare,"EXACT Therapeutics AS, a clinical stage biotech company, develops a technology platform for targeted therapeutic enhancement, Acoustic Cluster Therapy (ACT). The ACT sonoporation is an approach to ultrasound-mediated, targeted drug enhancement with the potential to amplify the clinical utility of a range of therapeutic agents across various indications, including within oncology (chemotherapy and immunotherapy), infectious diseases, and neurological conditions. The company was founded in 2012 and is based in Oslo, Norway.",Oslo,,Norway,[],http://www.exact-tx.com,1,Ullernchausseen 64,Biotechnology,,36,35.5,36.925335,,0,,35.5,,1845,,36,36.925335,,35.5,,1845,,,,,,,,,33,2,NOK,16551,,,,988937408,,,13854,133.13736,33,35,,,16551,53.592,,,,26,33.005,False,,,35.5,OSL,EXACT THERAPEUTICS,EXACT Therapeutics AS,Europe/Oslo,CEST,False,7200000,EQUITY,EXTX-ME.OL,finmb_582869177,no_market,,145.241,,-2.01696,-68.736,0.1469332,,,,29967800,,,1.404,,,,1577750400,,-14981884,-0.5,,0.18708742,23.504272,,1640908800,,,,29885039,1078839040,,1595808000,250:1,,,,,,,,,,,https://logo.clearbit.com/exact-tx.com,4,,,,,,,
FJORD,6900,Industrials,"Fjord1 ASA, together with its subsidiaries, operates passenger ferries and other passenger boats in Norway. The company operates in four segments: Ferry, Passenger Boat, Catering, and Tourism. The company's ferries and passenger boats transport vehicles and passengers. It also offers catering and tourism, shipyard, and travel agency services; and manages properties. The company was founded in 2001 and is headquartered in FlorÃ¸, Norway. Fjord1 ASA is a subsidiary of Havilafjord AS.",FlorÃ¸,47 57 75 70 00,Norway,[],http://www.fjord1.no,1,Strandavegen 15,Marine Shipping,,42.8,42.8,41.886955,0.06308412,1.6071,,43,,30060,,42.8,44.82353,2.7,42.8,,30060,,,,,1557878400,0.85,,,42.8,2,NOK,661,,,,4296112640,,,31496,1.5352311,42.8,43,,0,661,46.9,12.250712,,,31,42.9,False,,0,43,OSL,FJORD1 ASA,Fjord1 ASA,Europe/Oslo,CEST,False,7200000,EQUITY,FJORD.OL,finmb_22655336,no_market,,3.633,,0.05979,13.049,0.13157892,,3.51,,99909600,,,22.394,,,,1577750400,0.11310001,167319008,1.675,,0.18708742,1.9201573,0.85439,1640908800,1585612800,,,14465911,10166533120,,,,,,,,,,,,,,https://logo.clearbit.com/fjord1.no,1056,25.671642,,,,,,
EQNR,4035,Energy,"Equinor ASA, an energy company, explores for, produces, transports, refines, and markets petroleum and petroleum-derived products, and other forms of energy in Norway and internationally. The company operates through Development & Production Norway; Development & Production Brazil; Development & Production International; Marketing, Midstream & Processing; New Energy Solutions; Technology, Projects & Drilling; Exploration; and Global Strategy & Business Development segments. It also transports, processes, manufactures, markets, and trades in oil and gas commodities, such as crude and condensate products, gas liquids, natural gas, and liquefied natural gas; markets and trades in electricity and emission rights; and operates refineries, processing and power plants, and terminals. In addition, the company develops wind, and carbon capture and storage projects, as well as offers other renewable energy and low-carbon energy solutions. As of December 31, 2019, it had proved oil and gas reserves of 6,004 million barrels of oil equivalent. The company was formerly known as Statoil ASA and changed its name to Equinor ASA in May 2018. Equinor ASA was founded in 1972 and is headquartered in Stavanger, Norway.",Stavanger,47 51 99 00 00,Norway,[],http://www.equinor.com,1,Forusbeen 50,Oil & Gas Integrated,,150.3,149.5,140.66043,0.004723885,,,150.95,,2899875,,150.3,139.86029,0.71,149.5,,2899875,,,,3.3,1597363200,0.731707,,,149.05,2,NOK,1085346,,,,488350384128,,,3912663,9.349819,149.05,150.35,,,1085346,187.2,,,4.95,95.2,150.3,False,0.022,,150.95,OSL,EQUINOR ASA,Equinor ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EQNR.OL,finmb_989228,no_market,,9.774,,-0.04413,35.56,0.008828521,,,,3248090112,,,10.863,,,,1577750400,0.19812,-2304999936,-0.697,,0.18708742,13.84056,0.67271006,1640908800,1593475200,,,1016182440,510496800768,,1147219200,5:1,,,,,,,,,,,https://logo.clearbit.com/equinor.com,21412,,,,,,,
FKRAFT,5147,Utilities,"Fjordkraft Holding ASA, together with its subsidiaries, engages in the purchase, sale, and portfolio management of electrical power to households, private and public companies, and municipalities in Norway. It operates through Consumer and Business segments. The Consumer segment sells electrical power and related services to private consumers. The Business segment sells electrical power and related services to business consumers. The company also provides mobile phone services to private customers. Fjordkraft Holding ASA was founded in 2001 and is headquartered in Bergen, Norway.",Bergen,47 23 00 61 00,Norway,[],http://www.fjordkraft.no,1,Folke Bernadottes Vei 38,Utilities—Regulated Electric,,82.5,83,73.95507,0.036363635,0.5528,,87.3,,97792,,82.5,77.973526,3,83,,97792,,,,3,1587600000,0.182557,,,83,2,NOK,168269,,,,8847975424,,,232718,1.5029302,83,84.8,,0,168269,87.3,,,,42.1,84.6,False,0.0373,0,87.3,OSL,FJORDKRAFT HLDG,Fjordkraft Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,FKRAFT.OL,finmb_551325968,no_market,,1.38,,0.07124,13.696,0.8612716,,,,104586000,,,11.131,,,,1577750400,0.41085997,419416000,3.982,,0.18708742,7.6003957,0.3204,1640908800,1585612800,,,85416677,8125371904,,,,,,0.366,,,,,,,,https://logo.clearbit.com/fjordkraft.no,293,21.245604,,,,,,
EPR,1661,Consumer Defensive,"Europris ASA operates as a discount variety retailer in Norway. The company sells own brand, private-label, and branded merchandise, including personal care, animal, home and interior, leisure time, clothes and shoes, fix home, household, garn, and enterprise assortment products. As of March 26, 2020, it operated 265 stores. The company was formerly known as EPH II AS and changed its name to Europris ASA in May 2015. The company was founded in 2011 and is headquartered in RolvsÃ¸y, Norway.",RolvsÃ¸y,,Norway,[],http://www.europris.no,1,Dikeveien 57,Discount Stores,,43.1,43.44,37.864174,0.04524362,0.58669996,,44.32,,358144,,43.1,45.55706,1.95,43.44,,358144,,,,1.95,1588204800,0.771777,,,43.1,2,NOK,239197,,,,7289403392,,,684772,1.0460052,43.1,43.94,,79600,239197,50.75,16.972973,,,23.6,43.92,False,0.0452,95300,44.32,OSL,EUROPRIS ASA,Europris ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EPR.OL,finmb_293420901,no_market,,1.517,,0.078049995,11.868,0.7701149,,2.59,,165819008,,,11.468,,,,1577750400,0.53228,543936000,3.28,,0.18708742,3.833275,0.03046,1640908800,1593475200,,,159459440,10572878848,,,,,,1.399,,,,,,,,https://logo.clearbit.com/europris.no,1814,13.402439,,,,,,
FLNG,HM08,Energy,"Flex LNG Ltd., through its subsidiaries, engages in the seaborne transportation of liquefied natural gas (LNG) worldwide. As of December 31, 2019, it owned and operated six LNG carriers. It also provides chartering and management services. Flex LNG Ltd. was founded in 2006 and is based in Hamilton, Bermuda.",Hamilton,441 295 6935,Bermuda,[],http://www.flexlng.com,1,Par-La-Ville Place,Oil & Gas Midstream,4th Floor 14 Par-La-Ville Road,51.05,50.45,52.49616,0.0039177276,1.8944,,51.25,,49153,,51.05,49.12706,0.2,50.45,,49153,,,,1.87,1583798400,0.586409,,,50.45,2,NOK,10606,,,,2740701952,,,121908,19.714727,50.45,50.85,,219600,10606,108.2,361.78574,,,38.1,50.5,False,0.0363,100000,51.25,OSL,FLEX LNG LTD (BM),Flex LNG Ltd.,Europe/Oslo,CEST,False,7200000,EQUITY,FLNG.OL,finmb_36151890,no_market,,24.717,,0.03976,34.548,-0.36903304,,0.14,,54110600,,,15.136,,,,1577750400,0.19859,5528000,0.101,,0.18708742,3.3463268,0.4586,1640908800,1585612800,,,28836612,3436167424,,1552262400,1:10,,,,,,,,,,,https://logo.clearbit.com/flexlng.com,8,501.48514,441 295 3494,,,,,
RISH,5058,Industrials,"GC Rieber Shipping ASA engages in the design, development, construction, and maritime operation of specialized vessels within the offshore/shipping business in Norway, Great Britain, Africa, and the Netherlands. It operates through Subsea and Ice/Support segments. The Subsea segment owns and operates subsea vessels that are primarily used for construction, inspection, maintenance, and repair of subsea installations. The Ice/Support segment owns and operates a vessel within ice/support that provides services for scientific expeditions and logistics operations, as well as for the oil and gas sector. The company operates 11 vessels and has direct and indirect ownership of 23 advanced special purpose vessels. It also provides marine ship management and project development services. The company was founded in 1879 and is headquartered in Bergen, Norway. GC Rieber Shipping ASA is a subsidiary of GC Rieber AS.",Bergen,47 55 60 68 00,Norway,[],http://www.gcrieber-shipping.com,1,Solheimsgaten 15,Marine Shipping,,6.25,5.9,6.4994926,0.08,0,,6,,2560,,6.25,6.0941176,0.5,5.9,,2560,,,,,1428624000,0.991289,,,5.65,2,NOK,6793,,,,516196800,,,6330,2.5581527,5.65,6,,110000,6793,11.5,,,,4.5,5.85,False,,100000,6,OSL,GC RIEBER SHIPPING,GC Rieber Shipping ASA,Europe/Oslo,CEST,False,7200000,EQUITY,RISH.OL,finmb_884214,no_market,,8.148,,-0.90569,20.269,-0.14864862,,,,86032800,,,20.62,,,,1577750400,0.01897,-182755008,-2.124,,0.18708742,0.29097962,0.92489,1640908800,1585612800,,,8121469,1644138240,,1176422400,10:1,,,,,,,,,,,https://logo.clearbit.com/gcrieber-shipping.com,32,,,,,,,
GENT-ME,1596,Healthcare,"Gentian Diagnostics AS researches, develops, and produces biochemical reagents for use in medical diagnostics and research in Europe, Asia, the United States. It offers in-vitro diagnostic (IVD) and molecular diagnostic tests for medical laboratories and universities. The company's products include Plasma Calprotectin, a particle enhanced turbidimetric immunoassay (PETIA) for quantitative analysis of total calprotectin in plasma; and Cystatin C, a PETIA for use on a range of clinical chemistry analyzers. . It also offers Canine CRP, an IVD test for the quantitative determination of Canine CRP in dog serum plasma; PreTect HPV-Proofer, an assay for the qualitative detection of the presence of human papillomavirus; and PreTect SEE, a control test for NILM cytology. The company was founded in 2001 and is headquartered in Moss, Norway.",Moss,47 99 33 99 05,Norway,[],http://www.gentian.com,1,Bjornasveien 5,Diagnostics & Research,,61,59,52.21884,,0,,61,,6748,,61,58.264706,,59,,6748,,,,,,0.736526,,,59,2,NOK,59040,,,,924161984,,,7333,14.797956,59,61,,,59040,66.8,,,,38,59,False,,,61,OSL,GENTIAN DIAGNOSTIC,Gentian Diagnostics AS,Europe/Oslo,CEST,False,7200000,EQUITY,GENT-ME.OL,finmb_413765020,no_market,,12.525,,-0.61030996,-31.242,0.2269938,,,,15402700,,,13.222,,,,1577750400,0.26522,-38115000,-2.477,,0.18708742,4.5378914,0.48766997,1640908800,1585612800,,,6773345,782201792,,,,,,,,,,,,,,https://logo.clearbit.com/gentian.com,46,,,,,,,
GJF,0191,Financial Services,"Gjensidige Forsikring ASA operates as a general insurance company in Norway, Denmark, Sweden, Lithuania, Latvia, and Estonia. The company operates through six segments: General Insurance Private, General Insurance Commercial, General Insurance Denmark, General Insurance Sweden, General Insurance Baltics, and Pension. It offers various insurance products, including motor vehicles, property, leisure boats, and accident and health insurance products, as well as insurance products in the areas of liability, commercial, municipality, and agriculture, coastal and marine/transport, and defined contribution scheme; travel; and life and pet insurance products. The company also provides pension and savings products comprising occupational pensions, private pension savings, spouse/cohabitant pension, child's pension, and individual disability pensions. It distributes its products through its distribution network, as well as through agents, partnerships, brokers, telephone, digital solutions, and sales offices to private and commercial customers. The company is headquartered in Oslo, Norway. Gjensidige Forsikring ASA is a subsidiary of Gjensidigestiftelsen.",Oslo,47 91 50 31 00,Norway,[],http://www.gjensidige.no,1,Schweigaardsgate 21,Insurance—Diversified,,189.6,189.6,184.61485,0.037447255,0,,190.1,,270326,,189.6,186.16765,7.1,189.6,,270326,,,,,1585267200,0.430313,,,188.7,2,NOK,68699,,,,94900002816,,,496972,3.440787,188.7,189.8,,118100,68699,208.8,19.936974,,,145.25,189.7,False,,96300,190.1,OSL,GJENSIDIGE FORSIKR,Gjensidige Forsikring ASA,Europe/Oslo,CEST,False,7200000,EQUITY,GJF.OL,finmb_4497069,no_market,,1.922,,0.14283,10.08,0.1288085,,9.52,,500000000,,,56.1,,,,1577750400,0.30024,3939399936,7.878,,0.18708742,3.3832443,0.6395,1640908800,1593475200,,,497370053,53000290304,,,,,,0.455,,,,,,,,https://logo.clearbit.com/gjensidige.no,3620,24.092411,,,,,,
GOGL,HM 08,Industrials,"Golden Ocean Group Limited, a shipping company, owns and operates a fleet of dry bulk vessels comprising of Newcastlemax, Capesize, Panamax, and Ultramax vessels worldwide. It owns and operates dry bulk vessels in the spot and time charter markets. The company transports bulk commodities, such as ores, coal, grains, and fertilizers. As of March 12, 2020, it owned a fleet of 67 vessels. Golden Ocean Group Limited is based in Hamilton, Bermuda.",Hamilton,441 295 6935,Bermuda,[],http://www.goldenocean.bm,1,Par-la-Ville Place,Marine Shipping,14 Par-la-Ville Road PO Box HM 1593,37.2,36.9,35.954784,0.008064516,,,37.64,,738304,,37.2,36.06353,0.3,36.9,,738304,,,,2.24,1583366400,1.718681,,,36.88,2,NOK,1187044,,,,5355731968,,,1063815,7.4481683,36.88,37.38,,470900,1187044,59.6,,,,26.5,37.34,False,0.0608,400000,37.64,OSL,GOLDEN OCEAN GROUP,Golden Ocean Group Limited,Europe/Oslo,CEST,False,7200000,EQUITY,GOGL.OL,finmb_262789605,no_market,,9.221,,-0.16155,35.511,-0.21343029,,,,143278000,,,9.389,,,,1577750400,0.2715,-116166000,-0.818,,0.18708742,3.9812548,0.36176997,1640908800,1585612800,,,91444125,6630398464,,1470009600,1:5,,,,,,,,,,,https://logo.clearbit.com/goldenocean.bm,37,,441 295 3494,,,,,
