ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,Industrials,57.8,57.4,57.8,33,,1281.48,0.013999999999999999,0.0105,0.0433,-0.3348,-0.1551
FIVEPG,5th Planet Games,Communication services,1.86,1.86,1.87,440,LP,197.22,-0.0339,-0.0288,0.3345,5.350599999999999,2.0915
AASB-ME,Aasen Sparebank,Equity certificates,114.0,112.0,117.0,0,LP,115.59,,,0.0179,-0.051399999999999994,0.07339999999999999
ASC,ABG Sundal Collier Holding,Financials,4.57,4.56,4.57,59,,2015.27,0.0044,0.0518,0.029300000000000003,0.2146,0.5144
ADE,Adevinta,Communication services,155.3,155.2,155.4,2197,,106358.68,0.0111,-0.0425,0.5839,0.49329999999999996,0.499
ADSC-ME,ADS Crude Carriers,Energy,18.1,18.0,18.1,15,,423.36,0.0028000000000000004,-0.0109,-0.0321,-0.2561,0.092
AEGA,Aega,Utilities,1.3,1.3,1.34,13,,62.47,-0.0152,-0.0152,0.0833,0.1207,0.0231
AFG,AF Gruppen,Industrials,174.8,174.6,175.0,70,,18355.57,-0.0034000000000000002,-0.0034000000000000002,-0.028900000000000002,0.0301,0.142
AKA,Akastor,Energy,6.55,6.56,6.6,109,,1779.04,0.0364,0.0935,0.2919,-0.341,-0.40990000000000004
AKER,Aker,Financials,421.4,421.0,421.6,790,,31298.54,0.005699999999999999,0.023799999999999998,0.213,-0.2006,0.018500000000000003
AKBM-ME,Aker BioMarine,Consumer staples,95.7,95.7,95.97,205,,8381.99,-0.0031,0.0633,-0.1014,,
AKERBP,Aker BP,Energy,184.3,184.25,184.35,1207,,66276.77,-0.0034999999999999996,0.003,0.0366,-0.33140000000000003,-0.1444
AKSO,Aker Solutions,Energy,19.6,19.58,19.6,3589,,5330.08,0.0583,0.08410000000000001,1.2659,-0.2071,-0.2299
AKVA,AKVA Group,Industrials,62.4,62.0,62.4,4,LP,2065.84,0.0097,-0.0032,-0.0127,-0.1449,-0.1524
AMSC,American Shipping Company,Industrials,29.9,29.8,29.95,89,,1812.43,0.0017000000000000001,0.0436,0.0993,-0.037000000000000005,-0.0317
ANDF-ME,Andfjord Salmon,Consumer staples,54.45,54.4,54.45,42,,1835.00,-0.008199999999999999,-0.0277,0.0866,,
ABT,Aqua Bio Technology,Materials,4.64,4.64,4.7,21,LP,71.25,0.0131,-0.0453,-0.07200000000000001,0.9829000000000001,0.9661
AQUA,AqualisBraemar,Energy,5.1,5.05,5.1,15,,358.61,-0.0097,0.1039,0.2879,0.3801,0.3591
ARCHER,Archer,Energy,2.54,2.51,2.55,171,,375.75,0.1264,0.1598,0.1705,-0.20129999999999998,-0.4188
AZT,ArcticZymes Technologies,Health care,48.8,48.5,48.8,190,,2358.73,0.0209,0.1066,0.1116,9.2737,
ARCUS,Arcus,Consumer staples,42.9,42.9,43.0,34,,2908.65,0.0023,0.0118,0.1057,0.2249,0.1704
AFK,Arendals Fossekompani,Industrials,2900.0,2900.0,2960.0,7,,6349.32,-0.013600000000000001,0.021099999999999997,0.0662,0.12689999999999999,0.1399
ASETEK,Asetek,Information technology,75.9,75.2,76.0,407,,1940.10,0.0271,0.1822,0.2341,1.4484000000000001,2.7024
ATEA,Atea,Information technology,107.6,107.6,108.0,57,,11833.12,0.0132,0.017,0.0508,-0.16329999999999997,-0.0070999999999999995
ATLA NOK,Atlantic Petroleum,Energy,6.0,5.64,6.0,2,,22.19,0.0,-0.0712,-0.0625,-0.2357,
ASA,Atlantic Sapphire,Consumer staples,108.5,108.5,109.0,175,,7734.54,-0.013600000000000001,-0.0687,-0.125,-0.1589,0.09820000000000001
AURG,Aurskog Sparebank,Equity certificates,195.0,192.0,195.0,7,LP,626.77,0.0104,,0.015600000000000001,0.0906,0.15560000000000002
AUSS,Austevoll Seafood,Consumer staples,84.15,84.1,84.15,440,,16983.50,0.0018,0.0592,0.058499999999999996,-0.0351,-0.023700000000000002
AVANCE,Avance Gas Holding,Energy,20.6,20.6,20.66,441,,1311.32,0.0118,0.0059,0.1502,-0.5397,-0.0079
AWDR,Awilco Drilling,Energy,3.25,3.25,3.29,21,,177.39,-0.0152,0.015600000000000001,-0.041299999999999996,-0.7903,-0.8629000000000001
ALNG,Awilco LNG,Energy,1.17,1.15,1.17,1,,155.08,-0.0043,0.0086,-0.07139999999999999,-0.6344,-0.6638
AXA,Axactor,Financials,7.4,7.38,7.41,405,,1371.93,0.0,0.085,0.1332,-0.6104999999999999,-0.5672999999999999
AGS,Axxis Geo Solutions,Energy,0.76,0.76,0.77,69,,44.70,0.029300000000000003,0.0078000000000000005,0.0574,-0.38079999999999997,-0.9529000000000001
AYFIE-ME,ayfie Group,Information technology,2.7,2.65,2.7,23,,286.77,0.0305,0.1955,-0.1456,,
B2H,B2Holding,Financials,5.84,5.84,5.85,490,,2394.01,-0.0034000000000000002,0.2779,0.4022,-0.38880000000000003,-0.32049999999999995
BAKKA,Bakkafrost,Consumer staples,572.5,572.0,572.5,1266,,33842.55,-0.0034999999999999996,0.0409,0.0187,-0.1192,0.10640000000000001
BALT-ME,Baltic Sea Properties,Real estate,30.8,30.8,,0,,205.37,,,,0.0621,
BEL,Belships,Industrials,6.55,6.5,6.7,2,LP,1490.96,0.0077,0.0155,-0.015,-0.0966,-0.0155
