ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,phone,address2,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,58.8,57.4,58.8,16,,1303.65,0.028,0.040199999999999986,-0.0138,-0.3191,-0.2652,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,57.2,58.0,52.559709999999995,0.0028846154,0.8163,,59.8,,9757.0,,57.2,58.127777,0.165,58.0,,9757.0,,,,3.25,1599782400.0,1.095959,,,57.2,2.0,NOK,2482.0,,,,1303648896.0,,,22266.0,47.063137,57.2,58.8,,,2482.0,93.8,,,,39.0,57.4,False,0.056199998,,59.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,55.028999999999996,,0.16968,,-0.30666667,,,,22170900.0,,,6.22,,,,1577750400.0,0.19871001,4700000.0,0.20800000000000002,,0.12594831,9.453377,0.57717997,1640908800.0,1593475200.0,,,6990487.0,1524312576.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,441 542 9329,2nd Floor 9 Par-la-Ville Road,282.6923,,,,,,
FIVEPG,5th Planet Games,Communication services,1.41,1.41,1.42,193,LP,149.38,-0.006999999999999999,-0.1097,-0.2198,3.8614,1.9407,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,1.43,1.445,1.4913268,,0.0,,1.445,,2286343.0,,1.43,1.76375,,1.445,,2286343.0,,,,,,2.7596380000000003,,,1.385,4.0,NOK,815002.0,,,,150971552.0,,,3186080.0,,1.385,1.42,,0.0,815002.0,3.8,,,,0.25,1.405,False,,0.0,1.445,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.2413793,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.12594831,8.160919,0.50402,1640908800.0,1577750400.0,,,46798691.0,86514976.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,122.0,117.0,124.0,0,LP,123.7,,,,0.0151,0.1387,7630,Financial Services,29.0,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,122.0,127.0,116.194244,0.06557377,0.67620003,,127.0,,82.0,,122.0,117.36111499999998,8.0,127.0,,82.0,,,,8.0,1583798400.0,0.424755,,,122.0,2.0,NOK,200.0,,,,123697024.0,,,48.0,1.126967,122.0,125.0,,,200.0,153.0,,,,105.0,117.0,False,0.0661,,127.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.547999999999999,,0.38182,,0.051724195,,,,1013910.0,,,501.01,,,,1577750400.0,0.0,41909000.0,41.333999999999996,,0.12594831,0.24350812,0.0,1640908800.0,1593475200.0,,,553343.0,718695872.0,,,,,,0.34299999999999997,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 00,,2.9515653,47 74 08 63 01,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.93,4.92,4.94,42,,2173.81,-0.0071,0.0176,0.0649,0.3089,0.5297,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,4.96,4.9,3.9554317,0.044354837,0.8062,,4.99,,254402.0,,4.96,4.5458336,0.22,4.9,,254402.0,,,,0.22,1588118400.0,0.935542,,,4.9,4.0,NOK,54531.0,,,,2173816320.0,,,282587.0,1.5380595,4.9,4.95,,185000.0,54531.0,5.1,11.453488,,10.56,2.69,4.925,False,0.0444,340000.0,4.99,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.2429999999999999,,0.17288,,0.3739612,,0.43,,441384000.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.12594831,3.2987275,0.18238,1640908800.0,1593475200.0,,,343158504.0,1756439936.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,47 22 01 60 00,7th floor,10.729847999999999,,,,,,
ADE,Adevinta,Communication services,161.4,161.2,161.4,912,,110536.32,0.0037,0.0563,0.0413,0.5519,0.5141,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,160.8,161.4,113.59532,,0.0,,163.2,,558249.0,,160.8,156.80556,,161.4,,558249.0,,,,,,,,,157.1,2.0,NOK,235720.0,,,,110536400896.0,,,738066.0,,157.1,161.4,,,235720.0,169.5,,,,66.7,161.2,False,,,163.2,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.5227274000000001,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.12594831,,0.66005,1640908800.0,1593475200.0,,,227972750.0,99953000448.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,47 23 10 66 00,,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,16.0,15.95,16.0,94,,374.24,-0.0184,-0.0062,-0.0184,-0.2759,0.042800000000000005,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,16.3,16.35,20.573381,,0.56060004,,16.35,,259470.0,,16.3,17.133333,,16.35,,259470.0,,,,5.44,1598918400.0,,,,15.9,2.0,NOK,74604.0,,,,374244800.0,,,86732.0,,15.9,16.0,,,74604.0,33.4,,,,13.1,15.95,False,0.32869998,,16.35,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.20873791,,,,23390300.0,,,,,,,,0.09734,,,,0.12594831,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,357 2 5335501,22 Amathountos Agios Tychonas,,,,,,,
AEGA,Aega,Utilities,1.25,1.21,1.26,15,,60.06,-0.0079,0.0417,-0.0809,0.0776,0.0599,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,1.26,1.26,1.222518,0.0031746035,,,1.26,,96045.0,,1.26,1.2636111,0.004,1.26,,96045.0,,,,0.04,1591142400.0,-0.593975,,,1.18,4.0,NOK,28806.0,,,,58610376.0,,,66156.0,,1.18,1.25,,394100.0,28806.0,1.85,,,,1.05,1.22,False,0.0317,60000.0,1.26,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,0.02439022,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.12594831,7.5757575,0.46798,1640908800.0,1593475200.0,,,24350240.0,59102524.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,,
AFG,AF Gruppen,Industrials,170.0,170.0,170.2,53,,17851.53,-0.0116,0.0,-0.0503,0.0018,-0.0004,0663,Industrials,5524.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,172.0,172.0,166.41438,0.034883723,1.2996001,,172.0,,14390.0,,172.0,172.67223,6.0,172.0,,14390.0,,,,12.0,1589760000.0,0.43915600000000005,,,170.0,2.0,NOK,4840.0,,,,17851529216.0,,,13735.0,0.72381824,170.0,170.2,,178000.0,4840.0,185.0,20.262217,,5.45,124.5,170.0,False,0.0698,52100.0,172.0,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.779,,0.030369998999999998,15.69,-0.0702703,,8.39,,105009000.0,,,20.408,,,,1577750400.0,0.14407,749000000.0,7.291,,0.12594831,8.330067,0.60915,1640908800.0,1593475200.0,,,41049068.0,19204530176.0,,1263772800.0,5:1,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,47 22 89 11 00,,23.316418,,,,,,
AKA,Akastor,Energy,6.38,6.32,6.38,44,,1732.87,0.0063,0.07769999999999999,0.0016,-0.35810000000000003,-0.4509,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,6.34,6.33,5.126834400000001,,0.0,,6.4,,303659.0,,6.34,6.2822223,,6.33,,303659.0,,,,,1397174400.0,1.53253,,,6.16,2.0,NOK,77231.0,,,,1770718080.0,,,403181.0,0.31268197,6.16,6.38,,52200.0,77231.0,12.0,15.95,,,3.52,6.32,False,,227000.0,6.4,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.684,,-0.0498,12.463,-0.45060658,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.12594831,0.42948505,0.51141,1640908800.0,1593475200.0,,,136612714.0,3875857152.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,47 21 52 58 00,OksenÃ¸yveien 10 Lysaker,,,,,,,
AKER,Aker,Financials,419.4,419.2,419.4,886,,31150.0,0.0014000000000000002,0.0721,0.0033,-0.2051,-0.17079999999999998,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,Oil & Gas Equipment & Services,418.8,416.0,330.54532,0.028056351,0.0,,419.8,,95536.0,,418.8,402.59445,11.75,416.0,,95536.0,,,,11.75,1595289600.0,1.6867459999999999,,,412.2,2.0,NOK,76162.0,,,,31416078336.0,,,131962.0,0.6669089,412.2,419.4,,111700.0,76162.0,566.0,15.977142,,,182.2,419.2,False,0.028099999,108400.0,419.8,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.8619999999999999,,-0.08871,34.317,-0.18123168,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.12594831,1.6680453999999998,0.70268,1640908800.0,1593475200.0,,,67696448.0,87714955264.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,47 24 13 00 00,,,47 24 13 01 01,,,,,
