ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,Industrials,55.2,54.8,55.2,45,,1223.83,-0.0036,0.011000000000000001,-0.035,-0.36479999999999996,-0.285
FIVEPG,5th Planet Games,Communication services,1.68,1.66,1.68,814,LP,178.61,0.003,0.2,-0.0265,4.7515,1.4394
AASB-ME,Aasen Sparebank,Equity certificates,110.0,110.0,114.0,0,LP,111.53,,,-0.051699999999999996,-0.08470000000000001,-0.0078000000000000005
ASC,ABG Sundal Collier Holding,Financials,4.54,4.53,4.54,76,,2001.70,0.0134,0.01,0.081,0.2066,0.3699
ADE,Adevinta,Communication services,144.8,144.8,144.9,16221,,99167.66,,0.4182,0.4783,0.3923,0.6089
ADSC-ME,ADS Crude Carriers,Energy,18.7,18.7,18.75,24,,437.40,-0.0027,0.0054,-0.053200000000000004,-0.23149999999999998,0.1058
AEGA,Aega,Utilities,1.24,1.18,1.24,26,,59.58,0.0248,0.0,0.016399999999999998,0.069,-0.0242
AFG,AF Gruppen,Industrials,179.4,179.4,180.0,105,,18838.61,0.005600000000000001,-0.0088,0.019299999999999998,0.0572,0.12689999999999999
AKA,Akastor,Energy,5.62,5.6,5.62,272,,1526.45,0.048499999999999995,0.1085,0.11289999999999999,-0.4346,-0.5113
AKER,Aker,Financials,405.8,405.0,406.0,2383,,30138.15,0.0393,0.1484,0.11289999999999999,-0.2309,-0.1531
AKBM-ME,Aker BioMarine,Consumer staples,96.9,96.9,97.0,297,,8487.09,0.0147,-0.10279999999999999,,,
AKERBP,Aker BP,Energy,193.1,192.95,193.1,4326,,69441.37,0.0458,0.059800000000000006,0.0455,-0.3072,-0.1722
AKSO,Aker Solutions,Energy,15.05,15.05,15.08,4710,,4092.74,0.0308,0.6704000000000001,0.6359,-0.3912,-0.4732
AKVA,AKVA Group,Industrials,65.0,64.6,65.0,24,LP,2151.92,0.015600000000000001,0.058600000000000006,0.015600000000000001,-0.1093,-0.1376
AMSC,American Shipping Company,Industrials,27.45,27.35,27.45,130,,1663.92,0.0018,-0.0036,0.064,-0.1159,-0.1264
ANDF-ME,Andfjord Salmon,Consumer staples,59.25,59.1,59.25,81,,1996.76,-0.009899999999999999,0.045,,,
ABT,Aqua Bio Technology,Materials,4.94,4.94,5.0,29,LP,75.86,0.008199999999999999,0.0207,-0.1099,1.1111,1.0246
AQUA,AqualisBraemar,Energy,4.7,4.58,4.7,16,,330.49,0.0444,0.1085,0.175,0.2718,0.21559999999999999
ARCHER,Archer,Energy,2.23,2.2,2.23,86,,329.89,0.037200000000000004,0.0229,-0.049,-0.2987,-0.5044
AZT,ArcticZymes Technologies,Health care,44.5,44.4,44.5,870,,2150.89,0.0495,0.1589,0.3906,8.368400000000001,
ARCUS,Arcus,Consumer staples,39.9,39.9,40.0,69,,2705.25,0.0076,0.0179,0.020499999999999997,0.1393,0.1519
AFK,Arendals Fossekompani,Industrials,2880.0,2880.0,2900.0,29,,6305.53,0.0141,0.036000000000000004,0.0992,0.1192,0.0983
ASETEK,Asetek,Information technology,68.3,67.4,68.3,182,,1724.46,0.0044,0.0194,0.2351,1.2031999999999998,1.0983
ATEA,Atea,Information technology,109.6,109.6,109.8,680,,12053.06,0.0,0.0641,0.0851,-0.1477,-0.0169
ATLA NOK,Atlantic Petroleum,Energy,7.24,6.5,7.26,2,,26.77,-0.0028000000000000004,0.1492,0.0,-0.07769999999999999,
ASA,Atlantic Sapphire,Consumer staples,125.0,123.5,125.0,240,,8910.76,0.0,0.0121,-0.0975,-0.031,0.2652
AURG,Aurskog Sparebank,Equity certificates,187.0,186.0,192.0,1,LP,601.05,0.0054,-0.0158,0.0108,0.0458,0.11380000000000001
AUSS,Austevoll Seafood,Consumer staples,79.85,79.85,79.9,594,,16115.65,-0.0044,0.005,0.0668,-0.08439999999999999,-0.15
AVANCE,Avance Gas Holding,Energy,19.19,19.18,19.19,400,,1221.57,0.0235,0.0745,0.0757,-0.5711999999999999,-0.16899999999999998
AWDR,Awilco Drilling,Energy,3.25,3.25,3.29,28,,177.39,0.0,0.0,-0.1935,-0.7903,-0.8745
ALNG,Awilco LNG,Energy,1.2,1.16,1.2,15,,158.40,0.0302,-0.0285,-0.08779999999999999,-0.6265999999999999,-0.6805
AXA,Axactor,Financials,7.33,7.33,7.37,1058,,1358.95,-0.0148,0.1039,0.0795,-0.6142,-0.6142
AGS,Axxis Geo Solutions,Energy,1.09,1.09,1.1,155,,64.11,0.009300000000000001,0.5797,0.307,-0.128,-0.9405
AYFIE-ME,ayfie Group,Information technology,2.74,2.7,2.74,98,,291.01,-0.0202,0.0074,,,
B2H,B2Holding,Financials,5.05,5.01,5.05,1234,,2070.16,-0.0436,0.1772,0.2469,-0.4715,-0.5111
BAKKA,Bakkafrost,Consumer staples,571.0,570.5,571.0,1935,,33753.24,-0.0017000000000000001,0.0354,-0.031400000000000004,-0.1215,0.1099
BALT-ME,Baltic Sea Properties,Real estate,29.2,29.6,32.2,5,,194.70,-0.0395,-0.0395,,0.0069,-0.1412
BEL,Belships,Industrials,6.65,6.55,6.75,2,LP,1513.72,0.015300000000000001,0.0,-0.0567,-0.0828,-0.0567
BGBIO,BerGenBio,Health care,37.55,37.55,38.0,580,,3276.61,-0.0118,0.0027,-0.0751,0.5502,1.8947
BSP-ME,Black Sea Property,Consumer discretionary,2.6,2.1,2.6,7,,43.27,,-0.0226,0.0,-0.5556,-0.9837
BON,Bonheur,Industrials,214.5,214.5,215.0,421,,9123.09,0.014199999999999999,-0.0754,-0.055099999999999996,0.09970000000000001,0.1959
BOR,Borgestad,Materials,18.05,18.05,18.35,60,LP,229.54,-0.024300000000000002,0.2801,0.6484000000000001,-0.0975,0.2852
BDRILL,Borr Drilling,Energy,9.39,9.35,9.39,835,,1473.18,0.0787,0.0913,-0.355,-0.8761,-0.8885
BRG,Borregaard,Materials,118.0,118.0,118.2,619,,11751.99,-0.0167,0.2152,0.109,0.2709,0.2749
BOUVET,Bouvet,Information technology,530.0,530.0,538.0,67,,5432.25,-0.0149,-0.018500000000000003,0.08380000000000001,0.38799999999999996,0.7774
BRA-ME,BRAbank,Financials,0.39,0.38,0.39,15,,241.60,0.0432,0.0158,0.0904,-0.16449999999999998,-0.7526
BWE,BW Energy Limited,Energy,17.91,17.91,18.22,252,,4196.39,0.0045000000000000005,0.029900000000000003,-0.0297,,
BWLPG,BW LPG,Energy,35.06,35.04,35.14,1404,,4841.67,0.018000000000000002,0.1025,0.2354,-0.4586,0.0471
BWO,BW Offshore Limited,Energy,34.32,34.3,34.32,939,,6205.05,0.0344,0.0799,-0.03,-0.41850000000000004,-0.2253
BMA,Byggma,Industrials,99.0,99.0,104.0,5,,691.21,0.0,0.0,0.09390000000000001,0.0761,0.0645
CARA,Carasent,Health care,20.6,20.4,20.6,61,,837.06,-0.0144,0.0,0.0785,1.1107,1.4408
CLOUD-ME,Cloudberry Clean Energy,Utilities,11.44,11.41,11.54,41,,438.30,0.0034999999999999996,0.021400000000000002,-0.025099999999999997,,
COV,ContextVision,Health care,265.0,260.0,265.0,237,LP,2050.24,-0.0075,0.0558,0.2045,1.5481,2.6301
CRAYON,Crayon Group Holding,Information technology,69.5,69.5,69.7,276,,5645.52,-0.0029,0.042,0.1301,0.33649999999999997,1.1719
DNB,DNB,Financials,146.9,146.8,146.9,4196,,229243.82,0.0031,0.0096,0.12269999999999999,-0.1043,-0.0661
