ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,59.0,59.0,59.2,35,,1308.08,-0.0134,-0.0034,0.047699999999999985,-0.32,-0.2298,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,,Marine Shipping,59.8,59.6,53.607245999999996,0.0027591975,0.8163,,59.8,,17107.0,,59.8,57.170590000000004,0.165,59.6,,17107.0,,,,1.06,1597622400.0,1.121996,,,58.8,2.0,NOK,283.65384,4332.0,,,,1308083072.0,,,27658.0,47.223217,58.8,59.2,,,4332.0,93.8,,,,39.0,59.0,False,0.018000000000000002,,59.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,56.47,,0.16968,,-0.23821658,,,,22170900.0,,,6.22,,,,1577750400.0,0.19871001,4700000.0,0.20800000000000002,,0.2070489,9.485531,0.57717997,1640908800.0,1593475200.0,,,6990487.0,1564220160.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,,,,,
FIVEPG,5th Planet Games,Communication services,1.83,1.83,1.85,522,LP,194.03,0.0027,0.0369,-0.1226,5.2479,1.9557,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,,Electronic Gaming & Multimedia,1.82,1.83,1.3883799,,0.0,,1.9,,4608772.0,,1.82,1.8154411,,1.83,,4608772.0,,,,,,2.714866,,,1.8,4.0,NOK,,2123757.0,,,,194030352.0,,,3413560.0,,1.8,1.85,,0.0,2123757.0,3.8,,,,0.25,1.825,False,,0.0,1.9,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.5418994,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.2070489,10.488506,0.50402,1640908800.0,1577750400.0,,,46798691.0,97799536.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,121.0,119.0,126.0,1,LP,122.68,0.0083,0.0342,0.0614,0.0068000000000000005,0.1101,7630,Financial Services,29.0,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,117.0,121.0,117.68841,0.06837607,0.67620003,,121.0,,183.0,,117.0,113.94118,8.0,121.0,,183.0,,,,8.0,1583798400.0,0.40223000000000003,,,121.0,2.0,NOK,2.9273722,5.0,,,,122683112.0,,,40.0,1.1177295,121.0,126.0,,,5.0,153.0,,,,105.0,119.0,False,0.0684,,121.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.474,,0.38182,,0.025641083999999998,,,,1013910.0,,,501.01,,,,1577750400.0,0.0,41909000.0,41.333999999999996,,0.2070489,0.24151213,0.0,1640908800.0,1593475200.0,,,553343.0,710584576.0,,,,,,0.34299999999999997,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.42,4.41,4.42,76,,1950.78,-0.0045000000000000005,-0.0243,0.0702,0.1747,0.505,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,,Capital Markets,4.44,4.44,3.8710146,0.04954955,0.8062,,4.445,,216054.0,,4.44,4.447794,0.22,4.44,,216054.0,,,,0.22,1588118400.0,0.9587680000000001,,,4.355,4.0,NOK,9.62963,211508.0,,,,1950784640.0,,,306300.0,1.3802558,4.355,4.42,,185000.0,211508.0,4.625,10.279069999999999,,10.54,2.69,4.405,False,0.0495,340000.0,4.445,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.07,,0.17288,,0.28882444,,0.43,,441353984.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.2070489,2.9604824,0.18238,1640908800.0,1593475200.0,,,342651897.0,1511946624.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,7th floor,,,,,
ADE,Adevinta,Communication services,163.3,163.3,163.4,7648,,111837.56,0.0149,0.0206,0.1019,0.5702,0.4375,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,,Internet Content & Information,160.9,162.9,109.10761000000001,,0.0,,167.0,,749504.0,,160.9,147.11177,,162.9,,749504.0,,,,,,,,,162.6,2.0,NOK,,985379.0,,,,111837642752.0,,,495311.0,,162.6,163.4,,,985379.0,169.5,,,,66.7,163.3,False,,,167.0,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.4574275,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.2070489,,0.66005,1640908800.0,1593475200.0,,,227972750.0,105389498368.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,16.95,17.0,17.15,163,,396.47,-0.0145,-0.0504,-0.0687,-0.3034,0.0124,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,,Marine Shipping,17.2,17.8,21.28152,,0.4088,,17.8,,119930.0,,17.2,18.25,,17.8,,119930.0,,,,4.21,1591228800.0,,,,16.95,2.0,NOK,,247499.0,,,,396465600.0,,,68242.0,,16.95,17.15,,,247499.0,33.4,,,,16.1,17.0,False,0.2392,,17.8,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.13999999,,,,23390300.0,,,,,,,,0.09734,,,,0.2070489,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,,,,,
AEGA,Aega,Utilities,1.17,1.13,1.19,6,,56.22,-0.041,-0.0859,-0.1269,0.0086,-0.1766,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,,Utilities—Renewable,1.22,1.25,1.2344928,0.0032786885,,,1.25,,82892.0,,1.22,1.267647,0.004,1.25,,82892.0,,,,0.04,1591142400.0,,,,1.17,4.0,NOK,,3274.0,,,,56219432.0,,,60309.0,,1.17,1.24,,394100.0,3274.0,1.85,,,,1.05,1.16,False,0.033299997000000005,60000.0,1.25,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.14685309,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.2070489,7.0909085,0.46798,1640908800.0,1593475200.0,,,24514996.0,59018656.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,
AFG,AF Gruppen,Industrials,166.2,166.0,166.2,63,,17452.5,0.0012,-0.0404,-0.0481,-0.0206,-0.0388,0663,Industrials,5524.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,,Engineering & Construction,166.0,166.0,167.15724,0.036144577000000004,1.2996001,,167.0,,20951.0,,166.0,176.04117,6.0,166.0,,20951.0,,,,12.0,1589760000.0,0.43902399999999997,,,165.8,2.0,NOK,22.795227,5793.0,,,,17452494848.0,,,16249.0,0.7076388000000001,165.8,166.8,,178000.0,5793.0,185.0,19.809296,,5.43,124.5,166.0,False,0.0723,52100.0,167.0,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.762,,0.030369998999999998,15.347000000000001,-0.09289616,,8.39,,105009000.0,,,20.408,,,,1577750400.0,0.14407,749000000.0,7.291,,0.2070489,8.143865,0.60915,1640908800.0,1593475200.0,,,41049068.0,18784493568.0,,1263772800.0,5:1,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,,,,,,
AKA,Akastor,Energy,6.59,6.6,6.63,246,,1789.91,-0.0718,-0.0898,0.1304,-0.337,-0.4199,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,,Oil & Gas Equipment & Services,7.1,7.29,5.355362400000001,,0.0,,7.31,,536398.0,,7.1,6.0717645,,7.29,,536398.0,,,,,1397174400.0,1.36353,,,6.59,2.0,NOK,,536049.0,,,,1789909888.0,,,493661.0,0.31607097,6.59,6.63,,52200.0,536049.0,12.4,16.475,,,3.52,6.61,False,,227000.0,7.31,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.7440000000000001,,-0.0498,13.554,-0.3826087,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.2070489,0.44362170000000006,0.51141,1640908800.0,1593475200.0,,,159931143.0,4215142912.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,OksenÃ¸yveien 10 Lysaker,,,,,
AKER,Aker,Financials,405.6,405.6,406.0,636,,30125.03,-0.0005,-0.025,0.095,-0.2313,-0.1053,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,47 24 13 01 01,Oil & Gas Equipment & Services,405.8,408.0,336.56305,0.02895515,0.0,,416.4,,100671.0,,405.8,400.02353,11.75,408.0,,100671.0,,,,11.75,1595289600.0,1.71777,,,405.2,2.0,NOK,,51167.0,,,,30125047808.0,,,178238.0,0.6395026,405.2,406.2,,111700.0,51167.0,566.0,15.451428,,,182.2,405.6,False,0.029000001,108400.0,416.4,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.89,,-0.08871,34.834,-0.12806189,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.2070489,1.6131598,0.70268,1640908800.0,1593475200.0,,,67696448.0,89036824576.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,,,,,,
