ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,fullTimeEmployees,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
AASB-ME,7630,Financial Services,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,110,110,121.50714,0.07272727,1.0156,,114,,78,,110,113.828575,8,110,,78,,,,8,1583798400,0.401681,,,108,2,NOK,3.0497591,71,,,,115585744,,,39,1.1200169,108,114,,,71,153,,,,105,108,False,0.0727,,114,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.033,,0.36725,,-0.07563025,,,,1013910,,,485.692,,,,1577750400,0,37900000,37.38,,0.06933558,0.23471665,0,1640908800,1585612800,,,553343,725802432,,,,,,-0.328,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,,,,,,
ADSC-ME,4532,Industrials,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,,Marine Shipping,18.5,18.6,23.189285,,0.4088,,18.6,,20472,,18.5,19.471428,,18.6,,20472,,,,4.21,1591228800,,,,18.1,2,NOK,,46068,,,,433890048,,,139366,,18.1,18.55,,,46068,33.4,,,,16.1,18.2,False,0.2251,,18.6,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.101941764,,,,23390300,,,,,,,,0.09734,,,,0.06933558,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,,,,,,
ADE,0159,Communication Services,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,,Internet Content & Information,141,137.4,101.14321,,0,,140,,874783,,141,104.67143,,137.4,,874783,,,,,,,,,135.3,2,NOK,,505257,,,,93140967424,,,369295,,135.3,136.7,,,505257,160.2,,,,66.7,136.4,False,,,140,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.47489548,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.06933558,,0.66005,1640908800,1593475200,,,223708700,96678002688,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,3564,,,,,
2020,HM11,Industrials,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,,Marine Shipping,53.6,53,57.805714,0.0030783585,2.2674,,54.2,,11258,,53.6,54.311428,0.165,53,,11258,,,,1.86,1581552000,1.07216,,,52.6,2,NOK,865.5737,10091,,,,1170623488,,,30702,69.26766,52.6,53.4,,,10091,93.8,,,,39,52.8,False,0.0347,,54.2,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,81.086,,0.07692,,-0.30749357,,,,22170900,,,6.184,,,,1577750400,0.19871001,1300000,0.061,,0.06933558,8.538163,0.57717997,1640908800,1585612800,,,9024667,1370360576,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,4,,,,,
FIVEPG,1123,Communication Services,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,,Electronic Gaming & Multimedia,2.13,2.2,1.0971103,,0,,2.23,,2981092,,2.13,1.8760123,,2.2,,2981092,,,,,,2.679069,,,1.91,4,NOK,,4073806,,,,151825920,,,6783857,,1.91,1.98,,0,4073806,3.8,,,,0.25,1.96,False,,0,2.23,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.4204547,,,,77462200,,,0.174,,,,1577750400,0,,-0.118,,0.06933558,11.264368,0.50402,1640908800,1577750400,,,41707742,114457704,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,16,,,,,
AEGA,274,Utilities,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,,Utilities—Renewable,1.17,1.24,1.2209285,0.0034188037,,,1.85,,46556,,1.17,1.198,0.004,1.24,,46556,,,,0.04,1591142400,-0.703488,,,1.24,4,NOK,,590194,,,,60544008,,,42376,,1.24,1.3,,394100,590194,1.85,,,,1.05,1.26,False,0.0325,60000,1.85,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.19310349,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.06933558,7.6363635,0.46798,1640908800,1585612800,,,24350240,56219476,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,2,,,,,
AKBM-ME,1327,Healthcare,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,Oksenoyveien 10,47 24 13 01 10,Drug Manufacturers—Specialty & Generic,94.5,94.5,,,,,94.5,,,,94.5,,,94.5,,,,,,,,,,,90.05,2,NOK,,154729,,,,,,,,,90.05,92.36,,,154729,94.5,,,,90.05,92.4,False,,,94.5,OSL,AKER BIOMARINE AS,Aker BioMarine ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,42.766,,-0.00658,201.088,,,,,,,,2.589,,,,1546214400,,-1022000,-0.015,,0.06933558,34.95558,,1609372800,1514678400,,,14611039,6642951168,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,PO Box 496,,,,,,
AKVA,4353,Industrials,"AKVA Group ASA develops, designs, manufactures, assembles, sells, and installs technology products; and provides rental and consulting services for the aquaculture industry. The company operates through three segments: Cage Based Technology, Software, and Land Based Technology. The Cage Based Technology segment offers plastic cages, steel cages, feed barges, feed systems, sensor and camera systems, biomass estimation systems, underwater lights, net cleaning systems, and nets and mooring systems under the Polarcirkel, Wavemaster, and Akvasmart hardware brands. This segment also supplies polyethylene work boats, pipes, ROV's, and subsea solutions to aquaculture, oil service, and maritime industries. The Software segment provides production control, planning, traceability, and ERP software for the aquaculture and fishing industries under the Fishtalk brand. This segment also operates AKVAconnect, a process control platform that enables real-time control of various mission critical equipment, such as feeding systems, environmental sensors, barges, and cameras installed on-site at the farmer's locations. The Land Based Technology segment designs and delivers recirculation systems for land based fish farming, as well as provides water quality conditions for fresh and seawater operations. The company also offers PRISMA, a cloud-based data platform for the aquaculture eco-system. AKVA group ASA operates in Norway, Chile, Canada, Scotland, Denmark, and internationally. The company is based in Klepp Stasjon, Norway. AKVA Group ASA is a subsidiary of Egersund Group AS.",Klepp Stasjon,47 51 77 85 00,Norway,[],http://www.akvagroup.com,1,Plogfabrikkvegen 11,,Farm & Heavy Construction Machinery,64,63.2,61.97286,0.03125,,,64,,2327,,64,62.08,2,63.2,,2327,,,,2,1582502400,0.642441,,,62,2,NOK,,3663,,,,2115378304,,,6175,0.71058077,62,63,,49600,3663,83,11.13438,,,41.3,62.2,False,0.0308,34200,64,OSL,AKVA GROUP ASA,AKVA Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKVA.OL,finmb_162314,no_market,,1.118,,-0.00014,25.687,-0.17737794,,5.73,,33156400,,,31.171,,,,1577750400,0.13203,-422000,-0.014,,0.06933558,2.0467741,0.7511,1640908800,1585612800,,,8065299,3328070912,,,,,,-0.417,,,,,,,,https://logo.clearbit.com/akvagroup.com,,1444,,,,,
ASC,0250,Financial Services,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1,Munkedamsveien 45 East,,Capital Markets,4.495,4.495,3.8036427,0.04894327,0.8062,,4.495,,202482,,4.495,4.2564287,0.22,4.495,,202482,,,,0.22,1588118400,0.98372,,,4.365,4,NOK,9.542484,303500,,,,1931155200,,,501544,1.3663672,4.365,4.415,,185000,303500,4.58,10.186047,,10.49,2.69,4.38,False,0.048899997,340000,4.495,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ASC.OL,finmb_2972520,no_market,,1.087,,0.17288,,0.24687934,,0.43,,440903008,,,1.493,,,,1577750400,0.19143,244343008,0.459,,0.06933558,2.9336905,0.18238,1640908800,1593475200,,,348806080,1536175744,,,,,,0.229,,,,,,,,https://logo.clearbit.com/abgsc.com,7th floor,275,,,,,
ANDF-ME,8400,Consumer Defensive,"Andfjord Salmon AS operates a fish farm. It operates a closed sea facility for organic salmon farming. The company was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,,Norway,[],http://www.andfjordsalmon.com,1,Havnegata 19,,Farm Products,59.7,59.7,,,0,,59.7,,,,59.7,,,59.7,,,,,,,,,,,57,2,NOK,,42930,,,,1970389760,,,,1196.6915,57,58.9,,,42930,59.7,,,,57,58.6,False,,,59.7,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,1082.28,,0,-222.46,,,,,,,,4.914,,,,1577750400,,-6394534,-0.214,,0.06933558,11.925112,,1640908800,,,,,1782007936,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,8402 Sortland,,,,,,
AKERBP,1366,Energy,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,47 51 35 30 00,Norway,[],http://www.akerbp.com,1,Building B,,Oil & Gas E&P,184,183.05,193.11642,0.009934782,,,184.65,,991957,,184,182.35571,1.828,183.05,,991957,,,,7.41,1596153600,1.654069,,,179.7,2,NOK,,720803,,,,66168979456,,,1633220,21.59741,179.7,183.75,,0,720803,297.9,108.23529,,,89.42,183.6,False,0.0392,0,184.65,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKERBP.OL,finmb_9048461,no_market,,22.858,,-0.031630002,31.962,-0.27956146,,1.7,,359614016,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,,0.06933558,34.60598,0.70299006,1640908800,1593475200,,,106384610,70032441344,,1261526400,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,Fornebuporten OksenOeyveien 10 Lysaker,1703,,,,,
AQUA,0161,Energy,"AqualisBraemar ASA, an investment holding company, provides marine and engineering consultancy services to the offshore oil and gas industry and offshore renewables market worldwide. It offers marine and offshore engineering services, such as deep and shallow water installation engineering; marine operations and surveying, including rig moving and tow master, as well as engineering support services; owns and supervises vessel construction; engineering and project management services; concept, FEED, and basic design services for new-build and vessel upgrades; and rig inspection services. The company also provides marine warranty and consultancy, risk consulting, transportation and installation, dynamic positioning and critical systems, and technical due diligence services. The company was formerly known as Aqualis ASA and changed its name to AqualisBraemar ASA in June 2019. AqualisBraemar ASA was incorporated in 2014 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://aqualisbraemar.com,1,Olav Vs gate 6,,Oil & Gas Equipment & Services,4.68,4.78,3.6836429,0.0010683761,0,,5,,23890,,4.68,4.069143,0.005,4.78,,23890,,,,0.2,1591833600,1.040697,,,4.5,4,NOK,22.38806,32889,,,,316423808,,,45041,4.765634,4.5,4.48,,385400,32889,5,32.142857,,,2.15,4.42,False,0.0427,402100,5,OSL,AQUALISBRAEMAR ASA,AqualisBraemar ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AQUA.OL,finmb_266259656,no_market,,4.875,,0.18611999,193.004,0.21243525,,0.14,,70316400,,,0.686,,,,1577750400,0.07898,12358000,0.201,,0.06933558,6.559767,0.58599,1640908800,1585612800,,,20787638,323668000,,,,,,,,,,,,,,https://logo.clearbit.com/aqualisbraemar.com,,431,,,,,
ARCHER,HM 08,Energy,"Archer Limited, an oilfield service company, provides various oilfield products and services to the oil and gas industry. It operates through two segments, Eastern Hemisphere and Western Hemisphere. The company provides oiltools, such as plugs and abandonment (P&A), slot recovery and P&A, cementing, and well cleaning solutions; land drilling and platform drilling services; and modular drilling rigs. It also offers engineering services, such as project management, construction and installations, multidiscipline engineering, consulting, and inspection services. In addition, the company provides cased hole logging, conveyance and mechanical/slickline, and R&D and technology development services. Further, it offers fluids, guarantor, international personnel, management, and equipment rental services, as well as performs rig inspections. The company operates in Angola, Argentina, Australia, Bolivia, Brazil, Canada, Congo, Indonesia, Malaysia, Nigeria, Norway, Saudi Arabia, the United Arab Emirates, the United Kingdom, and the United States. The company was formerly known as Seawell Limited and changed its name to Archer Limited in May 2011. Archer Limited was founded in 2007 and is based in Hamilton, Bermuda.",Hamilton,,Bermuda,[],http://www.archerwell.com,1,Par la Ville Place,,Oil & Gas Drilling,2.175,2.175,2.3349142,,0,,2.23,,249631,,2.175,2.2702858,,2.175,,249631,,,,,,2.852906,,,2.15,4,NOK,,167594,,,,324174752,,,559493,0.38888526,2.15,2.22,,100400,167594,4.78,36.5,,,1.1,2.17,False,,503000,2.23,OSL,ARCHER LTD,Archer Limited,Europe/Oslo,CEST,False,7200000,EQUITY,ARCHER.OL,finmb_37612323,no_market,,1.136,,-0.05722,10.045,-0.51986754,,0.06,,148024992,,,0.732,,,,1577750400,0.12627,-47700000,-0.323,,0.06933558,2.9918034,0.41856998,1640908800,1577750400,,,105861885,947209408,,1443398400,1:10,,,,,,,,,,,https://logo.clearbit.com/archerwell.com,4th Floor 14 Par-la-Ville Road,4964,,,,,
AMSC,1366,Industrials,"American Shipping Company ASA, through its subsidiaries, operates as a ship owning and lease finance company in the United States. It is involved in the purchase and bareboat chartering of product tankers, shuttle tankers, and other vessels to operators and end users in the Jones Act market. The company operates a fleet of nine product tankers and one shuttle tanker. The company was formerly known as Aker American Shipping ASA and changed its name to American Shipping Company ASA in June 2008. American Shipping Company ASA was founded in 2005 and is headquartered in Lysaker, Norway.",Lysaker,,Norway,[],http://www.americanshippingco.com,1,Building B,,Marine Shipping,27.6,27,26.386286,0.011594202,1.9914999,,27.4,,53425,,27.6,25.851429,0.32,27,,53425,,,,3.21,1590451200,0.968023,,,26.85,2,NOK,181.8792,37471,,,,1642707200,,,78189,18.645092,26.85,27.25,,114600,37471,37.5,73.24324,,11.34,15.06,27.1,False,0.1162,172600,27.4,OSL,AMER SHIPPING COMP,American Shipping Company ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AMSC.OL,finmb_22594564,no_market,,24.895,,0.10217,25.81,-0.19999999,,0.37,,60616500,,,2.669,,,,1577750400,0.19708,9002000,0.149,,0.06933558,10.153616,0.28123,1640908800,1585612800,,,44026980,2193315584,,,,,,0.778,,,,,,,,https://logo.clearbit.com/americanshippingco.com,OksenOeyveien 10,3,,,,,
ABT,1366,Healthcare,"Aqua Bio Technology ASA engages in developing and commercializing active ingredients for use in skin care products in Norway. It offers Aquabeautine XL, a proprietary ingredient; and Spirulysat, an antioxidant for cosmetic use. The company also markets and distributes natural and skin care products to consumers, retailers, and professionals in Europe and the Middle East. It distributes its products through Internet, stores, and skin care clinics. The company markets and distributes organic skin care products under the Moana brand name in New Zealand and arctic skin care products under the Cuvget brand name in Norway. Aqua Bio Technology ASA was founded in 2000 and is based in Lysaker, Norway.",Lysaker,,Norway,[],http://www.aquabiotechnology.com,1,Fornebuveien 37,,Biotechnology,4.94,5,2.982643,0.20242915,0,,5,,33941,,4.94,4.838,1,5,,33941,,,,,1496880000,1.24593,,,4.62,4,NOK,,67607,,,,72170376,,,152715,55.721844,4.62,4.74,,320000,67607,7.55,-8.703703,,,1.25,4.72,False,,330000,5,OSL,AQUA BIO TECHNOLOG,Aqua Bio Technology ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ABT.OL,finmb_39453852,no_market,,53.259,,0,-5.304,1.0245903,,-0.54,,15355400,,,0.477,,,,1577750400,0.02359,-13215518,-1.03,,0.06933558,9.85325,0.80484,1640908800,1577750400,,,1905450,68979976,,1309132800,1:20,,,,,,,,,,,https://logo.clearbit.com/aquabiotechnology.com,,,,,,,
AKER,1366,Energy,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1,Oksenoyveien 10,47 24 13 01 01,Oil & Gas Equipment & Services,395,391,363.82358,0.056962024,0,,392,,178394,,395,363.03427,22.5,391,,178394,,,,11.75,1595289600,1.701744,,,377,2,NOK,,92432,,,,28724850688,,,229470,0.6097788,377,387.8,,111700,92432,566,14.735238,,,182.2,387.6,False,0.0294,108400,392,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKER.OL,finmb_12074458,no_market,,1.873,,-0.08871,34.521,-0.18117744,,26.25,,74262800,,,251.432,,,,1577750400,0.19775999,-4124000000,-56.266,,0.06933558,1.538388,0.70268,1640908800,1593475200,,,67703874,88234786816,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,,21865,,,,,
AZT,9294,Healthcare,"ArcticZymes Technologies ASA develops, manufactures, and markets immunomodulating beta-glucans and recombinant enzymes in Norway, Europe, Asia, Australia, Africa, and the Americas. It operates through two segments, Enzymes and Beta-Glucans. The company provides recombinant enzymes that are primarily derived from cold-water marine species and organisms from other relevant environments for use in molecular research, in vitro diagnostics, and therapeutics. It offers shrimp alkaline phosphatase and derived kits for cleanup prior to Sanger sequencing and next generation sequencing (NGS) processes; cod UNG for use in viral and other molecular diagnostic assays; double-strand specific DNases and derived kits for the removal of DNA from RNA samples; polymerases for technology development for life science, molecular diagnostics, NGS, and synthetic biology; proteinase for microbiological diagnostics and liquid biopsies; salt active nuclease for the removal of nucleic acids during manufacturing of vaccines, viruses, recombinant proteins, and other reagents; and ligases for joining DNA fragments. The company also provides immunomodulating beta-glucans products for the wound care, animal and consumer health, and adjuvants markets. It offers Woulgan wound gel; M-Glucan, a natural immune-stimulating product for fish and animal feed; and M-Gard, a natural immune-stimulating ingredients to enhance physical health. The company was formerly known as Biotec Pharmacon ASA and changed its name to ArcticZymes Technologies ASA in June 2020. ArcticZymes Technologies ASA was founded in 1990 and is headquartered in TromsÃ¸, Norway.",Tromso,47 77 64 89 00,Norway,[],http://arcticzymes.com,1,Sykehusveien 23,47 77 64 89 01,Biotechnology,44.2,43.6,,,0,,43.6,,,,44.2,,,43.6,,,,,,,,1.149418,,,41.1,2,NOK,161.15385,223969,,,,2025224064,,,,19.461706,41.1,41.8,,,223969,43.6,,,,41.1,41.6,False,,,43.6,OSL,ARCTICZYMES TECH,ArcticZymes Technologies ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AZT.OL,finmb_13529463,no_market,,20.34,,0.121549994,155.807,,,,,48334700,,,1.21,,,,1577750400,0.0896,12649000,0.26,,0.06933558,34.628098,0.3134,1640908800,1585612800,,,24481512,2116637568,,,,,,,,,,,,,,https://logo.clearbit.com/arcticzymes.com,PO Box 6463,36,,,,,
AKSO,1366,Energy,"Aker Solutions ASA provides products, systems, and services to the oil and gas industry worldwide. The company operates through Projects and Services segments. It offers field planning, feasibility, and concept studies; floater designs; digital solutions; offshore wind solutions; and deep water risers. The company also provides engineering, project management, and procurement services, such as design of offshore oil and gas production facilities, and onshore receiving and processing facilities; jacket designs; subsea production systems; subsea trees; and control systems. In addition, it offers subsea wellheads engineering, manufacturing, installation, and life-of-field support services, including umbilical systems, subsea structures, tie-in systems, subsea compression and pump systems, subsea power distribution and processing systems, and intervention and workover systems; lifecycle, hook-up and completion, maintenance, modification, asset integrity management, and yards and fabrication services, as well as carbon capture, utilization, and storage services. Aker Solutions ASA was founded in 1841 and is headquartered in Fornebu, Norway.",Fornebu,47 67 51 30 00,Norway,[],http://akersolutions.com,1,Oksenoyveien 8,47 67 51 30 10,Oil & Gas Equipment & Services,14.93,14.99,10.7827215,0.0971199,0,,15,,8255050,,14.93,9.582286,1.45,14.99,,8255050,,,,,1428624000,1.890697,,,14.24,2,NOK,,4520782,,,,3954051328,,,5356784,0.15004179,14.24,14.66,,58500,4520782,30.2,6.2403436,,,4.362,14.64,False,,156700,15,OSL,AKER SOLUTIONS ASA,Aker Solutions ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKSO.OL,finmb_262890984,no_market,,0.452,,-0.03779,18.781,-0.48939806,,2.33,,271943008,,,24.02,,,,1577750400,0.26966998,-996000000,-3.667,,0.06933558,0.60532886,0.46942002,1640908800,1593475200,,,130227946,11907105792,,1175212800,1:5,,,,,,,,,,,https://logo.clearbit.com/akersolutions.com,,13000,,,,,
AKA,1366,Energy,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",Barum,47 21 52 58 00,Norway,[],http://akastor.com,1,Building B,,Oil & Gas Equipment & Services,5.8,5.87,5.9451427,,0,,5.87,,731048,,5.8,5.076286,,5.87,,731048,,,,,1397174400,1.273837,,,5.51,2,NOK,,270968,,,,1510151552,,,443350,0.26666987,5.51,5.53,,52200,270968,12.4,13.9,,,3.52,5.51,False,,227000,5.87,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKA.OL,finmb_874402,no_market,,0.682,,-0.0498,12.419,-0.49565214,,0.4,,271609984,,,14.855,,,,1577750400,0.25563,-152000000,-0.981,,0.06933558,0.37428477,0.51141,1640908800,1593475200,,,136612714,3862285824,,1175212800,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,Oksenoyveien 10 Lysaker,2112,,,,,
