ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,phone,fax,trailingPE,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,1.515,1.55,1.4351408,,0,,1.555,,3839046,,1.515,1.8572059,,1.55,,3839046,,,,,,2.759638,,,1.455,4,NOK,2769799,,,,156819056,,,3481345,,1.455,1.485,,0,2769799,3.8,,,,0.25,1.475,False,,0,1.555,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.3307693,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.16002727,8.477012,0.50402,1640908800,1577750400,,,46798691,81410056,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,,
AASB-ME,7630,Financial Services,29,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,Banks—Regional,121,121,117.03623,0.0661157,0.67620003,,121,,165,,121,115.20588,8,121,,165,,,,8,1583798400,0.424755,,,121,2,NOK,0,,,,122683112,,,38,1.1177295,121,129,,,0,153,,,,105,125,False,0.0661,,121,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.483,,0.38182,,0.034188032,,,,1013910,,,501.01,,,,1577750400,0,41909000,41.334,,0.16002727,0.24151213,0,1640908800,1593475200,,,553343,711598464,,,,,,0.343,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 00,47 74 08 63 01,2.9273722,,,,,,
AOW-ME,1366,Energy,30,"Aker Offshore Wind Holding AS engages in the development of deep-water wind power production. It has a portfolio of development projects and prospects in Europe, North America, and Asia. The company is based in Lysaker, Norway.",Lysaker,Norway,[],http://www.akeroffshorewind.com,1,OksenÃ¸yveien 8,Oil & Gas Equipment & Services,2.658,2.75,3.18225,,,,3.1,,10072334,,2.658,3.18225,,2.75,,10072334,,,,,,,,,2.73,4,NOK,9012058,,,,1787270656,,,14798853,,2.73,3.0015,,,9012058,4.5,,,,1.99,2.996,False,,,3.1,OSL,AKER OFFSHORE WIND,Aker Offshore Wind Holding AS,Europe/Oslo,CEST,False,7200000,EQUITY,AOW-ME.OL,finmb_677430128,no_market,,,,0,,-0.22052789,,,,612078976,,,0.494,,,,,,,,,0.16002727,5.9109316,,,1596153600,,,,1626905472,,,,,,,,,,,,,,https://logo.clearbit.com/akeroffshorewind.com,47 67 51 30 00,,,,,,,,
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,56.8,57,53.01739,0.0029049297,0.8163,,58.8,,12606,,56.8,57.541176,0.165,57,,12606,,,,1.06,1597622400,1.095959,,,57,2,NOK,3514,,,,1285912192,,,24377,46.42282,57,58,,,3514,93.8,,,,39,57.6,False,0.0191,,58.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,54.069,,0.16968,,-0.28101265,,,,22170900,,,6.22,,,,1577750400,0.19871001,4700000,0.208,,0.16002727,9.3247595,0.57717997,1640908800,1593475200,,,6990487,1497707520,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,441 542 9329,,278.84616,2nd Floor 9 Par-la-Ville Road,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,1.2,1.21,1.2286232,0.0033333334,,,1.3,,32373,,1.2,1.2691176,0.004,1.21,,32373,,,,0.04,1591142400,-0.593975,,,1.21,4,NOK,67788,,,,57203728,,,59990,,1.21,1.24,,394100,67788,1.85,,,,1.05,1.21,False,0.0323,60000,1.3,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.06249994,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.16002727,7.3939395,0.46798,1640908800,1593475200,,,24350240,57661000,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,,
AFG,0663,Industrials,5524,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.afgruppen.com,1,Innspurten 15,Engineering & Construction,167.8,167.8,166.63696,0.035756852,1.2996001,,174.2,,10457,,167.8,174.04118,6,167.8,,10457,,,,12,1589760000,0.439156,,,167.2,2,NOK,19674,,,,18292568064,,,14822,0.7417009,167.2,173.8,,178000,19674,185,20.762812,,5.45,124.5,171.8,False,0.0715,52100,174.2,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AFG.OL,finmb_6174594,no_market,,0.769,,0.030369999,15.501,-0.06777775,,8.39,,105009000,,,20.408,,,,1577750400,0.14407,749000000,7.291,,0.16002727,8.535868,0.60915,1640908800,1593475200,,,41049068,18973509632,,1263772800,5:1,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,47 22 89 11 00,,23.89247,,,,,,
AMSC,1366,Industrials,3,"American Shipping Company ASA, through its subsidiaries, operates as a ship owning and lease finance company in the United States. It is involved in the purchase and bareboat chartering of product tankers, shuttle tankers, and other vessels to operators and end users in the Jones Act market. The company operates a fleet of nine product tankers and one shuttle tanker. The company was formerly known as Aker American Shipping ASA and changed its name to American Shipping Company ASA in June 2008. American Shipping Company ASA was founded in 2005 and is headquartered in Lysaker, Norway.",Lysaker,Norway,[],http://www.americanshippingco.com,1,Building B,Marine Shipping,28.05,27.8,25.493334,0.012121213,2.1353,,28.35,,40176,,28.05,28.663235,0.34,27.8,,40176,,,,3.58,1598486400,0.966867,,,27.75,2,NOK,51910,,,,1685138688,,,71310,19.1267,27.75,27.95,,114600,51910,37.5,75.13513,,11.47,15.06,27.8,False,0.1277,172600,28.35,OSL,AMER SHIPPING COMP,American Shipping Company ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AMSC.OL,finmb_22594564,no_market,,25.076,,0.106709994,25.938,-0.17256641,,0.37,,60616500,,,2.607,,,,1577750400,0.19708,9402000,0.155,,0.16002727,10.663597,0.28123,1640908800,1593475200,,,43989211,2209334272,,,,,,0.571,,,,,,,,https://logo.clearbit.com/americanshippingco.com,,,179.35483,OksenOeyveien 10,,,,,
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,Norway,[],http://www.adevinta.com,1,Grensen 5,Internet Content & Information,150.6,147.6,110.833694,,0,,153.9,,2772587,,150.6,154.78824,,147.6,,2772587,,,,,,,,,147.6,2,NOK,594922,,,,104783585280,,,716796,,147.6,153.9,,,594922,169.5,,,,66.7,153.6,False,,,153.9,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.4261365,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.16002727,,0.66005,1640908800,1593475200,,,227972750,98643001344,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,47 23 10 66 00,,,,,,,,
AKERBP,1366,Energy,1703,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,Norway,[],http://www.akerbp.com,1,Building B,Oil & Gas E&P,164.7,164,169.85652,0.011098968,,,165.6,,781652,,164.7,177.9544,1.828,164,,781652,,,,7.41,1596153600,1.674096,,,162.2,2,NOK,664706,,,,60753063936,,,897111,19.829666,162.2,163.65,,0,664706,297.9,96.558815,,,89.42,163.6,False,0.045,0,165.6,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKERBP.OL,finmb_9048461,no_market,,20.593,,-0.031630002,28.795,-0.34277737,,1.7,,359614016,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,,0.16002727,30.872671,0.70299006,1640908800,1593475200,,,106384610,63091888128,,1261526400,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,47 51 35 30 00,,,Fornebuporten OksenOeyveien 10 Lysaker,,,,,
AKBM-ME,1327,Healthcare,,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,Norway,[],http://www.akerbiomarine.com,1,OksenOeyveien 10,Drug Manufacturers—Specialty & Generic,92.99,94,95.23409,,,,96.84,,84501,,92.99,92.73882,,94,,84501,,,,,,,,,94,2,NOK,205704,,,,,,,134521,,94,95.79,,,205704,114,,,,87,95.08,False,,,96.84,OSL,AKER BIOMARINE AS,Aker BioMarine AS,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,44.299,,-0.00658,208.301,-0.11184335,,,,,,,2.051,,,,1546214400,,-1022000,-0.015,,0.16002727,46.372498,,1609372800,1593475200,,,14751544,6881210368,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,47 24 13 00 00,,,PO Box 496,,,,,
