ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,Industrials,58.0,57.6,58.0,27,,1285.91,0.021099999999999997,-0.0203,0.0155,-0.33149999999999996,-0.2477
FIVEPG,5th Planet Games,Communication services,1.48,1.48,1.5,497,LP,156.82,-0.0264,-0.2027,-0.22769999999999999,4.0497000000000005,1.6024
AASB-ME,Aasen Sparebank,Equity certificates,121.0,125.0,129.0,0,LP,122.68,,,,0.0068000000000000005,0.09140000000000001
ASC,ABG Sundal Collier Holding,Financials,4.65,4.65,4.67,113,,2050.09,0.018600000000000002,0.0533,0.069,0.2345,0.5914
ADE,Adevinta,Communication services,153.0,153.0,153.6,2413,,104783.50,0.0159,-0.0613,-0.0567,0.47119999999999995,0.4299
ADSC-ME,ADS Crude Carriers,Energy,13.85,13.85,13.95,83,,323.96,0.0259,-0.10800000000000001,-0.16649999999999998,-0.3732,-0.0973
AEGA,Aega,Utilities,1.22,1.21,1.28,23,,58.62,0.0167,0.0339,-0.0758,0.051699999999999996,-0.013999999999999999
AFG,AF Gruppen,Industrials,174.2,172.0,174.2,170,,18292.57,0.0381,0.045599999999999995,-0.0068000000000000005,0.026600000000000002,0.002
AKA,Akastor,Energy,6.07,6.0,6.07,206,,1648.67,-0.0146,-0.1007,0.0134,-0.3893,-0.47490000000000004
AKER,Aker,Financials,400.2,400.0,400.4,1016,,29723.96,0.031400000000000004,-0.0148,-0.0286,-0.2415,-0.13390000000000002
AKBM-ME,Aker BioMarine,Consumer staples,95.11,95.11,96.5,628,,8330.31,0.022799999999999997,-0.0113,0.056799999999999996,,
AKERBP,Aker BP,Energy,164.15,164.1,164.15,3088,,59030.56,-0.0033,-0.0555,-0.1072,-0.4048,-0.2857
ACC-ME,Aker Carbon Capture,Industrials,4.65,4.65,4.66,1255,,2630.48,0.08070000000000001,-0.0888,,,
AOW-ME,Aker Offshore Wind Holding,Industrials,2.92,2.92,3.0,2177,,1787.27,0.0986,-0.1152,,,
AKSO,Aker Solutions,Energy,8.61,8.61,8.61,1975,,2340.07,-0.0353,-0.1242,-0.42719999999999997,-0.5811,-0.6154999999999999
AKVA,AKVA Group,Industrials,64.0,64.0,64.2,32,LP,2118.81,-0.0031,0.0,0.022400000000000003,-0.12300000000000001,-0.168
AMSC,American Shipping Company,Industrials,27.8,27.8,27.95,119,,1685.14,-0.0089,-0.0479,-0.0014000000000000002,-0.0785,-0.09029999999999999
ANDF-ME,Andfjord Salmon,Consumer staples,49.75,49.5,49.75,47,,1676.61,0.016,0.003,-0.1116,,
ABT,Aqua Bio Technology,Materials,6.2,6.2,6.3,99,LP,95.20,0.0248,0.0877,0.2757,1.6496000000000002,2.0391999999999997
AQUA,AqualisBraemar,Energy,5.6,5.5,5.6,16,,393.77,0.009000000000000001,0.0,0.2121,0.5154,0.6842
ARCHER,Archer,Energy,2.13,2.11,2.12,27,,315.10,0.0,-0.1032,-0.0274,-0.33020000000000005,-0.4843
AZT,ArcticZymes Technologies,Health care,60.0,59.4,60.0,606,,2900.08,-0.0066,-0.0712,0.3605,,
ARCUS,Arcus,Consumer staples,40.7,40.7,40.8,32,,2759.49,-0.0073,-0.0121,-0.0401,0.16210000000000002,0.14029999999999998
