ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,phone,address2,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
SOFTOX-ME,0275,Healthcare,12,"SoftOx Solutions AS, together with its subsidiaries, operates as a medtech company in Norway. Its SoftOx technology kills the microorganisms in biofilms by acting on various microbial components. The company engages in the development of SoftOx Wound Irrigation Solution that is under preclinical studies for the prevention and treatment of infections on breached or compromised skin, including acute wounds and skin lesions in patients with eczema; and SoftOx Biofilm Eradicator, which is in preclinical studies to treat biofilm infections in non-healing chronic wounds. The company was founded in 2012 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.soft-ox.com,1,Hoffsveien 1A,Biotechnology,56,56,66.28921,,0,,56,,27629,,56,61.455883,,56,,27629,,,,,,-6.219522,,,54.5,2,NOK,2848,,,,430180512,,,74382,106.26907,54.5,55,,,2848,116,,,,18,54.5,False,,,56,OSL,SOFTOX SOLUTIONS,SoftOx Solutions AS,Europe/Oslo,CEST,False,7200000,EQUITY,SOFTOX-ME.OL,finmb_545902392,no_market,,93.97,,0,-16.437,,,,,7751000,,,10.206,,,,1577750400,,-19330244,-2.494,,,5.4379773,,1640908800,1585612800,,,5103956,380392000,,1530489600,50:1,,,,,,,,,,,https://logo.clearbit.com/soft-ox.com,47 97 75 90 71,,,,,,,101cdf12-74dc-3bc7-9b72-4c9802a2c1d8
SKUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRBANK,4068,Financial Services,1255,"SpareBank 1 SR-Bank ASA, together with its subsidiaries, provides various financial products and services for personal and corporate customers in Southern and Western Norway. The company offers its products and services in the areas of savings, loans, advice, insurance, and pensions. It also provides foreign exchange, administrative securities, commercial properties brokerage, leasing, accounting, and securities trading services, as well as active management and securities management services. In addition, the company facilitates debt and equity funding; and sells real estate properties comprising holiday homes, new builds, and used homes. Further, it is involved in the customer trading of interest rate instruments; and purchasing of home mortgages and funds by issuing covered bonds. Additionally, the company offers credit and debit cards; structured products; and mobile and online banking services. The company also serves retail, small business, and agricultural customers, as well as public sector. As of December 31, 2018, it had 36 branches in Rogaland, Vest-Agder, Aust-Agder, and Hordaland. SpareBank 1 SR-Bank ASA was founded in 1839 and is headquartered in Stavanger, Norway.",Stavanger,Norway,[],http://www.sparebank1.no/nb/sr-bank,1,Christen Tranes Gate 35,Banks—Regional,79.6,79.6,73.53935,0.06909548,0,,79.6,,331275,,79.6,73.22794,5.5,79.6,,331275,,,,,1587686400,0.918118,,,77.75,2,NOK,104826,,,,20106479616,,,328753,4.6189938,77.75,78.65,,,104826,105.3,,,,48.38,78.5,False,,,79.6,OSL,SPAREBANK 1 SR BK,SpareBank 1 SR-Bank ASA,Europe/Oslo,CEST,False,7200000,EQUITY,SRBANK.OL,finmb_883781,no_market,,34.182,,0.35722,,,,,,255644992,,,98.551,,,,1577750400,0.37039003,1480000000,6.156,,,0.79806393,0.32251,1640908800,1593475200,,,166984950,148792541184,,,,,,-0.716,,,,,,,,https://logo.clearbit.com/sparebank1.no,47 91 50 20 02,Postboks 250,12.776154,,,,,8ee5ca3d-26b8-36c3-9e7f-fabac7a9dd9b
SOFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVEG,5011,Financial Services,722,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Hordaland, Rogaland, and Sogn og Fjordane, Norway. It operates through Corporate Market, Retail Market, Treasury, and Estate Agency Activities segments. The company is also involved in the estate agency and home mortgages activities. As of December 31, 2019, it had 33 points of sale outlets. The company was founded in 1823 and is headquartered in Bergen, Norway.",Bergen,Norway,[],http://www.spv.no,1,Jonsvollsgaten 2,Banks—Regional,69.3,69.2,61.068344,0.034920633,0.34080002,,69.2,,36713,,69.3,63.241177,2.42,69.2,,36713,,,,2.42,1585094400,0.564459,,,67.1,2,NOK,26825,,,,7328248832,,,51343,1.8637459,67.1,68.3,,100000,26825,73.8,10.806962,,5.88,42.1,68,False,0.0349,300000,69.2,OSL,SPAREBANKEN VEST,Sparebanken Vest,Europe/Oslo,CEST,False,7200000,EQUITY,SVEG.OL,finmb_8081598,no_market,,29.128,,0.50203,,0.31250012,,6.32,,107295000,,,148.969,,,,1577750400,0.31427,539000000,6.704,,,0.45848468,0.26554,1640908800,1585612800,,,82679268,114533122048,,,,,,-0.221,,,,,,,,https://logo.clearbit.com/spv.no,47 91 50 55 55,,10.187948,,,,,7a2d122c-4b88-3068-9aa7-0e98d1c5b807
SPOL,2302,Financial Services,1139,"SpareBank 1 Ãstlandet provides various financial products and services to individuals, businesses, public sectors, clubs, and societies. It offers retail and corporate banking services, deposits, loans, savings, advisory, insurance, money-transfer, investment, and pension products and services. The company also provides payment, real estate brokerage and rental, management, accounting and payroll, leasing, financing, HR and consulting, and online and mobile banking services. It has 37 branches, including 21 in Hedmark, 2 in Oppland, 5 in Oslo, and 9 in Akershus. The company was founded in 1845 and is headquartered in Hamar, Norway. SpareBank 1 Ãstlandet is a subsidiary of Sparebankstiftelsen Hedmark.",Hamar,Norway,[],http://www.sparebank1.no/en/ostlandet/personal.html,1,Strandgata 15,Banks—Regional,88.8,88.8,87.598564,0.06441441,0.5395,,88.9,,24074,,88.8,88.305885,5.72,88.8,,24074,,,,4.58,1585267200,0.83146,,,88.8,2,NOK,4385,,,,10285704192,,,30191,2.8579338,88.8,88.7,,0,4385,101.6,10,,,70.1,88.5,False,0.0515,0,88.9,OSL,SPAREBANK 1 OSTLAN,SpareBank 1 Østlandet,Europe/Oslo,CEST,False,7200000,EQUITY,SPOL.OL,finmb_12505908,no_market,,14.142,,0.38926998,,0.06474817,,8.88,,115830000,,,139.282,,,,1577750400,0.14663,973000000,8.398,,,0.6375555,0.66322,1640908800,1593475200,,,115617820,50895851520,,,,,,-0.07,,,,,,,,https://logo.clearbit.com/sparebank1.no,47 91 50 70 50,,10.573947,,,,,570d1e40-e6eb-36fd-94ed-02edf23d7a9a
NONG,9008,Financial Services,911,"SpareBank 1 Nord-Norge provides financial products and services to personal customers, companies, and organizations in Northern Norway. The company offers various savings, lending, and insurance products, as well as payment services. Its activities also include hedging instruments and trading in interest rate and currency instruments; hedging instruments in the commodity derivatives market; sale of Norwegian bonds and certificates, as well as bond market issues; purchase and sale of equities and fund units; and provision of corporate finance, as well as trading and investment advice services. In addition, the company is involved in leasing, consumer financing, real estate brokerage, and accounting operations. It operates through a network of 38 offices across 36 municipalities in Nordland, Troms, Finnmark, and Svalbard. The company was founded in 1836 and is headquartered in TromsÃ¸, Norway.",TromsÃ¸,Norway,[],http://www.sparebank1.no/nb/nord-norge,1,SjÃ¸gata 8,Banks—Regional,67.7,68,63.95216,0.0590842,0.2589,,68,,154632,,67.7,63.611763,4,68,,154632,,,,4,1585267200,,,,66.8,2,NOK,41410,,,,6786904576,,,160083,1.9064338,66.8,67.7,,86400,41410,81,9.854227,,5.62,46.35,67.5,False,0.0591,141000,68,OSL,SPAREBK 1 NORD-NOR,SpareBank 1 Nord-Norge,Europe/Oslo,CEST,False,7200000,EQUITY,NONG.OL,finmb_4509224,no_market,,8.801,,0.42388,,0.041538358,,6.86,,100398000,,,141.158,,,,1577750400,0.25226,1156000000,9.393,,,0.47889596,0.09822,1640908800,1593475200,,,95207439,31329945600,,1301529600,4:3,,,-0.123,,,,,,,,https://logo.clearbit.com/sparebank1.no,47 91 50 22 44,,7.196849,,,,,0eaa2134-341b-36b7-a162-fec9e91edee8
STB,1327,Financial Services,1683,"Storebrand ASA, through its subsidiaries, primarily provides insurance products and services in Norway and Sweden. It operates through four segments: Savings, Guaranteed Pension, Insurance, and Other. The Savings segment offers retirement savings, defined contribution pensions, asset management, and retail banking products. The Insurance segment provides health insurance, property and casualty insurance, personal risk products, employer's liability insurance, and pension-related insurance products. The Guaranteed Pension segment offers long-term pension savings products, such as defined benefit pensions, paid-up policies, and individual capital and pension insurance products. The Other segment provides life insurance products; and loans. The company also offers securities, and banking and investment services. It serves private individuals, corporate and retail markets, companies, municipalities, and public sector. Storebrand ASA was founded in 1767 and is headquartered in Lysaker, Norway.",Lysaker,Norway,[],http://www.storebrand.no,1,Professor Kohts vei 9,Financial Conglomerates,53.22,53.3,51.75307,0.06106727,0,,53.3,,1452167,,53.22,51.547646,3.25,53.3,,1452167,,,,,1587600000,1.271777,,,52.18,2,NOK,711429,,,,24547323904,,,2477591,0.3876893,52.18,52.52,,81400,711429,74.9,9.246479,,,33.84,52.52,False,,115200,53.3,OSL,STOREBRAND ASA,Storebrand ASA,Europe/Oslo,CEST,False,7200000,EQUITY,STB.OL,finmb_876161,no_market,,0.824,,0.02922,17.087,0.007191539,,5.68,,467390016,,,73.592,,,,1577750400,0.64619005,1838000000,3.937,,,0.71366453,0.05957,1640908800,1593475200,,,457939559,52149506048,,,,,,-0.002,,,,,,,,https://logo.clearbit.com/storebrand.no,47 22 31 50 50,P.O. Box 500,13.340107,,,,,51fabac2-38a8-3ceb-a804-75f790a366ca
