ticker,name,marketcap,sector,info,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
OTELLO,Otello Corporation,2278.35,Communication services,,0.0,-0.0048,-0.0012,0.24170000000000003,0.36090000000000005
PEN,Panoro Energy,1365.81,Energy,,-0.002,-0.008100000000000001,-0.1481,0.64,0.46869999999999995
PARB,Pareto Bank,2626.43,Financials,,0.010700000000000001,0.0134,-0.0079,0.1408,0.0892
PCIB,PCI Biotech Holding,2556.44,Health care,,0.0269,0.2652,1.4491999999999998,1.6122,1.4668
PSE,Petrolia,176.22,Energy,,-0.06709999999999999,-0.0414,-0.0733,-0.1313,-0.2446
PNOR,PetroNor E&P Limited,1029.97,Energy,,0.0187,0.058600000000000006,0.048600000000000004,0.8617,0.5879
PGS,PGS,4880.61,Energy,,-0.020499999999999997,-0.0066,-0.1399,0.2151,-0.1819
PHLY,Philly Shipyard,532.75,Industrials,,-0.0435,-0.0265,-0.0222,0.5714,0.2571
PHO,Photocure,1816.43,Health care,LP,0.043899999999999995,0.0059,0.48350000000000004,0.7833,1.4044999999999999
PPG PREF,Pioneer Property Group,663.00,Real estate,,0.009899999999999999,0.0,0.0,0.0466,0.0554
PLCS,Polarcus,625.79,Energy,,0.005,-0.0336,-0.1052,0.20079999999999998,0.0378
POL,Polaris Media,1950.53,Communication services,,0.0753,0.1364,0.1429,0.609,0.6213000000000001
PLT,poLight,310.05,Information technology,LP,-0.0052,-0.0355,0.1515,0.22579999999999997,0.0857
PRS,Prosafe,235.77,Energy,,-0.0441,-0.0814,-0.387,-0.7905,-0.8325
PROTCT,Protector Forsikring,3942.56,Financials,,0.0195,0.0012,-0.0385,0.0088,0.10980000000000001
QFR,Q-Free,548.72,Information technology,,0.025,0.0165,-0.0315,-0.20129999999999998,-0.1689
QEC,Questerre Energy Corporation,522.05,Energy,,0.0158,0.0339,-0.0758,-0.1861,-0.44549999999999995
RAKP,RAK Petroleum,2022.26,Energy,,-0.0048,0.056100000000000004,-0.08,0.054000000000000006,-0.1266
REACH,Reach Subsea,228.95,Energy,,,,-0.0562,-0.2884,-0.3093
REC,REC Silicon,679.96,Information technology,,0.14,0.1242,-0.2535,-0.5888,-0.6125
RIVER-ME,River iGaming,323.28,Consumer discretionary,,,,-0.1457,-0.32,-0.32
ROM,RomReal,92.56,Real estate,,,,0.12,0.0667,-0.0508
SDSD,S.D. Standard Drilling,714.27,Energy,,-0.004,0.008100000000000001,0.0733,0.21109999999999998,0.0733
SAGA,Saga Tankers,287.44,Financials,,,,0.009300000000000001,0.1192,0.0286
SALM,SalMar,51108.89,Consumer staples,,-0.0059,0.0441,0.0067,0.12279999999999999,0.022400000000000003
SALMON,Salmones Camanchaca,4422.00,Consumer staples,,-0.0118,0.0308,0.006,-0.1475,-0.0802
SADG,Sandnes Sparebank,1516.43,Equity certificates,,-0.0149,-0.0222,0.0394,0.2994,0.2994
SAS NOK,SAS AB,5558.92,Industrials,,-0.0331,-0.23120000000000002,-0.12050000000000001,-0.2707,-0.2494
SATS,SATS,3680.50,Consumer discretionary,,-0.0018,0.0256,-0.033,,
SBANK,Sbanken,7064.06,Financials,,-0.016399999999999998,-0.0208,-0.0449,-0.1033,-0.1779
SSHIP,Scanship Holding,2333.74,Industrials,LP,0.0046,0.0955,0.29760000000000003,3.7878,3.8405
SSO,Scatec Solar,12387.74,Utilities,,-0.0204,-0.0358,-0.0885,0.3483,0.4054
SCHA,Schibsted ser. A,27543.63,Communication services,,0.0004,0.0417,0.023399999999999997,0.2588,0.2325
SCHB,Schibsted ser. B,31687.73,Communication services,,-0.0040999999999999995,0.0407,0.009000000000000001,0.3081,0.26239999999999997
SBX,SeaBird Exploration,278.09,Energy,LP,-0.0323,0.0039000000000000003,-0.0556,-0.6148,-0.6077
SDRL,Seadrill,1120.82,Energy,,0.0018,0.2026,-0.2705,-0.8598,-0.9052
SSG,Self Storage Group,2057.17,Industrials,,0.0163,0.024700000000000003,0.055099999999999996,0.537,0.6065
SBO,Selvaag Bolig,6031.07,Real estate,,0.0235,0.0415,0.2582,0.7716,0.8096
SHLF,Shelf Drilling,2463.31,Energy,,0.0,-0.0323,-0.0083,-0.5861999999999999,-0.6537999999999999
SIOFF,Siem Offshore,1497.81,Energy,,0.06709999999999999,0.0192,0.59,0.1778,0.0258
SKUE,Skue Sparebank,319.77,Equity certificates,LP,,,0.0968,0.4916,0.4328
SOFTOX-ME,SoftOx Solutions,149.88,Health care,,,,,0.44,0.29600000000000004
SOGN,Sogn Sparebank,66.41,Equity certificates,LP,-0.0278,,0.0,0.03,0.0712
SOLON,Solon Eiendom,2368.82,Real estate,,-0.0029,-0.011699999999999999,0.018000000000000002,-0.0659,-0.017
SOFF,Solstad Offshore,261.68,Energy,,-0.0068000000000000005,0.1307,-0.1612,-0.4919,-0.5705
SBVG,SpareBank 1 BV,2413.19,Equity certificates,LP,-0.0052,0.0,0.0079,0.1641,0.1674
NONG,SpareBank 1 Nord-Norge,7429.45,Equity certificates,LP,-0.0040999999999999995,0.0068000000000000005,0.0055000000000000005,0.2441,0.217
SNOR,SpareBank 1 Nordvest,240.90,Equity certificates,,0.0,0.0,-0.0092,0.0765,0.0665
RING,SpareBank 1 Ringerike Hadeland,3443.09,Equity certificates,,,,-0.009000000000000001,0.2011,0.1949
MING,SpareBank 1 SMN,12630.27,Equity certificates,,0.0031,0.0125,-0.021099999999999997,0.221,0.16690000000000002
SRBANK,SpareBank 1 SR-Bank,24985.87,Financials,,-0.0036,0.0166,-0.0308,0.1451,0.0971
SOAG,SpareBank 1 Ã˜stfold Akershus,2923.25,Equity certificates,LP,0.0,,0.0351,0.29309999999999997,0.29309999999999997
SPOL,SpareBank 1 Ã˜stlandet,10528.93,Equity certificates,LP,0.0022,0.0202,0.0011,0.1503,0.1393
MORG,Sparebanken MÃ¸re,3108.53,Equity certificates,LP,0.0032,0.0,-0.0032,0.17600000000000002,0.17600000000000002
SOR,Sparebanken SÃ¸r,1640.06,Equity certificates,LP,0.0096,0.0194,0.0294,0.1575,0.16469999999999999
SBTE,Sparebanken Telemark,1340.53,Equity certificates,,0.008199999999999999,0.0336,0.0336,0.1026,0.1175
SVEG,Sparebanken Vest,6718.15,Equity certificates,LP,0.0032,0.0296,0.11789999999999999,0.2339,0.22010000000000002
SPOG,Sparebanken Ã˜st,1131.92,Equity certificates,,0.0,0.0037,0.0341,0.0654,0.077
SBLK,Star Bulk Carriers,8832.87,Industrials,LP,-0.020099999999999996,0.0104,0.0636,0.158,0.20809999999999998
SNI,Stolt-Nielsen,6048.19,Industrials,,-0.0018,0.0089,0.0724,0.1542,0.1474
STB,Storebrand,30542.69,Financials,,-0.016,0.02,-0.020099999999999996,0.1041,0.0868
STORM,Storm Real Estate,30.39,Real estate,,-0.0058,,-0.13570000000000002,-0.2389,-0.2182
STRONG,StrongPoint,510.21,Information technology,LP,0.0176,0.0043,0.0645,0.3651,0.3682
SUBC,Subsea 7,29000.28,Energy,,-0.0187,0.0184,0.010700000000000001,0.1602,0.06280000000000001
SUNSB-ME,Sunndal Sparebank,156.85,Equity certificates,LP,,,0.0175,0.1211,0.1211
