ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,phone,address2,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,1.595,1.62,1.4520459,,0,,1.62,,3133499,,1.595,1.8186111,,1.62,,3133499,,,,,,2.759638,,,1.56,4,NOK,408177,,,,168514032,,,3228100,,1.56,1.595,,0,408177,3.8,,,,0.25,1.585,False,,0,1.62,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.5560896,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.1103282,9.109196,0.50402,1640908800,1577750400,,,46798691,81141376,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,Cyprus,[],http://www.adscrude.com,1,OSM House,Marine Shipping,16.1,16.15,20.712143,,0.56060004,,16.4,,290674,,16.1,17.336111,,16.15,,290674,,,,5.44,1598918400,,,,16.15,2,NOK,56303,,,,383600896,,,85051,,16.15,16.4,,,56303,33.4,,,,13.1,16.35,False,0.39279997,,16.4,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.2259615,,,,23390300,,,,,,,,0.09734,,,,0.1103282,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,357 2 5335501,22 Amathountos Agios Tychonas,,,,,,,
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,Norway,[],http://www.adevinta.com,1,Grensen 5,Internet Content & Information,152.8,153.5,112.031075,,0,,155.4,,704336,,152.8,155.00833,,153.5,,704336,,,,,,,,,152,2,NOK,131016,,,,104646615040,,,730128,,152,152.8,,,131016,169.5,,,,66.7,152.6,False,,,155.4,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.4636016,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.1103282,,0.66005,1640908800,1593475200,,,227972750,98380996608,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,47 23 10 66 00,,,,,,,,
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,56.8,56.6,52.81,0.0029049297,0.8163,,57,,14038,,56.8,57.627777,0.165,56.6,,14038,,,,3.22,1599782400,1.095959,,,56.2,2,NOK,2324,,,,1263741312,,,23440,45.62243,56.2,57,,,2324,93.8,,,,39,56.8,False,0.019199999,,57,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,54.069,,0.16968,,-0.29000002,,,,22170900,,,6.22,,,,1577750400,0.19871001,4700000,0.208,,0.1103282,9.163987,0.57717997,1640908800,1593475200,,,6990487,1497707520,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,441 542 9329,2nd Floor 9 Par-la-Ville Road,274.03845,,,,,,
AKBM-ME,1327,Healthcare,,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,Norway,[],http://www.akerbiomarine.com,1,OksenOeyveien 10,Drug Manufacturers—Specialty & Generic,93.5,94.4,95.24792,,,,97.8,,83804,,93.5,92.82278,,94.4,,83804,,,,,,,,,93.3,2,NOK,185974,,,,,,,132879,,93.3,97.2,,,185974,114,,,,87,97.2,False,,,97.8,OSL,AKER BIOMARINE AS,Aker BioMarine AS,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,45.651,,-0.00658,214.654,-0.10697228,,,,,,,2.051,,,,1546214400,,-1022000,-0.015,,0.1103282,47.391514,,1609372800,1593475200,,,14751544,7091099648,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,47 24 13 00 00,PO Box 496,,,,,,,
AKERBP,1366,Energy,1703,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,Norway,[],http://www.akerbp.com,1,Building B,Oil & Gas E&P,160.7,159.9,168.42285,0.0113752335,,,160.15,,861448,,160.7,175.30556,1.828,159.9,,861448,,,,7.41,1596153600,1.674096,,,156.55,2,NOK,462855,,,,57958760448,,,847944,18.917612,156.55,156.65,,0,462855,297.9,92.117645,,,89.42,156.65,False,0.0461,0,160.15,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKERBP.OL,finmb_9048461,no_market,,20.124,,-0.031630002,28.138,-0.35976094,,1.7,,359614016,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,,0.1103282,29.4527,0.70299006,1640908800,1593475200,,,106384610,61653434368,,1261526400,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,47 51 35 30 00,Fornebuporten OksenOeyveien 10 Lysaker,,,,,,,
AASB-ME,7630,Financial Services,29,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,Banks—Regional,124,124,116.828575,0.06451613,0.67620003,,124,,45,,124,116.22222,8,124,,45,,,,8,1583798400,0.424755,,,124,2,NOK,50,,,,125724840,,,43,1.1454418,124,128,,,50,153,,,,105,121,False,0.0661,,124,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.483,,0.38182,,0.0782609,,,,1013910,,,501.01,,,,1577750400,0,41909000,41.334,,0.1103282,0.24750005,0,1640908800,1593475200,,,553343,711598464,,,,,,0.343,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 00,,2.9999516,47 74 08 63 01,,,,,
AQUA,0161,Energy,439,"AqualisBraemar ASA, an investment holding company, provides marine and engineering consultancy services to the offshore oil and gas industry and offshore renewables market worldwide. It offers marine and offshore engineering services, such as deep and shallow water installation engineering; marine operations and surveying, including rig moving and tow master, as well as engineering support services; owns and supervises vessel construction; engineering and project management services; concept, FEED, and basic design services for new-build and vessel upgrades; and rig inspection services. The company also provides marine warranty and consultancy, risk consulting, transportation and installation, dynamic positioning and critical systems, and technical due diligence services. The company was formerly known as Aqualis ASA and changed its name to AqualisBraemar ASA in June 2019. AqualisBraemar ASA was incorporated in 2014 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://aqualisbraemar.com,1,Olav Vs gate 6,Oil & Gas Equipment & Services,5.6,5.6,3.908,0.004107143,,,5.6,,38425,,5.6,5.1330557,0.023,5.6,,38425,,,,0.2,1591833600,1.156626,,,5.35,2,NOK,12089,,,,383160768,,,35708,5.0575604,5.35,5.55,,385400,12089,5.9,38.57143,,,2.15,5.4,False,0.037,402100,5.6,OSL,AQUALISBRAEMAR ASA,AqualisBraemar ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AQUA.OL,finmb_266259656,no_market,,5.076,,0.03333,132.935,0.53005457,,0.14,,70316400,,,0.696,,,,1577750400,0.07898,2525000,0.036,,0.1103282,7.758621,0.58599,1640908800,1593475200,,,20623810,384581024,,1468368000,25:1,,,-0.894,,,,,,,,https://logo.clearbit.com/aqualisbraemar.com,,,150.00002,,,,,,
ANDF-ME,8400,Consumer Defensive,,"Andfjord Salmon AS engages in the shore based farming of Atlantic salmon. The company holds a license for 10,000 tons maximum allowed biomass (MAB) for land-based farming. Andfjord Salmon AS was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,Norway,[],http://www.andfjordsalmon.com,1,Havnegata 19,Farm Products,49.1,48.515,53.428333,,0,,49,,17420,,49.1,53.192917,,48.515,,17420,,,,,,,,,48.4,2,NOK,2465,,,,1631109120,,,38605,990.6337,48.4,48.995,,,2465,65,,,,46.5,48.4,False,,,49,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,904.613,,0,,-0.16920477,,,,33700600,,,8.402,,,,1577750400,,-10354177,-0.307,,0.1103282,5.7605333,,1640908800,1593475200,,,,1489473664,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,,,,,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,1.2,1.2,1.2263571,0.0033333334,,,1.2,,48581,,1.2,1.265,0.004,1.2,,48581,,,,0.04,1591142400,-0.593975,,,1.2,4,NOK,4000,,,,56265964,,,59396,,1.2,1.23,,394100,4000,1.85,,,,1.05,1.18,False,0.0325,60000,1.2,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.06249994,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.1103282,7.2727275,0.46798,1640908800,1593475200,,,24350240,57661000,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,,
