ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,phone,address2,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,57.0,56.8,57.0,14,,1263.74,0.0083,0.0083,0.0243,-0.33990000000000004,-0.2571,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,56.8,56.6,52.81,0.0029049297,0.8163,,57.0,,14038.0,,56.8,57.627777,0.165,56.6,,14038.0,,,,3.22,1599782400.0,1.095959,,,56.2,2.0,NOK,2324.0,,,,1263741312.0,,,23440.0,45.62243,56.2,57.0,,,2324.0,93.8,,,,39.0,56.8,False,0.019199999,,57.0,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,54.068999999999996,,0.16968,,-0.29000002,,,,22170900.0,,,6.22,,,,1577750400.0,0.19871001,4700000.0,0.20800000000000002,,0.11032819999999999,9.163986999999999,0.57717997,1640908800.0,1593475200.0,,,6990487.0,1497707520.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,441 542 9329,2nd Floor 9 Par-la-Ville Road,274.03845,,,,,,
FIVEPG,5th Planet Games,Communication services,1.59,1.59,1.6,135,LP,168.51,-0.0063,0.0462,-0.2192,4.4263,2.1091,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,1.595,1.62,1.4520459,,0.0,,1.62,,3133499.0,,1.595,1.8186111,,1.62,,3133499.0,,,,,,2.7596380000000003,,,1.56,4.0,NOK,408177.0,,,,168514032.0,,,3228100.0,,1.56,1.595,,0.0,408177.0,3.8,,,,0.25,1.585,False,,0.0,1.62,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.5560896,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.11032819999999999,9.109196,0.50402,1640908800.0,1577750400.0,,,46798691.0,81141376.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,124.0,121.0,128.0,1,LP,125.73,0.0,,0.0877,0.0318,0.1376,7630,Financial Services,29.0,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,124.0,124.0,116.828575,0.06451613,0.67620003,,124.0,,45.0,,124.0,116.22222,8.0,124.0,,45.0,,,,8.0,1583798400.0,0.424755,,,124.0,2.0,NOK,50.0,,,,125724840.0,,,43.0,1.1454418,124.0,128.0,,,50.0,153.0,,,,105.0,121.0,False,0.0661,,124.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.483,,0.38182,,0.0782609,,,,1013910.0,,,501.01,,,,1577750400.0,0.0,41909000.0,41.333999999999996,,0.11032819999999999,0.24750005,0.0,1640908800.0,1593475200.0,,,553343.0,711598464.0,,,,,,0.34299999999999997,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 00,,2.9999516,47 74 08 63 01,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.84,4.83,4.84,30,,2136.3,0.0,0.0614,0.0876,0.2863,0.5758,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,4.84,4.85,3.914393,0.045454543,0.8062,,4.85,,472993.0,,4.84,4.48,0.22,4.85,,472993.0,,,,0.22,1588118400.0,0.935542,,,4.83,4.0,NOK,31885.0,,,,2136298624.0,,,310876.0,1.5115142,4.83,4.84,,185000.0,31885.0,4.85,11.255815,,10.56,2.69,4.825,False,0.045500003,340000.0,4.85,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.194,,0.17288,,0.3463143,,0.43,,441384000.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.11032819999999999,3.241795,0.18238,1640908800.0,1593475200.0,,,343158504.0,1688158080.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,47 22 01 60 00,7th floor,10.544661999999999,,,,,,
ADE,Adevinta,Communication services,152.8,152.6,152.8,1001,,104646.53,0.0,0.0146,-0.0155,0.4692,0.4951,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,152.8,153.5,112.031075,,0.0,,155.4,,704336.0,,152.8,155.00833,,153.5,,704336.0,,,,,,,,,152.0,2.0,NOK,131016.0,,,,104646615040.0,,,730128.0,,152.0,152.8,,,131016.0,169.5,,,,66.7,152.6,False,,,155.4,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.46360159999999995,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.11032819999999999,,0.66005,1640908800.0,1593475200.0,,,227972750.0,98380996608.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,47 23 10 66 00,,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,16.4,16.35,16.4,43,,383.6,0.0186,0.2148,0.0006,-0.2577,0.0907,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,16.1,16.15,20.712142999999998,,0.56060004,,16.4,,290674.0,,16.1,17.336111,,16.15,,290674.0,,,,5.44,1598918400.0,,,,16.15,2.0,NOK,56303.0,,,,383600896.0,,,85051.0,,16.15,16.4,,,56303.0,33.4,,,,13.1,16.35,False,0.39279997,,16.4,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.22596149999999998,,,,23390300.0,,,,,,,,0.09734,,,,0.11032819999999999,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,357 2 5335501,22 Amathountos Agios Tychonas,,,,,,,
AEGA,Aega,Utilities,1.2,1.18,1.23,5,,57.66,0.0,0.0,-0.0977,0.0345,-0.0302,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,1.2,1.2,1.2263571000000002,0.0033333334,,,1.2,,48581.0,,1.2,1.265,0.004,1.2,,48581.0,,,,0.04,1591142400.0,-0.593975,,,1.2,4.0,NOK,4000.0,,,,56265964.0,,,59396.0,,1.2,1.23,,394100.0,4000.0,1.85,,,,1.05,1.18,False,0.0325,60000.0,1.2,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.06249994,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.11032819999999999,7.272727499999999,0.46798,1640908800.0,1593475200.0,,,24350240.0,57661000.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,,
AFG,AF Gruppen,Industrials,169.4,169.4,169.6,49,,17788.52,-0.0035,0.0095,-0.0264,-0.0017,-0.0122,0663,Industrials,5524.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,170.0,169.0,166.60928,0.03529412,1.2996001,,170.2,,11976.0,,170.0,173.59445,6.0,169.0,,11976.0,,,,12.0,1589760000.0,0.43915600000000005,,,169.0,2.0,NOK,7678.0,,,,17788524544.0,,,14379.0,0.72126365,169.0,169.6,,178000.0,7678.0,185.0,20.190701999999998,,5.45,124.5,169.4,False,0.0706,52100.0,170.2,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.779,,0.030369998999999998,15.69,-0.071038246,,8.39,,105009000.0,,,20.408,,,,1577750400.0,0.14407,749000000.0,7.291,,0.11032819999999999,8.300666,0.60915,1640908800.0,1593475200.0,,,41049068.0,19204530176.0,,1263772800.0,5:1,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,47 22 89 11 00,,23.234123,,,,,,
AKA,Akastor,Energy,5.95,5.93,5.95,78,,1616.08,0.0051,-0.0341,-0.0034,-0.4014,-0.488,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,5.92,5.91,5.2194285,,0.0,,6.03,,314977.0,,5.92,6.2480555,,5.91,,314977.0,,,,,1397174400.0,1.53253,,,5.78,2.0,NOK,120824.0,,,,1651374976.0,,,419821.0,0.2916078,5.78,5.98,,52200.0,120824.0,12.4,14.874998999999999,,,3.52,5.94,False,,227000.0,6.03,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.688,,-0.0498,12.524000000000001,-0.48877376,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.11032819999999999,0.40053853,0.51141,1640908800.0,1593475200.0,,,136612714.0,3894857216.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,47 21 52 58 00,OksenÃ¸yveien 10 Lysaker,,,,,,,
AKER,Aker,Financials,389.4,389.0,389.4,469,,28921.81,-0.0046,0.0036,-0.0456,-0.262,-0.187,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,Oil & Gas Equipment & Services,391.2,391.0,332.20572000000004,0.030035786000000002,0.0,,391.6,,97154.0,,391.2,401.21112,11.75,391.0,,97154.0,,,,11.75,1595289600.0,1.6867459999999999,,,387.2,2.0,NOK,29004.0,,,,29168863232.0,,,141934.0,0.61920446,387.2,389.6,,111700.0,29004.0,566.0,14.834285999999999,,,182.2,389.2,False,0.03,108400.0,391.6,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.867,,-0.08871,34.41,-0.21603203,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.11032819999999999,1.5487288000000001,0.70268,1640908800.0,1593475200.0,,,67696448.0,87952588800.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,47 24 13 00 00,,,47 24 13 01 01,,,,,
