ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,phone,address2,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,1.73,1.75,1.4089234,,0,,1.755,,4517396,,1.73,1.825,,1.75,,4517396,,,,,,2.714866,,,1.635,4,NOK,2321454,,,,176487872,,,3449983,,1.635,1.66,,0,2321454,3.8,,,,0.25,1.65,False,,0,1.755,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.6615386,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.2004472,9.54023,0.50402,1640908800,1577750400,,,46798691,92963296,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,,
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,60.2,59.8,53.407246,0.002740864,0.8163,,59.8,,15585,,60.2,57.377144,0.165,59.8,,15585,,,,1.06,1597622400,1.121996,,,57.8,2,NOK,4824,,,,1285912192,,,27096,46.42282,57.8,58,,,4824,93.8,,,,39,57.6,False,0.0176,,59.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,56.79,,0.16968,,-0.23506987,,,,22170900,,,6.22,,,,1577750400,0.19871001,4700000,0.208,,0.2004472,9.3247595,0.57717997,1640908800,1593475200,,,6990487,1573088512,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,441 542 9329,2nd Floor 9 Par-la-Ville Road,278.84616,,,,,,
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,Norway,[],http://www.adevinta.com,1,Grensen 5,Internet Content & Information,159.9,163.5,109.79384,,0,,163.5,,2449796,,159.9,149.27715,,163.5,,2449796,,,,,,,,,159.1,2,NOK,187128,,,,109714571264,,,686918,,159.1,160.1,,,187128,169.5,,,,66.7,159.9,False,,,163.5,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.49160445,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.2004472,,0.66005,1640908800,1593475200,,,227972750,106765000704,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,47 23 10 66 00,,,,,,,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,Cyprus,[],http://www.adscrude.com,1,OSM House,Marine Shipping,15.45,15.35,21.155073,,0.4088,,15.35,,148821,,15.45,18.124287,,15.35,,148821,,,,5.44,1598918400,,,,14.3,2,NOK,167831,,,,334481280,,,72278,,14.3,14.4,,,167831,33.4,,,,14.3,14.3,False,0.3181,,15.35,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.22361809,,,,23390300,,,,,,,,0.09734,,,,0.2004472,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,357 2 5335501,22 Amathountos Agios Tychonas,,,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,1.23,1.23,1.2322464,0.0032520327,,,1.23,,76144,,1.23,1.2662857,0.004,1.23,,76144,,,,0.04,1591142400,,,,1.2,4,NOK,28431,,,,58141468,,,59503,,1.2,1.21,,394100,28431,1.85,,,,1.05,1.2,False,0.0339,60000,1.23,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.023809493,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.2004472,7.3333335,0.46798,1640908800,1593475200,,,24514996,59502416,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,,
AKBM-ME,1327,Healthcare,,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,Norway,[],http://www.akerbiomarine.com,1,OksenOeyveien 10,Drug Manufacturers—Specialty & Generic,95.8,95,95.35512,,,,96.98,,89355,,95.8,93.58228,,95,,89355,,,,,,,,,94.5,2,NOK,41905,,,,,,,140493,,94.5,95.79,,,41905,114,,,,87,95.21,False,,,96.98,OSL,AKER BIOMARINE AS,Aker BioMarine AS,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,45.74,,-0.00658,215.076,-0.08500475,,,,,,,2.051,,,,1546214400,,-1022000,-0.015,,0.2004472,46.318867,,1609372800,1593475200,,,14751544,7105046016,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,47 24 13 00 00,PO Box 496,,,,,,,
AOW-ME,1366,Energy,30,"Aker Offshore Wind Holding AS engages in the development of deep-water wind power production. It has a portfolio of development projects and prospects in Europe, North America, and Asia. The company is based in Lysaker, Norway.",Lysaker,Norway,[],http://www.akeroffshorewind.com,1,OksenÃ¸yveien 8,Oil & Gas Equipment & Services,2.93,2.951,3.47,,,,3.08,,19958871,,2.93,3.47,,2.951,,19958871,,,,,,,,,2.705,4,NOK,5001265,,,,1713821056,,,19958871,,2.705,2.82,,,5001265,4.5,,,,1.99,2.8,False,,,3.08,OSL,AKER OFFSHORE WIND,Aker Offshore Wind Holding AS,Europe/Oslo,CEST,False,7200000,EQUITY,AOW-ME.OL,finmb_677430128,no_market,,,,0,,-0.14076245,,,,612078976,,,0.494,,,,,,,,,0.2004472,5.6680164,,,1596153600,,,,1793390848,,,,,,,,,,,,,,https://logo.clearbit.com/akeroffshorewind.com,47 67 51 30 00,,,,,,,,
ACC-ME,1366,Industrials,21,"Aker Carbon Capture AS provides carbon capture technologies. Its technologies mitigate the environmental cost of industry. The company's carbon capture process uses a mixture of water and organic amine solvents to absorb the CO2 that can be applied on emissions from various sources, such as gas, coal, cement, refineries, and waste-to-energy through to hydrogen and other process industries. Its portfolio of products include Just Catch, Big Catch, and Offshore Just Catch, as well as mobile test unit. The company is based in Lysaker, Norway.",Lysaker,Norway,[],http://www.akercarboncapture.com,1,OksenÃ¸yveien 8,Pollution & Treatment Controls,4.32,4.47,5.0302,,,,4.7,,11715002,,4.32,5.0302,,4.47,,11715002,,,,,,,,,4.36,4,NOK,4433692,,,,2632462080,,,11715002,,4.36,4.651,,,4433692,5.8,,,,3.85,4.6505,False,,,4.7,OSL,AKER CARBON CAPTUR,Aker Carbon Capture AS,Europe/Oslo,CEST,False,7200000,EQUITY,ACC-ME.OL,finmb_677426400,no_market,,,,0,,-0.14455444,,,,566060032,,,0.031,,,,,,,,,0.2004472,150.01613,,,1596153600,,,,2886908160,,,,,,,,,,,,,,https://logo.clearbit.com/akercarboncapture.com,47 67 51 30 00,,,47 67 82 69 50,,,,,
ANDF-ME,8400,Consumer Defensive,,"Andfjord Salmon AS operates a fish farm. It operates a closed sea facility for organic salmon farming. The company was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,Norway,[],http://www.andfjordsalmon.com,1,Havnegata 19,Farm Products,48.7,49.79,54.032,,0,,49.79,,18951,,48.7,54.967144,,49.79,,18951,,,,,,,,,48.7,2,NOK,20644,,,,1657682944,,,41630,1006.773,48.7,49.3,,,20644,65,,,,46.5,49.15,False,,,49.79,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,899.935,,0,-184.979,-0.17597288,,,,33624400,,,4.914,,,,1577750400,,-6394534,-0.214,,0.2004472,10.032559,,1640908800,,,,,1481770240,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,,8402 Sortland,,,,,,,
AMSC,1366,Industrials,3,"American Shipping Company ASA, through its subsidiaries, operates as a ship owning and lease finance company in the United States. It is involved in the purchase and bareboat chartering of product tankers, shuttle tankers, and other vessels to operators and end users in the Jones Act market. The company operates a fleet of nine product tankers and one shuttle tanker. The company was formerly known as Aker American Shipping ASA and changed its name to American Shipping Company ASA in June 2008. American Shipping Company ASA was founded in 2005 and is headquartered in Lysaker, Norway.",Lysaker,Norway,[],http://www.americanshippingco.com,1,Building B,Marine Shipping,28.95,28.95,25.579203,0.0117443865,2.1353,,28.95,,48155,,28.95,28.54857,0.34,28.95,,48155,,,,3.58,1598486400,0.957026,,,28.5,2,NOK,9294,,,,1727570304,,,73514,19.608307,28.5,28.65,,114600,9294,37.5,77.02702,,11.47,15.06,28.5,False,0.1238,172600,28.95,OSL,AMER SHIPPING COMP,American Shipping Company ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AMSC.OL,finmb_22594564,no_market,,25.695,,0.106709994,26.577,-0.14222223,,0.37,,60616500,,,2.607,,,,1577750400,0.19708,9402000,0.155,,0.2004472,10.932105,0.28123,1640908800,1593475200,,,43989211,2263842304,,,,,,0.571,,,,,,,,https://logo.clearbit.com/americanshippingco.com,,OksenOeyveien 10,183.87097,,,,,,
