ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,Industrials,61.6,61.6,61.6,0,,1365.73,,,0.09,-0.2901,-0.1582
FIVEPG,5th Planet Games,Communication services,1.83,1.91,1.91,0,LP,194.03,,,0.3419,5.2479,2.2471
AASB-ME,Aasen Sparebank,Equity certificates,114.0,114.0,119.0,0,LP,115.59,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.53,4.48,4.54,0,,1997.63,,,0.0067,0.204,0.5713
ADE,Adevinta,Communication services,158.4,158.4,158.4,0,,108481.75,,,0.3774,0.5231,0.5499
ADSC-ME,ADS Crude Carriers,Energy,18.15,18.15,18.45,0,,424.53,,,-0.032,-0.2541,0.1471
AEGA,Aega,Utilities,1.28,1.24,1.24,0,,61.51,,,0.024,0.10339999999999999,0.0703
AFG,AF Gruppen,Industrials,175.6,176.0,176.0,0,,18439.58,,,-0.0298,0.0348,0.15439999999999998
AKA,Akastor,Energy,6.12,6.09,6.34,0,,1662.25,,,0.1127,-0.3843,-0.3843
AKER,Aker,Financials,409.6,409.6,409.6,0,,30422.12,,,0.0118,-0.2237,0.0377
AKBM-ME,Aker BioMarine,Consumer staples,95.6,96.91,97.2,0,,8373.23,,,0.001,,
AKERBP,Aker BP,Energy,180.0,180.0,180.0,0,,64730.43,,,-0.0123,-0.34729999999999994,-0.1462
AKSO,Aker Solutions,Energy,11.79,11.79,11.79,0,,3206.21,,,0.035699999999999996,-0.426,-0.4292
AKVA,AKVA Group,Industrials,63.8,63.6,64.4,0,LP,2112.19,,,-0.0031,-0.1258,-0.1402
AMSC,American Shipping Company,Industrials,29.65,30.0,30.4,0,,1797.28,,,0.0821,-0.045,-0.0255
ANDF-ME,Andfjord Salmon,Consumer staples,54.69,54.85,54.85,0,,1843.09,,,-0.061900000000000004,,
ABT,Aqua Bio Technology,Materials,5.4,5.4,5.4,0,LP,82.92,,,0.1157,1.3077,1.5
AQUA,AqualisBraemar,Energy,5.45,5.2,5.5,0,,383.22,,,0.25,0.47479999999999994,0.47479999999999994
ARCHER,Archer,Energy,2.69,2.7,2.7,0,,397.20,,,0.23170000000000002,-0.1557,-0.34509999999999996
AZT,ArcticZymes Technologies,Health care,48.6,49.9,49.9,0,,2349.07,,,0.18539999999999998,9.2316,
ARCUS,Arcus,Consumer staples,41.0,41.0,43.7,0,,2779.83,,,0.0276,0.1707,0.1549
AFK,Arendals Fossekompani,Industrials,2940.0,2880.0,2940.0,0,,6436.89,,,0.0426,0.1425,0.1783
ASETEK,Asetek,Information technology,85.5,85.5,85.5,0,,2182.81,,,0.2723,1.7581,3.1707
ATEA,Atea,Information technology,108.0,108.6,108.6,0,,11877.11,,,0.0,-0.1602,-0.013999999999999999
ATLA NOK,Atlantic Petroleum,Energy,6.54,5.52,6.54,0,,24.18,,,0.0381,-0.16690000000000002,
ASA,Atlantic Sapphire,Consumer staples,109.0,110.0,110.0,0,,7770.18,,,-0.128,-0.155,0.10099999999999999
AURG,Aurskog Sparebank,Equity certificates,198.0,198.0,200.0,0,LP,636.41,,,0.0703,0.1073,0.1675
AUSS,Austevoll Seafood,Consumer staples,84.2,84.2,84.2,0,,16993.59,,,0.0518,-0.0345,-0.0706
AVANCE,Avance Gas Holding,Energy,20.54,20.54,20.8,0,,1307.50,,,0.0799,-0.541,-0.0022
AWDR,Awilco Drilling,Energy,3.08,3.06,3.24,0,,168.11,,,-0.0888,-0.8012999999999999,-0.846
ALNG,Awilco LNG,Energy,1.14,1.11,1.14,0,,150.44,,,0.0,-0.6453,-0.6442
AXA,Axactor,Financials,7.05,7.1,7.1,0,,1307.04,,,0.0292,-0.6289,-0.5901
AGS,Axxis Geo Solutions,Energy,0.77,0.78,0.78,0,,45.53,,,-0.2698,-0.38079999999999997,-0.9470000000000001
