ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,Industrials,59.8,59.6,59.8,5,,1325.82,0.0,-0.0033,0.1343,-0.31079999999999997,-0.2041
FIVEPG,5th Planet Games,Communication services,1.81,1.8,1.81,180,LP,192.44,0.0169,0.013999999999999999,-0.0765,5.1964999999999995,1.9694999999999998
AASB-ME,Aasen Sparebank,Equity certificates,117.0,116.0,117.0,0,LP,118.63,,,0.0263,-0.0265,0.07339999999999999
ASC,ABG Sundal Collier Holding,Financials,4.51,4.5,4.51,15,,1988.81,0.0022,-0.0088,0.0297,0.1986,0.5693
ADE,Adevinta,Communication services,161.2,161.2,161.4,595,,110399.35,-0.0049,0.0138,0.18530000000000002,0.55,0.49810000000000004
ADSC-ME,ADS Crude Carriers,Energy,17.8,17.6,17.8,30,,416.35,0.011399999999999999,-0.019299999999999998,-0.0404,-0.2685,0.1191
AEGA,Aega,Utilities,1.24,1.21,1.24,7,,59.58,0.016399999999999998,-0.0388,-0.0159,0.069,-0.07719999999999999
AFG,AF Gruppen,Industrials,166.4,166.2,166.4,10,,17473.50,0.012199999999999999,-0.0704,-0.07139999999999999,-0.0194,0.036000000000000004
AKA,Akastor,Energy,7.05,7.01,7.05,52,,1914.85,-0.0154,0.1576,0.268,-0.2907,-0.3671
AKER,Aker,Financials,412.2,411.8,412.0,356,,30615.23,-0.0053,0.0352,0.06570000000000001,-0.2188,-0.0028000000000000004
AKBM-ME,Aker BioMarine,Consumer staples,91.11,91.11,91.4,107,,7979.97,-0.0005,0.0123,0.0067,,
AKERBP,Aker BP,Energy,172.6,172.5,172.6,762,,62069.29,-0.0083,-0.0143,-0.0519,-0.37420000000000003,-0.1885
ACC-ME,Aker Carbon Capture,Industrials,5.62,5.66,5.7,2663,,3181.83,0.1069,,,,
AOW-ME,Aker Offshore Wind Holding,Industrials,3.99,3.99,4.0,3790,,2442.19,0.171,,,,
AKSO,Aker Solutions,Energy,10.36,10.33,10.36,855,,2817.33,-0.0354,-0.0574,-0.1442,-0.4966,-0.524
AKVA,AKVA Group,Industrials,63.4,63.2,63.8,3,LP,2098.95,-0.009399999999999999,-0.0216,-0.0063,-0.13119999999999998,-0.1924
AMSC,American Shipping Company,Industrials,30.55,30.35,30.55,38,,1851.83,0.0029,0.051500000000000004,0.1602,0.0126,0.0212
ANDF-ME,Andfjord Salmon,Consumer staples,51.0,50.5,51.0,13,,1718.73,0.022000000000000002,-0.0192,-0.1297,,
ABT,Aqua Bio Technology,Materials,5.45,5.35,5.45,54,LP,83.69,-0.0603,0.028300000000000002,0.15960000000000002,1.3291,1.5952000000000002
AQUA,AqualisBraemar,Energy,5.35,5.4,5.5,40,,376.19,-0.0273,-0.009300000000000001,0.1889,0.44770000000000004,0.5179
ARCHER,Archer,Energy,2.34,2.3,2.32,34,,345.43,-0.0189,-0.10189999999999999,0.0662,-0.2657,-0.41409999999999997
AZT,ArcticZymes Technologies,Health care,68.2,68.0,68.4,512,,3296.42,0.021,0.22219999999999998,0.6277,,
ARCUS,Arcus,Consumer staples,40.3,40.3,40.5,19,,2732.37,-0.0049,-0.0171,-0.0171,0.1507,0.1382
AFK,Arendals Fossekompani,Industrials,3100.0,3060.0,3100.0,31,,6787.20,0.0,0.0594,0.07400000000000001,0.21030000000000001,0.20579999999999998
ASETEK,Asetek,Information technology,88.3,88.3,88.8,37,,2265.11,-0.0011,0.1051,0.4061,1.8484,3.7319999999999998
ATEA,Atea,Information technology,104.4,104.2,104.6,35,,11481.20,0.0097,0.0116,-0.024300000000000002,-0.1882,-0.0519
ATLA NOK,Atlantic Petroleum,Energy,6.2,6.2,6.98,10,,22.93,0.016399999999999998,,-0.1066,-0.2102,
ASA,Atlantic Sapphire,Consumer staples,104.5,104.0,104.5,67,,7449.40,0.0,-0.0095,-0.11109999999999999,-0.1938,0.0766
AURG,Aurskog Sparebank,Equity certificates,197.0,195.0,197.0,0,LP,633.19,,,0.026000000000000002,0.1017,0.1975
AUSS,Austevoll Seafood,Consumer staples,80.8,80.7,80.85,262,,16307.39,-0.0055000000000000005,-0.0116,0.0346,-0.0735,-0.1082
AVANCE,Avance Gas Holding,Energy,21.42,21.42,21.46,804,,1363.52,-0.050300000000000004,0.0706,0.0906,-0.5186999999999999,-0.1814
AWDR,Awilco Drilling,Energy,2.94,2.94,3.0,7,,160.47,-0.0167,-0.0233,-0.1091,-0.8103,-0.8384999999999999
ALNG,Awilco LNG,Energy,1.07,1.07,1.12,8,,141.16,-0.0318,-0.0658,-0.0739,-0.6672,-0.6723
AXA,Axactor,Financials,8.02,7.99,8.02,496,,1486.87,-0.0326,0.0941,0.1425,-0.5779,-0.4792
AGS,Axxis Geo Solutions,Energy,0.67,0.65,0.67,8,,39.65,0.006,0.0212,-0.3701,-0.4608,-0.9501000000000001
AYFIE-ME,ayfie Group,Information technology,2.38,2.38,2.4,3,,252.25,0.0021,-0.0104,-0.030600000000000002,,
B2H,B2Holding,Financials,6.89,6.86,6.89,237,,2824.44,-0.0014000000000000002,0.0455,0.38770000000000004,-0.2789,0.16390000000000002
BAKKA,Bakkafrost,Consumer staples,551.5,550.0,551.5,637,,32601.16,0.0129,0.0,-0.017,-0.15380000000000002,0.020499999999999997
BALT-ME,Baltic Sea Properties,Real estate,30.8,30.8,,0,,205.37,,,,,
BEL,Belships,Industrials,6.3,6.25,6.4,1,LP,1434.05,-0.0079,-0.015600000000000001,-0.0455,-0.131,-0.06
BGBIO,BerGenBio,Health care,33.1,33.05,33.1,216,,2888.31,0.0015,-0.051500000000000004,-0.11599999999999999,0.3685,0.9196
BSP-ME,Black Sea Property,Consumer discretionary,2.9,2.14,2.9,0,,48.27,,,0.11539999999999999,-0.5043,
BON,Bonheur,Industrials,236.0,235.5,236.0,20,,10037.53,-0.0021,0.0064,0.10800000000000001,0.21,0.2945
