ticker,industry,sector,companyOfficers,maxAge,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,zip,longBusinessSummary,city,phone,country,website,address1,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,address2
PLT,Electronic Equipment,Consumer Goods,[],1,77.3,77.9,61.87643,,0,,80.4,,24229,,77.3,64.59706,,77.9,,24229,,,,,,,,,76.2,2,NOK,,66162,,,,700189056,,,35958,200.39755,76.2,77.3,,0,66162,95,,,,6.6,76.7,False,,0,80.4,OSL,POLIGHT ASA,poLight ASA,Europe/Oslo,CEST,False,7200000,EQUITY,PLT.OL,finmb_39950814,no_market,,165.801,,0,-9.349,6.6534653,,,,9046370,,,13.582,,,,1577750400,0.50662,-82413000,-10.154,,,5.698719,0.115959994,1640908800,1585612800,,,4214463,579310272,,,,,,,,,,,,,,,21,,,,,,,,,,,,046cac0f-3777-35a9-8f0e-7c36293edb39,
ROMSB-ME,,,[],1,115.5,115.5,111.53472,0.07168831,0,,115.5,,9,,115.5,114.22059,8.28,115.5,,9,,,,,,,,,115.5,2,NOK,23.697168,44,,,,226922848,,,70,1.6691395,115.5,0,,,44,119,,,,102,114.2,False,,,115.5,OSL,ROMSDAL SPAREBANK,Romsdal Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,ROMSB-ME.OL,finmb_32489035,no_market,,10.154,,0.29304,,Infinity,,,,1964700,,,373.643,,,,1577750400,,9576000,4.874,,,0.3091186,,1640908800,1585612800,,,,1380393856,,,,,,-0.124,,,,,,,,,,,,,,,,,,,,,79804c60-17fd-3d3e-b5b5-988dd06cf2f5,
SALMON,Farm Products,Consumer Goods,[],1,55.8,54.4,59.550365,0.0045698923,0.7757,,55,,835,,55.8,55.811764,0.255,54.4,,835,,,,2.63,1588636800,0.735443,,,54.4,2,NOK,118.534485,246,,,,3606377472,,,1666,10.354793,54.4,56.6,,0,246,75,,,,40,55,False,0.0466,0,55,OSL,SALMONES CAMANCHAC,Salmones Camanchaca S.A.,Europe/Oslo,CEST,False,7200000,EQUITY,SALMON.OL,finmb_128615902,no_market,,10.807,,0.08799,54.529,-0.2051282,,,,66000000,,,3.042,,,,1577750400,0.32634997,30645000,0.464,,,18.08021,0.74389,1640908800,1585612800,,,19800000,3763853056,,,,,,-0.865,,,,,,,,,1755,,,,,,,,,,,,22f0e8a2-c696-3735-8edb-39400d62d7e2,
SAGA,Shipping,Services,[],1,0.91,0.92,0.89087594,0.10989011,0,,0.925,,115933,,0.91,0.9264706,0.1,0.92,,115933,,,,0.1,1592352000,0.648083,,,0.87,4,NOK,,237511,,,,238204240,,,146773,4.3491735,0.87,0.9,,607200,237511,1.25,,,,0.62,0.89,False,0.108100004,1000000,0.925,OSL,SAGA TANKERS ASA,Saga Tankers ASA,Europe/Oslo,CEST,False,7200000,EQUITY,SAGA.OL,finmb_104481471,no_market,,3.775,,-1.3173399,6.494,-0.07142854,,,,266150000,,,0.942,,,,1577750400,0.06307,-72151000,-0.274,,,0.95010614,0.84233004,1640908800,1585612800,,,28262451,206752352,,,,,,,,,,,,,,,6,,,,,,,,,,,,67fbca9a-e66f-3722-a9c2-d56fd1816a50,
SADG,Savings & Loans,Financial,[],1,60.4,60.4,60.29124,0.08278146,0.6849,,62.2,,3963,,60.4,58.611763,5,60.4,,3963,,,,5,1585699200,0.529036,,,60.2,2,NOK,8.440765,7833,,,,1301242624,,,6542,2.2794986,60.2,62.4,,150000,7833,78,10.315091,,,50,62.2,False,0.0828,100000,62.2,OSL,SANDNES SPAREBANK,Sandnes Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,SADG.OL,finmb_7009157,no_market,,17.991,,0.44357,,-0.056249976,,6.03,,20920300,,,130.786,,,,1577750400,0.25989,165028992,7.369,,,0.4755861,0.21443,1640908800,1585612800,,,10346965,10269832192,,,,,,-0.422,,,,,,,,,133,,,,,,,,,,,,c56ac015-82e6-3bc7-8716-b1cd496f79ed,
SBANK,Money Center Banks,Financial,[],1,68.8,69,60.218613,0.025436046,0,,69.8,,66191,,68.8,65.05,1.75,69,,66191,,,,,1587945600,1.099619,,,68.5,2,NOK,10.620286,50884,,,,7368648192,,,127161,4.3184266,68.5,69.3,,0,50884,77.6,9.46502,,,38.5,68.9,False,,0,69.8,OSL,SBANKEN ASA,Sbanken ASA,Europe/Oslo,CEST,False,7200000,EQUITY,SBANK.OL,finmb_215678890,no_market,,14.136,,0.4069,,0.06336951,,7.29,,106792000,,,69.237,,,,1577750400,0.86196,694308992,6.497,,,0.99657696,0,1640908800,1593475200,,,78567128,24120934400,,,,,,0.048,,,,,,,,,338,,,,,,,,,,,,d2bc4800-932a-3817-b298-6e2d130d91bc,
SDSD,Oil & Gas Equipment & Services,Basic Materials,[],1,0.738,0.738,0.8248248,0,0,,0.74,,460252,,0.738,0.7542941,0,0.738,,460252,,,,,1446163200,0.732288,,,0.72,4,NOK,,614488,,,,421651008,,,710977,-81.242966,0.72,0.738,,246300,614488,1.41,36.600002,,,0.68,0.732,False,,1200000,0.74,OSL,S.D. STANDARD DRIL,S.D. Standard Drilling Plc,Europe/Oslo,CEST,False,7200000,EQUITY,SDSD.OL,finmb_117207561,no_market,,-80.756,,0,,-0.3198157,,0.02,,576025984,,,0.186,,,,1577750400,0.20236999,-7025000,-0.012,,,3.9354837,0.68294996,1640908800,1585612800,,,284320673,419122176,,1493942400,1:3,,,,,,,,,,,,2,,,,,,,,,,,,c402d990-30ec-3132-96d5-67784a88888a,
SSG,Rental & Leasing Services,Services,[],1,24.3,24.4,25.659124,,0,,24.4,,8932,,24.3,24.82353,,24.4,,8932,,,,,,0.898826,,,24,2,NOK,29.277107,13444,,,,2049184896,,,28005,7.4344687,24,24.3,,0,13444,33,27.613636,,,19,24.2,False,,0,24.4,OSL,SELF STORAGE GROUP,Self Storage Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,SSG.OL,finmb_540146654,no_market,,10.382,,0.23823,17.633,,,0.88,,84328600,,,12.686,,,,1577750400,0.52766997,65665000,0.83,,,1.9154973,0.46776,1640908800,1585612800,,,38929448,2861655552,,,,,,0.371,,,,,,,,,66,,,,,,,,,,,,c6cbba01-08d5-33e4-af37-a0c8cde4dcfd,
RIVER-ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHA,Publishing - Newspapers,Services,[],1,344.8,344.7,247.59782,0.005800464,0,,351.7,,172918,,344.8,286.7743,2,344.7,,172918,,,,,1588809600,0.845528,,,343.5,2,NOK,130.09637,85235,,,,78515191808,,,211301,4.097015,343.5,351.2,,121500,85235,358.6,41.00467,,,170,350.9,False,,7700,351.7,OSL,SCHIBSTED ASA,Schibsted ASA,Europe/Oslo,CEST,True,7200000,EQUITY,SCHA.OL,finmb_878146,no_market,,4.82,,0.03313,35.162,0.4177631,,8.56,,104460000,,,45.603,,,,1577750400,0.52269,635000000,2.698,,,7.6968617,0.30409,1640908800,1593475200,,,166450463,92371419136,,,,,,0.738,,,,,,,,,5006,,,,,,,,,,,,a21658e3-6dae-3714-b154-d6774d6e582d,
