ticker,industry,sector,companyOfficers,maxAge,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,zip,longBusinessSummary,city,phone,country,website,address1,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,address2
SBX,Oil & Gas Equipment & Services,Basic Materials,[],1,4.29,4.29,2.020987,,0,,4.47,,76526,,4.29,4.4947057,,4.29,,76526,,,,,,2.88734,,,4.29,4,NOK,,51262,,,,115861352,,,999731,1.9919086,4.29,4.3,,,51262,5.35,,,,0.176,4.3,False,,,4.47,OSL,SEABIRD EXPL PLC,SeaBird Exploration Plc,Europe/Oslo,CEST,False,7200000,EQUITY,SBX.OL,finmb_26654204,no_market,,2.009,,-0.39963,-20.852,4.689655,,,,26944500,,,1.737,,,,1577750400,0.06083,-23245000,-0.863,,,2.4755328,0.28686002,1640908800,1585612800,,,21850434,116831784,,1591228800,1:20,,,,,,,,,,,,460,,,,,,,,,,,,8ccc4807-977c-304d-b7ae-dfeb13660bc6,
SIKRI-ME,,,[],1,121,121,97.219376,,,,124,,12285,,121,97.219376,,121,,12285,,,,,,,,,121,2,NOK,,2013,,,,1813204480,,,14165,,121,124.9,,,2013,135,,,,87,123,False,,,124,OSL,SIKRI HOLDING AS,Sikri Holding AS,Europe/Oslo,CEST,False,7200000,EQUITY,SIKRI-ME.OL,finmb_665908878,no_market,,,,0,,Infinity,,,,14741500,,,4.162,,,,,,,,,,29.553099,,,1585612800,,,,1818256640,,,,,,979252,,,,,,,,,101,,,,,,,,,,,,b6cf3402-2981-3a2a-bc32-abacced18a98,
SOGN,Money Center Banks,Financial,[],1,98,100,100.175186,0.030612245,0,,100,,95,,98,101.51471,3,100,,95,,,,3,1586995200,0.027874,,,100,2,NOK,21.881838,150,,,,63250000,,,123,0.46226934,100,100,,0,150,110,,,,90.5,98,False,0.0306,0,100,OSL,SOGN SPAREBANK,Sogn Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,SOGN.OL,finmb_9192756,no_market,,-2.861,,0.16574,,-0.015075386,,,,632500,,,1454.886,,,,1577750400,0.07202,2829000,4.57,,,0.06873391,0.45014998,1640908800,1585612800,,,368366,-391508096,,,,,,,,,,,,,,,,,,,,,,,,,,,d0fe10f0-a92f-30e2-859a-ac83025e9a89,
SIOFF,Oil & Gas Pipelines,Basic Materials,[],1,0.92,0.935,0.9666423,,0,,0.935,,39819,,0.92,0.96632355,,0.935,,39819,,,,,1399334400,0.714285,,,0.91,4,NOK,,13359,,,,850612544,,,93711,3.0824099,0.91,0.94,,137000,13359,2,-45.500004,,,0.6,0.91,False,,132200,0.935,OSL,SIEM OFFSHORE INC,Siem Offshore Inc.,Europe/Oslo,CEST,False,7200000,EQUITY,SIOFF.OL,finmb_23954324,no_market,,6.635,,-0.31768,20.096,-0.34285712,,-0.02,,934739008,,,0.335,,,,1577750400,0.00196,-92925000,-0.093,,,2.716418,0.97419,1640908800,1585612800,,,30500526,1831076736,,,,,,,,,,,,,,,1102,,,,,,,,,,,,a3c28fbe-b1c0-3929-ae8a-638a1b89f2da,
NONG,Money Center Banks,Financial,[],1,65.6,64.6,64.011314,0.06097561,0.2589,,66.9,,105274,,65.6,63.191177,4,64.6,,105274,,,,4,1585267200,0.702671,,,64.6,2,NOK,9.294827,92812,,,,6656387584,,,158272,1.8337156,64.6,66.3,,86400,92812,81,9.664723,,5.62,46.35,66.3,False,0.061,141000,66.9,OSL,SPAREBK 1 NORD-NOR,SpareBank 1 Nord-Norge,Europe/Oslo,CEST,False,7200000,EQUITY,NONG.OL,finmb_4509224,no_market,,8.58,,0.43444002,,-0.016491711,,6.86,,100398000,,,136.365,,,,1577750400,0.25226,720000000,7.133,,,0.48619515,0.09822,1640908800,1585612800,,,95209320,31144239104,,1301529600,4:3,,,-0.558,,,,,,,,,906,,,,,,,,,,,,0eaa2134-341b-36b7-a162-fec9e91edee8,
SOFTOX-ME,Biotechnology,Healthcare,[],1,57,57,66.25329,,0,,57.5,,18814,,57,64.70588,,57,,18814,,,,,,-6.219522,,,52,2,NOK,,43310,,,,418553984,,,80340,103.396935,52,55,,,43310,116,,,,18,54,False,,,57.5,OSL,SOFTOX SOLUTIONS,SoftOx Solutions AS,Europe/Oslo,CEST,False,7200000,EQUITY,SOFTOX-ME.OL,finmb_545902392,no_market,,95.884,,0,-16.772,,,,,7751000,,,10.206,,,,1577750400,,-19330244,-2.494,,,5.291005,,1640908800,1585612800,,,5103956,388143008,,1530489600,50:1,,,,,,,,,,,,12,,,,,,,,,,,,101cdf12-74dc-3bc7-9b72-4c9802a2c1d8,
MING,Money Center Banks,Financial,[],1,83.4,84,80.58321,0.059952036,0.5971,,87.5,,104738,,83.4,78.9147,5,84,,104738,,,,5,1585267200,0.865853,,,83.3,2,NOK,10.268657,289823,,,,11165895680,,,215454,2.192831,83.3,86.2,,130100,289823,106,8.893485,,4.72,58.2,85.9,False,0.06,113200,87.5,OSL,SPAREBANK 1 SMN,SpareBank 1 SMN,Europe/Oslo,CEST,False,7200000,EQUITY,MING.OL,finmb_881999,no_market,,5.242,,0.34328,,-0.15587044,,9.67,,129836000,,,145.743,,,,1577750400,0.40594003,1084000000,8.375,,,0.5900798,0.05777,1640908800,1585612800,,,124074110,26694397952,,1238112000,6:5,,,-0.733,,,,,,,,,1553,,,,,,,,,,,,7be6b8a4-5b90-3fbc-9371-245907c7b391,
SNOR,Money Center Banks,Financial,[],1,111,108,110.58029,0.058558557,0.6379,,111,,110,,111,109.55882,6.5,108,,110,,,,6.5,1585785600,0.111436,,,108,2,NOK,12.698775,131,,,,248927488,,,548,0.61395365,108,111,,0,131,128,9.6858635,,,95,109,False,0.0586,0,111,OSL,SPAREBK 1 NORDVEST,Sparebank 1 Nordvest,Europe/Oslo,CEST,False,7200000,EQUITY,SNOR.OL,finmb_49703696,no_market,,8.91,,0.28702,,0.057142854,,11.46,,2242590,,,980.293,,,,1577750400,0.05173,18547000,8.741,,,0.11323145,0.50136,1640908800,1585612800,,,1236695,3612658944,,,,,,-0.824,,,,,,,,,,,,,,,,,,,,,395299a7-1e64-35a5-817a-5edb041835b0,
SOAG,Money Center Banks,Financial,[],1,236,230,226.76642,0.061016947,5.4175,,230,,28,,236,228.52942,14.4,230,,28,,,,12,1585872000,0.091753,,,230,2,NOK,9.17358,2,,,,2849263104,,,508,3.6906645,230,236,,90100,2,270,9.579342,,4.37,185,230,False,0.0508,40000,230,OSL,SPAREBANK 1 OSTFOL,SpareBank 1 Ãstfold Akershus,Europe/Oslo,CEST,False,7200000,EQUITY,SOAG.OL,finmb_12505834,no_market,,7.968,,0.42986,,0.07272732,,24.01,,12388100,,,291.183,,,,1577750400,0.09793,310620992,25.072,,,0.7898812,0.80093,1640908800,1585612800,,,3699223,6151755776,,,,,,-0.525,,,,,,,,,,,,,,,,,,,,,a7cf2ced-7d76-33c6-8a53-9928120ada46,
SBTE,Money Center Banks,Financial,[],1,126,126,125.57299,0.061904762,0.4284,,126,,1828,,126,126.97059,7.8,126,,1828,,,,5.8,1585267200,,,,126,2,NOK,9.312639,1287,,,,1340526592,,,1385,1.8792728,126,128,,0,1287,143,,,,109,126,False,0.045300003,0,126,OSL,SPAREBANK 1 TELEMK,SpareBank 1 Telemark,Europe/Oslo,CEST,False,7200000,EQUITY,SBTE.OL,finmb_33838065,no_market,,11.234,,0.42354,,0.049999952,,,,10898600,,,320.224,,,,1577750400,0.09318,147496000,13.53,,,0.39347458,0.64611,1640908800,1585612800,,,10174852,8013227520,,,,,,-0.346,,,,,,,,,,,,,,,,,,,,,2c4ec891-6da1-3876-8384-b8cff884b924,
RING,Money Center Banks,Financial,[],1,228,228,219.87592,0.058333334,0.65739995,,228,,388,,228,224.82353,13.3,228,,388,,,,13.3,1584662400,0.33914,,,228,2,NOK,11.263709,50,,,,3568291328,,,704,4.552879,228,234,,30000,50,240,10.734464,,5.24,185,230,False,0.0583,27700,228,OSL,SPAREBK RING HADEL,SpareBank 1 Ringerike Hadeland,Europe/Oslo,CEST,False,7200000,EQUITY,RING.OL,finmb_9220341,no_market,,9.237,,0.41522998,,0.08571434,,21.24,,15650400,,,233.221,,,,1577750400,0.049590003,316784000,20.242,,,0.9776135,0.73478997,1640908800,1585612800,,,4304957,7239292416,,,,,,-0.558,,,,,,,,,,,,,,,,,,,,,224474a1-3bbb-3a9b-bc52-ac97ff01b43b,
SBVG,Money Center Banks,Financial,[],1,35,35.8,36.332848,0.084285714,0.6158,,36.3,,20489,,35,35.80294,2.95,35.8,,20489,,,,2.42,1585699200,0.367595,,,35.5,2,NOK,8.974042,35886,,,,2290580736,,,13271,1.9530772,35.5,36.4,,100000,35886,44.5,8.810679,,6.51,28,36.3,False,0.0691,380000,36.3,OSL,SPAREBANK 1 BV,SpareBank 1 BV,Europe/Oslo,CEST,False,7200000,EQUITY,SBVG.OL,finmb_11323750,no_market,,7.8,,0.38969,,,,4.12,,63101400,,,81.31,,,,1577750400,0.06849,255248992,4.045,,,0.44643956,0.51590997,1640908800,1585612800,,,56475711,9148425216,,1320624000,6:5,,,-0.477,,,,,,,,,342,,,,,,,,,,,,b4cb79f8-d921-3b5d-bc78-0f74db46072f,
SOR,Money Center Banks,Financial,[],1,99,99.6,98.38686,0.060606062,0,,99.6,,5084,,99,98.57647,6,99.6,,5084,,,,,1585267200,0.222415,,,99.4,2,NOK,9.196892,5426,,,,1556991744,,,2819,0.66737753,99.4,99.6,,63500,5426,123,9.484734,,,80,99.2,False,,98600,99.6,OSL,SPAREBANKEN SOR,Sparebanken SÃ¸r,Europe/Oslo,CEST,False,7200000,EQUITY,SOR.OL,finmb_5719538,no_market,,26.149,,0.45221,,0.042105317,,10.48,,15663900,,,843.593,,,,1577750400,0.10958,175000000,10.808,,,0.11782933,0.64037,1640908800,1585612800,,,6022160,61006729216,,,,,,-0.299,,,,,,,,,434,,,,,,,,,,,,f0a4015a-e222-3f67-9088-d83be6bd369a,
SKUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLON,Real Estate Development,Financial,[],1,29.8,31,30.605839,0.06711409,1.6694,,31,,18467,,29.8,30.05,2,31,,18467,,,,,1557273600,0.486826,,,29.9,2,NOK,28.409092,7950,,,,2200890112,,,28619,1.6076473,29.9,30.2,,0,7950,40.6,10.752688,,,24,29.9,False,,0,31,OSL,SOLON EIENDOM ASA,Solon Eiendom ASA,Europe/Oslo,CEST,False,7200000,EQUITY,SOLON.OL,finmb_410651936,no_market,,3.652,,0.05347,20.394,-0.14857143,,2.79,,73363000,,,16.987,,,,1577750400,0.14716,73203000,1.056,,,1.7660564,0.64419997,1640908800,1585612800,,,20671822,4999841792,,1490572800,1:200,,,,,,,,,,,,,,,,,,,,,,,,abcae3f7-7509-3e50-8a01-ad5b236172c9,
SPOL,Money Center Banks,Financial,[],1,88.1,87.6,87.661316,0.06492622,0.5395,,88.7,,22987,,88.1,88.117645,5.72,87.6,,22987,,,,4.58,1585267200,0.83146,,,87.6,2,NOK,10.478685,57240,,,,10193040384,,,30267,2.8321867,87.6,88.3,,0,57240,101.6,9.90991,,,70.1,87.9,False,0.0515,0,88.7,OSL,SPAREBANK 1 OSTLAN,SpareBank 1 Ãstlandet,Europe/Oslo,CEST,False,7200000,EQUITY,SPOL.OL,finmb_12505908,no_market,,14.113,,0.38926998,,0.038915038,,8.88,,115830000,,,139.282,,,,1577750400,0.14663,973000000,8.398,,,0.63181174,0.66322,1640908800,1593475200,,,115617820,50791604224,,,,,,-0.07,,,,,,,,,1139,,,,,,,,,,,,570d1e40-e6eb-36fd-94ed-02edf23d7a9a,
SPOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRBANK,Money Center Banks,Financial,[],1,78.5,78.5,73.63007,0.070063695,0.5233,,80.35,,347242,,78.5,72.43382,5.5,78.5,,347242,,,,,1587686400,0.918118,,,78.5,2,NOK,12.954841,197617,,,,20394786816,,,338773,4.6852255,78.5,79.7,,,197617,105.3,,,,48.38,79.7,False,,,80.35,OSL,SPAREBANK 1 SR BK,SpareBank 1 SR-Bank ASA,Europe/Oslo,CEST,False,7200000,EQUITY,SRBANK.OL,finmb_883781,no_market,,34.117,,0.35722,,,,,,255734000,,,98.551,,,,1577750400,0.37039003,1480000000,6.156,,,0.8092257,0.32251,1640908800,1593475200,,,167015638,148511227904,,,,,,-0.716,,,,,,,,,1255,,,,,,,,,,,,8ee5ca3d-26b8-36c3-9e7f-fabac7a9dd9b,
SVEG,Money Center Banks,Financial,[],1,65.7,66,60.968613,0.0368341,0.34080002,,67.8,,33006,,65.7,62.755882,2.42,66,,33006,,,,2.42,1585094400,0.564459,,,65.8,2,NOK,9.979117,38423,,,,7178035712,,,51737,1.8255432,65.8,67.1,,100000,38423,73.8,10.585443,,5.88,42.1,66.9,False,0.0368,300000,67.8,OSL,SPAREBANKEN VEST,Sparebanken Vest,Europe/Oslo,CEST,False,7200000,EQUITY,SVEG.OL,finmb_8081598,no_market,,29.025,,0.50203,,0.25381672,,6.32,,107295000,,,148.969,,,,1577750400,0.31427,539000000,6.704,,,0.44908676,0.26554,1640908800,1585612800,,,82679268,114124914688,,,,,,-0.221,,,,,,,,,722,,,,,,,,,,,,7a2d122c-4b88-3068-9aa7-0e98d1c5b807,
SUNSB-ME,Savings & Loans,Financial,[],1,114,114,110.24818,0.07017544,0.296,,114,,110,,114,110.47059,8,114,,110,,,,8,1585267200,0.163578,,,114,2,NOK,16.40524,300,,,,154713952,,,255,1.6483306,114,115,,,300,117,,,,106,114,False,0.070199996,,114,OSL,SUNNDAL SPAREBANK,Sunndal Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,SUNSB-ME.OL,finmb_32452702,no_market,,4.489,,0.37075,,0.0363636,,,,1357140,,,369.061,,,,1577750400,0.015420001,5527000,6.949,,,0.308892,0,1640908800,1585612800,,,931366,421316192,,,,,,-0.441,,,,,,,,,,,,,,,,,,,,,dd197052-51d0-31d7-81d4-de6977485aa6,
STB,Property & Casualty Insurance,Financial,[],1,51.18,51.36,51.89297,0.063501365,0,,52.58,,1185753,,51.18,51.35206,3.25,51.36,,1185753,,,,,1587600000,1.271777,,,51.36,2,NOK,13.314706,1762407,,,,24500584448,,,2512944,0.38695112,51.36,52.44,,81400,1762407,74.9,9.228873,,,33.84,52.42,False,,115200,52.58,OSL,STOREBRAND ASA,Storebrand ASA,Europe/Oslo,CEST,False,7200000,EQUITY,STB.OL,finmb_876161,no_market,,0.809,,0.02922,16.775,-0.06945455,,5.68,,467390016,,,73.592,,,,1577750400,0.64619005,1838000000,3.937,,,0.7123056,0.05957,1640908800,1593475200,,,457939559,51196030976,,,,,,-0.002,,,,,,,,,1683,,,,,,,,,,,,51fabac2-38a8-3ceb-a804-75f790a366ca,
SNI,Shipping,Services,[],1,82.7,82.7,89.231384,0,,,83,,18985,,82.7,84.0853,0,82.7,,18985,,,,,1587600000,0.980255,,,82.2,2,NOK,,42619,,,,6507202560,,,19873,3.2220876,82.2,83,,400,42619,134.6,55.066666,,5.67,69.6,82.9,False,,145400,83,OSL,STOLT-NIELSEN LTD,Stolt-Nielsen Limited,Europe/Oslo,CEST,False,7200000,EQUITY,SNI.OL,finmb_305831,no_market,,3.807,,-0.00336,19.947,,,1.5,,63023800,,,20.457,,,,1575072000,0.11141,-1544000,-0.113,,,4.0377374,0.61417,1638230400,1590883200,,,33134761,7688679936,,,,,,0.01,,,,,,,,,6749,,,,,,,,,,,,b9065de0-e668-3a66-871a-60fbe6d371a0,
SUSB-ME,Money Center Banks,Financial,[],1,108,108,107.0219,0.06481481,0.2025,,108,,121,,108,106.52941,7,108,,121,,,,7,1583280000,0.243302,,,108,2,NOK,3.2527182,35,,,,217656720,,,467,1.4130526,108,109,,,35,117,,,,100,107,False,0.0654,,108,OSL,SURNADAL SPAREBANK,Surnadal Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,SUSB-ME.OL,finmb_58060310,no_market,,3.969,,0.43442002,,-0.031624615,,,,2015340,,,421.213,,,,1577750400,0.03771,66915000,33.203,,,0.25640234,0,1640908800,1585612800,,,1899140,611333248,,,,,,-0.407,,,,,,,,,,,,,,,,,,,,,2e02084b-fec2-35c2-980f-3a238c630cc9,
TEAM,Shipping,Services,[],1,3.4,3.22,4.628321,,0,,3.22,,20231,,3.4,3.4,,3.22,,20231,,,,,,-0.337979,,,3.22,4,NOK,,5587,,,,653598784,,,20194,2.0314503,3.22,3.58,,,5587,7.65,,,,3,3.22,False,,,3.22,OSL,TEAM TANKERS INTL,Team Tankers International Ltd.,Europe/Oslo,CEST,False,7200000,EQUITY,TEAM.OL,finmb_28747656,no_market,,2.577,,-0.12687999,38.074,-0.40869564,,,,202980992,,,1.657,,,,1577750400,0.00877,-40821000,-0.216,,,1.943271,0.113129996,1640908800,1585612800,,,139405841,829069376,,,,,,,,,,,,,,,88,,,,,,,,,,,,9eb2925f-168c-30d3-8255-c18bb3011de9,
TYSB-ME,Money Center Banks,Financial,[],1,113,113,111.48175,0.03964602,0,,113,,148,,113,111.64706,4.48,113,,148,,,,4.48,1591920000,0.201016,,,113,2,NOK,6.1627398,43,,,,171430048,,,92,2.5188816,113,113,,,43,128,,,,98,111,False,0.040700004,,113,OSL,TYSNES SPAREBANK,Tysnes Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,TYSB-ME.OL,finmb_243651074,no_market,,9.595,,0.36630002,,,,,,1517080,,,210.553,,,,1577750400,0.02637,24930000,18.336,,,0.536682,0,1640908800,1585612800,,,700022,653036032,,,,,,-0.485,,,,,,,,,,,,,,,,,,,,,de47baa7-16a7-3778-aa54-ecf4024100b0,
SUBC,Oil & Gas Equipment & Services,Basic Materials,[],1,72.16,73,67.13022,,0,,74.28,,787919,,72.16,66.18,,73,,787919,,,,,1556150400,1.630662,,,72.22,2,NOK,,506046,,,,21874728960,,,1185257,6.541486,72.22,73.76,,128000,506046,110.1,294.4,,,38.5,73.72,False,,37100,74.28,OSL,SUBSEA 7 S.A.,Subsea 7 S.A.,Europe/Oslo,CEST,False,7200000,EQUITY,SUBC.OL,finmb_359868,no_market,,6.431,,-0.31124002,53.378,-0.15562832,,0.25,,297211008,,,14.516,,,,1577750400,0.61302,-1040800000,-3.495,,,5.070267,0.24016,1640908800,1593475200,,,223844129,21506113536,,,,,,,,,,,,,,,,,,,,,,,,,,,8610c031-034f-3083-a212-b713518bf428,
STORM,Property Management,Financial,[],1,3.08,3.16,2.5966423,0.13928571,0,,3.16,,14706,,3.08,3.3911765,0.429,3.16,,14706,,,,,1464307200,1.486643,,,2.82,4,NOK,,1682,,,,27917210,,,66211,9.616675,2.82,3.16,,80000,1682,6.45,35.11111,,,1.26,2.82,False,,100000,3.16,OSL,STORM REAL EST ASA,Storm Real Estate ASA,Europe/Oslo,CEST,False,7200000,EQUITY,STORM.OL,finmb_38919651,no_market,,15.984,,-0.10816,86.246,-0.16756761,,0.09,,8834560,,,0.534,,,,1577750400,0,-314000,-0.036,,,5.9176035,0.47079,1640908800,1577750400,,,4904419,46400456,,1562716800,1:10,,,-0.45,,,,,,,,,5,,,,,,,,,,,,dd6c75a6-28b5-3002-8b2b-f8724872256a,
STRONG,Business Equipment,Consumer Goods,[],1,17.65,17.75,12.282263,0.033994336,0,,18,,73257,,17.65,15.267647,0.6,17.75,,73257,,,,,1556496000,0.566782,,,17.6,2,NOK,39.666668,54963,,,,790403392,,,111710,0.71595484,17.6,17.9,,406900,54963,19.2,16.227272,,,8.56,17.7,False,,200000,18,OSL,STRONGPOINT ASA,StrongPoint ASA,Europe/Oslo,CEST,False,7200000,EQUITY,STRONG.OL,finmb_20358742,no_market,,0.836,,0.018170001,14.929,0.44672132,,1.1,,44280300,,,6.907,,,,1577750400,0.31468,20063000,0.45,,,2.5843349,0.31726,1640908800,1593475200,,,28472734,923458048,,1115596800,1:10,,,0.051,,,,,,,,,512,,,,,,,,,,,,f08e3dc2-bb19-3597-895c-d147eea96f66,
TRVX,Biotechnology,Healthcare,[],1,6.47,6.47,6.7459126,,0,,6.48,,134765,,6.47,6.751765,,6.47,,134765,,,,,,2.059233,,,6.38,2,NOK,,82446,,,,488481792,,,336998,190.58986,6.38,6.45,,0,82446,12,-2.2526317,,,3.515,6.38,False,,0,6.48,OSL,TARGOVAX ASA,Targovax ASA,Europe/Oslo,CEST,False,7200000,EQUITY,TRVX.OL,finmb_144098164,no_market,,165.928,,0,-3.171,0.20484173,,-2.85,,76087504,,,5.387,,,,1577750400,0.25366,-132435000,-2.02,,,1.1917579,0.122279994,1640908800,1585612800,,,52861785,425274080,,,,,,,,,,,,,,,20,,,,,,,,,,,,fccf11ea-fe66-3f46-abef-9e2d0c89d3ee,
TECH,Technical & System Software,Technology,[],1,2.92,3,2.6846716,,0,,3,,52701,,2.92,2.752353,,3,,52701,,,,,,0.344333,,,2.94,4,NOK,,1155598,,,,488378976,,,37837,0.42816412,2.94,3.06,,60000,1155598,4.18,,,,1.95,3,False,,72100,3,OSL,TECHSTEP ASA,Techstep ASA,Europe/Oslo,CEST,False,7200000,EQUITY,TECH.OL,finmb_371366152,no_market,,0.472,,-0.058130004,30.048,-0.23958331,,,,162792992,,,2.905,,,,1577750400,0.027460001,-66303000,-0.402,,,1.0327022,0.75827,1640908800,1585612800,,,37517372,538642816,,1457654400,1:10,,,,,,,,,,,,212,,,,,,,,,,,,98dc7594-ff78-3c96-a31e-cdf580ce8a5f,
TEL,Wireless Communications,Technology,[],1,145.3,145.9,151.10439,0.059876114,2.1818,,147.55,,1361379,,145.3,144.39117,8.7,145.9,,1361379,,,,8.6,1602115200,0.271196,,,145.55,2,NOK,33.733425,637700,,,,209913479168,,,1765110,1.7203625,145.55,147.55,,301900,637700,189.65,14.755,,4.98,130.75,147.5,False,0.0592,230500,147.55,OSL,TELENOR ASA,Telenor ASA,Europe/Oslo,CEST,True,7200000,EQUITY,TEL.OL,finmb_658535,no_market,,2.899,,0.05098,7.85,-0.20557678,,10,,1422659968,,,19.729,,,,1577750400,0.30785,5539999744,4.374,,,7.4788384,0.53981996,1640908800,1593475200,,,613954891,353748779008,,,,,,0.55,,,,,,,,,20000,,,,,,,,,,,,cb2fb510-025f-3c23-9069-f636f51e0aa3,
TIETOO,,,[],1,269.4,269,256.6321,,0,,270.8,,818,,269.4,265.95294,,269,,818,,,,6.79,1600732800,0.791521,,,267,2,NOK,,2410,,,,31951349760,,,8395,,267,270,,,2410,317,,,,201.2,269.2,False,0.0251,,270.8,OSL,TIETOEVRY OYJ,TietoEVRY Oyj,Europe/Oslo,CEST,False,7200000,EQUITY,TIETOO.OL,finmb_1034090,no_market,,,,0.02333,,Infinity,,,,118444000,,,,,,,1577750400,0.38723,,,,,,0.24724,1640908800,1593475200,,,54908237,31908794368,,,,,,,,,,,,,,,23789,,,,,,,,,,,,73c9b7e7-badc-3724-8b79-ad47831de1e2,
TOTG,Money Center Banks,Financial,[],1,140,140,135.25548,0.060714286,0.46240002,,140,,449,,140,138.23529,8.5,140,,449,,,,7,1585699200,0.200348,,,140,2,NOK,9.178583,38,,,,845185152,,,703,2.0882225,140,144,,57000,38,149,9.274194,,,115,138,False,0.0507,57000,140,OSL,TOTENS SPAREBANK,Totens Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,TOTG.OL,finmb_9237532,no_market,,10.922,,0.45233002,,0.12903225,,14.88,,6124530,,,305.61,,,,1577750400,0.0932,92504208,15.035,,,0.45155594,0.40230998,1640908800,1585612800,,,3828079,4420509696,,1335916800,340:240,,,-0.292,,,,,,,,,,,,,,,,,,,,,326bf409-d1ab-37b9-866a-96d0d87ae252,
THIN,Data Storage Devices,Technology,[],1,0.3398,0.34,0.95829564,,0,,0.3508,,3448877,,0.3398,0.381,,0.34,,3448877,,,,,,2.038908,,,0.337,4,NOK,,1895116,,,,120752000,,,4727033,152.85063,0.337,0.3398,,2859200,1895116,5.8,-6.796,,,0.2912,0.3386,False,,1223200,0.3508,OSL,THIN FILM ELECTRON,Thin Film Electronics ASA,Europe/Oslo,CEST,False,7200000,EQUITY,THIN.OL,finmb_740992,no_market,,55.101,,0,-1.098,-0.85865223,,-0.05,,355361984,,,-0.387,,,,1577750400,0.06763,-69498000,-1.19,,,,0.02408,1640908800,1585612800,,,43445147,43530108,,1572566400,1:20,,,,,,,,,,,,23,,,,,,,,,,,,bea67659-9f1f-30a2-9bb3-0fd9bcef7d7c,
