ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,industry,sector_yahoo,companyOfficers,maxAge,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,zip,longBusinessSummary,city,phone,country,website,address1,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,address2
TRE,Treasure,Industrials,11.65,11.4,11.65,25,,2502.83,0.0087,0.0888,0.1095,-0.1113,-0.1015,Asset Management,Financial,[],1.0,11.55,11.5,11.060803,0.003982684,0.158,,11.7,,13071.0,,11.55,10.889706,0.046,11.5,,13071.0,,,,0.4,1584057600.0,1.192926,,,11.3,2.0,NOK,52.95454399999999,38868.0,,,,2502827776.0,,,15019.0,183.11588,11.3,11.65,,387700.0,38868.0,15.0,,,,7.5,11.45,False,0.0346,82400.0,11.7,OSL,TREASURE ASA,Treasure ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,TRE.OL,finmb_20576757,no_market,,183.39700000000002,,3.4989002,,-0.1412639,,,,214835008.0,,,2.592,,,,1577750400.0,0.17005,47823000.0,0.22,,,4.4945984,0.75238997,1640908800.0,1577750400.0,,,53660012.0,2506672128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5f6188c3-c96f-3912-85c3-41d8eec4f9a9,
TYSB-ME,Tysnes Sparebank,Equity certificates,113.0,111.0,113.0,0,LP,171.43,,,0.0273,-0.0348,0.0903,Money Center Banks,Financial,[],1.0,113.0,113.0,111.48175,0.03964602,0.0,,113.0,,148.0,,113.0,111.64706000000001,4.48,113.0,,148.0,,,,4.48,1591920000.0,0.201016,,,113.0,2.0,NOK,6.1627398,43.0,,,,171430048.0,,,92.0,2.5188816000000003,113.0,113.0,,,43.0,128.0,,,,98.0,111.0,False,0.040700004,,113.0,OSL,TYSNES SPAREBANK,Tysnes Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,TYSB-ME.OL,finmb_243651074,no_market,,9.595,,0.36630002,,,,,,1517080.0,,,210.553,,,,1577750400.0,0.026369999999999998,24930000.0,18.336,,,0.536682,0.0,1640908800.0,1585612800.0,,,700022.0,653036032.0,,,,,,-0.485,,,,,,,,,,,,,,,,,,,,,de47baa7-16a7-3778-aa54-ecf4024100b0,
ULTIMO,Ultimovacs,Health care,43.5,42.9,43.5,55,,1390.85,0.0,0.0407,0.061,0.1097,0.259,Biotechnology,Healthcare,[],1.0,43.5,43.5,43.11095,,0.0,,44.0,,15630.0,,43.5,42.111763,,43.5,,15630.0,,,,,,,,,42.1,2.0,NOK,,17289.0,,,,1390847232.0,,,27169.0,,42.1,43.5,,,17289.0,76.0,,,,26.0,42.9,False,,,44.0,OSL,ULTIMOVACS ASA,Ultimovacs ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ULTIMO.OL,finmb_241624822,no_market,,,,0.0,-10.554,,,,,31973500.0,,,15.06,,,,1577750400.0,0.28586999999999996,-76780000.0,-2.966,,,2.888446,0.47478000000000004,1640908800.0,1585612800.0,,,15791553.0,862077568.0,,,,,,,,,,,,,,https://logo.clearbit.com/ultimovacs.com,19.0,0379,"Ultimovacs ASA, a pharmaceutical company, develops immunotherapies for various cancers. The company engages in performing a clinical development program with clinical trials in Europe and the United States. Its lead product candidate is UV1, a peptide-based vaccine, which completed Phase I clinical trial that induces T cell response against the universal cancer antigen telomerase. The company was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,47 41 38 00 80,Norway,http://www.ultimovacs.com,Ullernchausseen 64,,,,,920d6ba7-6524-3ff3-bb26-c3e0e6f49e46,
VEI,Veidekke,Industrials,124.4,124.2,124.4,256,,16788.56,0.0,-0.008,0.024700000000000003,0.041,0.5171,General Contractors,Industrial Goods,[],1.0,124.4,125.0,105.18576999999999,0.040192924,1.8519,,125.8,,45281.0,,124.4,121.81765,5.0,125.0,,45281.0,,,,,1588809600.0,0.546457,,,124.0,2.0,NOK,52.98126,34589.0,,,,16788527104.0,,,112485.0,0.4545302,124.0,124.4,,355700.0,34589.0,127.2,15.472636999999999,,,72.95,124.2,False,,48800.0,125.8,OSL,VEIDEKKE,Veidekke ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,VEI.OL,finmb_876324,no_market,,0.8859999999999999,,0.013669999999999998,24.993000000000002,0.52919483,,8.04,,134956000.0,,,16.167,,,,1577750400.0,0.44726002,288000000.0,2.3480000000000003,,,7.694686999999999,0.20325,1640908800.0,1585612800.0,,,188287200.0,32740999168.0,,1178668800.0,5:1,,,,,,,,,,,,8499.0,,,,,,,,,,,,fc39e9a5-b2f6-3ec9-9bfe-a075221688d9,
VISTIN,Vistin Pharma,Health care,13.65,13.5,13.65,80,,605.3,0.042,0.0074,0.0664,0.4247,1.1106,Drugs - Generic,Healthcare,[],1.0,13.1,13.1,9.718321000000001,0.07633588,0.0,,13.7,,75695.0,,13.1,13.082353,1.0,13.1,,75695.0,,,,1.0,1589932800.0,0.8658530000000001,,,13.0,2.0,NOK,,113376.0,,,,605303744.0,,,249578.0,2.44762,13.0,13.65,,14100.0,113376.0,15.0,11.666667,,,5.0,13.5,False,0.0758,34200.0,13.7,OSL,VISTIN PHARMA ASA,Vistin Pharma ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,VISTIN.OL,finmb_288390382,no_market,,1.077,,-0.26928,6.63,0.80939233,,1.17,,44344600.0,,,6.372000000000001,,,,1577750400.0,0.19695,-66722000.0,-1.548,,,2.1421845,0.62490004,1640908800.0,1585612800.0,,,27755724.0,266353152.0,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,c7de11f3-382d-3a90-87a1-6fcc439a5645,
VVL,Voss Veksel- og Landmandsbank,Financials,161.0,161.0,165.0,11,LP,354.8,-0.0242,,0.0455,0.0321,-0.0115,Money Center Banks,Financial,[],1.0,165.0,165.0,149.0,0.042424243,0.35,,165.0,,5112.0,,165.0,151.05882,7.0,165.0,,5112.0,,,,7.0,1588550400.0,0.382694,,,161.0,2.0,NOK,8.405992999999999,1551.0,,,,354798912.0,,,694.0,3.3388752999999998,161.0,165.0,,34200.0,1551.0,171.0,8.821918,,3.7,125.0,161.0,False,0.0424,38200.0,165.0,OSL,VOSS VEKSEL-OG LAN,Voss Veksel- og Landmandsbank ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,VVL.OL,finmb_20392694,no_market,,14.647,,0.41467,,0.012269974,,18.25,,2203720.0,,,259.54900000000004,,,,1577750400.0,0.07198,44064000.0,19.153,,,0.62030673,0.30106002,1640908800.0,1585612800.0,,,1983366.0,1556381440.0,,1399939200.0,20:1,,,-0.28600000000000003,,,,,,,,,,,,,,,,,,,,,13d8dce8-f3ca-3f70-bdb9-6fe73d298889,
VOW,Vow,Industrials,20.3,20.25,20.3,528,,2210.67,0.0074,-0.0492,-0.1057,-0.3233,0.0201,,,[],1.0,20.15,21.2,23.649271,0.0049627790000000005,,,21.3,,267462.0,,20.15,22.330883,0.1,21.2,,267462.0,,,,0.1,1558656000.0,1.501742,,,20.15,2.0,NOK,,513105.0,,,,2205224960.0,,,305301.0,5.791032,20.15,20.3,,,513105.0,36.0,,,,12.2,20.2,False,0.0044,,21.3,OSL,VOW ASA,VOW ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,VOW.OL,finmb_261016875,no_market,,5.986000000000001,,-0.03545,59.669,0.08333325400000001,,,,108900000.0,,,2.165,,,,1577750400.0,0.04666,-13500000.0,-0.14,,,9.353349,0.72224,1640908800.0,1577750400.0,,,25575256.0,2279355904.0,,,,,,,,,,,,,,,106.0,,,,,,,,,,,,86e9b58b-b1e1-3246-a629-6eeca6b530f8,
WALWIL,Wallenius Wilhelmsen,Industrials,12.94,12.92,12.96,407,,5464.63,-0.0046,-0.0197,0.0221,-0.407,-0.4501,Air Delivery & Freight Services,Services,[],1.0,13.0,13.0,14.248504,0.0046153846,0.5426,,13.18,,262142.0,,13.0,13.022353,0.06,13.0,,262142.0,,,,,1573516800.0,2.118466,,,12.92,2.0,NOK,,385418.0,,,,5465092096.0,,,691527.0,1.4671389,12.92,12.96,,0.0,385418.0,28.8,27.531914,,,7.58,12.94,False,,0.0,13.18,OSL,WALLENIUS WILH ASA,Wallenius Wilhelmsen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,WALWIL.OL,finmb_109864930,no_market,,2.491,,-0.0545,22.248,-0.4453925,,0.47,,422340992.0,,,5.667999999999999,,,,1577750400.0,0.13828,-203000000.0,-0.48100000000000004,,,2.2829921000000004,0.75631,1640908800.0,1585612800.0,,,102062909.0,9277431808.0,,,,,,,,,,,,,,,9500.0,,,,,,,,,,,,ed8c9dbc-e194-3c77-adf8-7e083477b0a4,
WSTEP,Webstep,Information technology,20.0,19.6,20.0,10,,533.47,0.0101,0.0582,0.087,-0.1736,-0.2,Information Technology Services,Technology,[],1.0,19.8,19.7,18.883211,0.08080809,1.4035001,,20.0,,5661.0,,19.8,18.635294000000002,1.6,19.7,,5661.0,,,,,1588896000.0,0.9462360000000001,,,19.5,2.0,NOK,17.559261,6517.0,,,,533468000.0,,,8681.0,0.8093873,19.5,20.0,,0.0,6517.0,25.6,8.849558,,,14.5,19.6,False,,0.0,20.0,OSL,WEBSTEP ASA,Webstep ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,WSTEP.OL,finmb_538629689,no_market,,0.7959999999999999,,0.045900002,11.343,-0.23846155,,2.26,,26673400.0,,,14.594000000000001,,,,1577750400.0,0.42212,30252000.0,1.139,,,1.3704261999999998,0.33957002,1640908800.0,1585612800.0,,,15650075.0,524575008.0,,,,,,-0.379,,,,,,,,,417.0,,,,,,,,,,,,b579ab60-65f0-3fcb-84cf-1f0eb25ec7dc,
WWI,Wilh. Wilhelmsen Holding ser. A,Industrials,116.0,114.5,116.5,62,,3944.0,0.022,0.0311,-0.0169,-0.2828,-0.1467,Shipping,Services,[],1.0,113.5,113.5,117.47006999999999,0.0023788547,,,116.0,,3648.0,,113.5,115.17647,0.27,113.5,,3648.0,,,,4.5,1588204800.0,1.239837,,,113.0,2.0,NOK,,13116.0,,,,5176685568.0,,,10922.0,6.0334330000000005,113.0,115.0,,13000.0,13116.0,179.0,41.87726,,2.82,86.8,116.0,False,0.0396,50600.0,116.0,OSL,WILH WILHEL. HLDG,Wilh. Wilhelmsen Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,WWI.OL,finmb_875518,no_market,,6.524,,-0.23193000000000003,49.104,-0.19217079999999997,,2.77,,34000000.0,,,33.109,,,,1577750400.0,0.19161,-199000000.0,-4.363,,,3.503579,0.62031,1640908800.0,1585612800.0,,,20705181.0,5597830144.0,,,,,,,,,,,,,,,15065.0,,,,,,,,,,,,7ff393f2-db27-3e08-92bc-41abf523b497,
