ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
SCHB,Schibsted ser. B,Communication services,251.8,251.2,251.8,358,,32578.44,-0.004,0.0016,0.059800000000000006,0.3411,0.3411
SBX,SeaBird Exploration,Energy,0.57,0.56,0.57,401,LP,304.50,-0.0325,0.0329,0.036699999999999997,-0.5733,-0.5733
SDRL,Seadrill,Energy,20.5,20.5,20.6,2335,,2049.68,0.0333,0.1099,1.0237,-0.7439,-0.7439
SSG,Self Storage Group,Industrials,28.3,27.6,28.3,75,,2338.07,0.0291,0.0481,0.16940000000000002,0.7469,0.7469
SBO,Selvaag Bolig,Real estate,74.0,74.0,74.1,250,,6913.18,0.0264,0.035,0.1654,1.0077,1.0077
SHLF,Shelf Drilling,Energy,17.8,17.7,17.8,331,,2432.63,0.005600000000000001,0.0471,-0.0557,-0.5908,-0.5908
SIOFF,Siem Offshore,Energy,1.26,1.26,1.5,2,,1177.77,0.0,-0.0382,-0.1711,-0.0667,-0.0667
SKUE,Skue Sparebank,Equity certificates,170.0,166.0,170.0,7,LP,319.77,0.011899999999999999,0.011899999999999999,0.0625,0.4916,0.4916
SOFTOX-ME,SoftOx Solutions,Health care,30.6,30.8,34.6,4,,141.56,0.02,,0.0552,0.36,0.36
SOGN,Sogn Sparebank,Equity certificates,107.0,105.0,108.0,3,LP,67.68,0.009399999999999999,,0.0,0.0496,0.0496
SOLON,Solon Eiendom,Real estate,40.6,40.4,40.6,58,,2837.00,0.005,0.049100000000000005,0.16,0.1188,0.1188
SOFF,Solstad Offshore,Energy,0.97,0.97,0.98,262,,282.96,-0.0663,-0.07519999999999999,0.1343,-0.4355,-0.4355
SBVG,SpareBank 1 BV,Equity certificates,39.6,39.6,39.7,13,LP,2495.10,-0.005,0.0076,0.0313,0.2036,0.2036
NONG,SpareBank 1 Nord-Norge,Equity certificates,78.5,78.5,78.8,177,LP,7881.24,0.0155,0.0129,0.0873,0.32689999999999997,0.32689999999999997
SNOR,SpareBank 1 Nordvest,Equity certificates,115.0,112.0,115.0,1,,256.51,,0.0088,0.0455,0.1463,0.1463
RING,SpareBank 1 Ringerike Hadeland,Equity certificates,230.0,222.0,230.0,1,,3599.59,0.036000000000000004,0.036000000000000004,0.0455,0.2557,0.2557
MING,SpareBank 1 SMN,Equity certificates,100.2,100.0,100.6,199,,13009.55,0.0091,0.004,0.044800000000000006,0.2587,0.2587
SRBANK,SpareBank 1 SR-Bank,Financials,100.0,100.0,100.1,426,,25565.98,0.0111,0.0091,0.029300000000000003,0.172,0.172
SOAG,SpareBank 1 Ã˜stfold Akershus,Equity certificates,240.0,238.0,240.0,1,LP,2973.15,0.0,0.0169,0.0526,0.315,0.315
SPOL,SpareBank 1 Ã˜stlandet,Equity certificates,92.5,92.2,92.7,173,LP,10714.26,0.0033,0.0,0.0382,0.1705,0.1705
MORG,Sparebanken MÃ¸re,Equity certificates,317.0,317.0,318.0,22,LP,3118.37,-0.0031,0.0,0.0032,0.1797,0.1797
SOR,Sparebanken SÃ¸r,Equity certificates,110.0,109.0,110.0,26,LP,1718.16,0.018500000000000003,0.0092,0.0891,0.2126,0.2126
SBTE,Sparebanken Telemark,Equity certificates,130.0,123.5,130.0,1,,1416.82,0.0,0.0,0.0833,0.1654,0.1654
SVEG,Sparebanken Vest,Equity certificates,63.4,63.0,63.4,106,LP,6804.00,0.0063,0.0063,0.0462,0.24969999999999998,0.24969999999999998
SPOG,Sparebanken Ã˜st,Equity certificates,54.6,54.6,54.8,19,,1131.92,0.0111,0.0111,0.0,0.0654,0.0654
