ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,bookValue,enterpriseValue,trailingEps,forwardEps,priceToBook,beta,profitMargins
MOWI,Mowi,Consumer staples,228.2,228.2,228.4,1518,,118004.75,-0.0138,-0.0143,-0.0017,0.3124,0.3124,5.5760000000000005,118004752384.0,0.932,15.74,40.925391999999995,-0.156878,0.10637999
MPCC,MPC Container Ships,Industrials,19.8,19.6,20.1,98,LP,1661.26,-0.0246,-0.0526,0.0366,-0.3529,-0.3529,5.0280000000000005,1905738624.0,-0.395,0.34,3.9379475,0.8930870000000001,-0.15909
MULTI,Multiconsult,Industrials,72.0,71.8,72.0,15,,1930.55,0.0,0.011200000000000002,0.15380000000000002,0.2169,0.2169,21.938000000000002,3163162112.0,1.729,5.33,3.2819765,0.326482,0.01354
NAPA,Napatech,Information technology,4.67,4.58,4.67,51,,387.88,-0.0043,-0.0021,0.0988,1.1249,1.1249,0.397,149031008.0,-0.862,,11.763224000000001,-0.6870470000000001,-0.36110002
NATTO,NattoPharma,Consumer staples,7.5,7.6,7.9,51,LP,136.3,-0.08539999999999999,-0.1071,-0.0625,-0.0741,-0.0741,6.1739999999999995,137841920.0,0.23,-0.07,1.2147716,0.814963,0.038939999999999995
NAVA,Navamedic,Health care,18.5,18.2,18.5,37,,219.55,-0.0263,-0.068,-0.0212,1.0325,1.0325,8.437999999999999,217751952.0,0.131,,2.1924627,0.449718,0.007359999999999999
NKR,Nekkar,Industrials,2.05,2.01,2.07,63,,216.51,0.0433,0.0354,0.0459,-0.2462,-0.2462,1.699,-73694432.0,1.125,,1.2065921,-0.22043400000000002,0.5348
NEL,NEL,Industrials,8.65,8.65,8.66,2607,,10571.14,-0.012,0.0129,0.0915,0.8764,0.8764,1.6019999999999999,9915284480.0,-0.196,-0.06,5.3995004,0.074818,-0.48402
NEXT,NEXT Biometrics Group,Information technology,3.6,3.45,3.6,267,,154.55,-0.0323,-0.0932,0.3333,-0.8615999999999999,-0.8615999999999999,4.336,31836070.0,-4.612,-6.1,0.8302583,2.5076419999999997,-1.49009
NISB-ME,Nidaros Sparebank,Equity certificates,112.0,110.0,112.0,0,LP,125.34,,,0.009000000000000001,,,,,,,,,0.31968
NORBIT,NORBIT,Information technology,20.0,20.0,20.1,38,LP,1135.74,0.0101,0.0385,0.0526,,,7.3389999999999995,1167950336.0,7.777,,2.7251668,,0.09817999599999999
NOM,Nordic Mining,Materials,2.14,2.07,2.14,114,,361.21,0.0594,0.0142,0.3502,0.0505,0.0505,1.061,344086400.0,0.142,,2.0169652,1.32502,0.0
NANO,Nordic Nanovector,Health care,31.74,31.72,31.74,857,,2099.39,-0.0204,-0.0198,0.2595,-0.3723,-0.3723,5.394,1411244032.0,-7.252999999999999,-7.96,5.884316,-0.072405,0.0
NOD,Nordic Semiconductor,Information technology,55.7,55.7,55.75,593,,9784.36,0.0063,0.0091,0.045,0.9273,0.9273,1.285,9698344960.0,0.002,0.08,43.346306,1.370876,0.00118
NHY,Norsk Hydro,Materials,32.64,32.64,32.7,2104,,66835.26,0.0018,-0.0021,0.0012,-0.1365,-0.1365,39.196999999999996,85766717440.0,-0.991,3.72,0.8327167999999999,0.693483,-0.013280000000000002
NSKOG,Norske Skog,Materials,43.7,43.69,44.0,188,,3605.25,0.0156,0.0163,0.0053,,,68.473,4457249792.0,30.435,,0.6382078,,0.1975
NORTH,North Energy,Energy,1.54,1.49,1.54,59,,180.57,0.0336,0.1407,0.3219,0.1547,0.1547,2.6,-35772548.0,-0.34,-0.93,0.5923076999999999,0.30088400000000004,0.0
NODL,Northern Drilling,Energy,20.65,20.5,20.65,396,,2221.03,-0.0072,0.0024,0.0223,-0.5935,-0.5935,6.612,2630629120.0,-0.027000000000000003,-0.27,3.1231093,0.955743,0.0
NRS,Norway Royal Salmon,Consumer staples,239.2,239.2,240.8,350,,10388.79,-0.032400000000000005,-0.0042,-0.0025,0.3767,0.3767,51.386,11366962176.0,7.29,18.5,4.654964,-0.138374,0.055609997
NAS,Norwegian Air Shuttle,Industrials,37.75,37.75,37.78,2093,,6174.28,-0.0019,0.0148,-0.039900000000000005,-0.6191,-0.6191,38.345,65926139904.0,-26.875999999999998,,0.98448294,0.9485110000000001,-0.062220000000000004
NOR,Norwegian Energy Company,Energy,225.5,225.5,228.0,48,LP,5535.8,-0.0131,-0.0153,-0.044500000000000005,-0.0196,-0.0196,22.771,6305802240.0,6.372999999999999,17.14,9.902946,-0.189863,0.98460996
NOFI,Norwegian Finans Holding,Financials,95.3,95.3,95.4,861,,17792.01,0.0011,0.0074,0.0484,0.4224,0.4224,48.153999999999996,20386902016.0,10.38,10.7,1.9790671999999998,0.704746,0.50078
NPRO,Norwegian Property,Real estate,13.9,13.75,13.95,15,,6861.4,-0.0107,-0.0071,0.0,0.34369999999999995,0.34369999999999995,15.937999999999999,14452795392.0,1.5419999999999998,0.47,0.8721295,0.25100500000000003,1.1075
NRC,NRC Group,Industrials,57.1,56.9,57.1,264,,3084.72,0.0088,0.0382,0.1677,-0.1958,-0.1958,37.817,5250720768.0,-2.02,6.83,1.5099028,-0.138374,-0.0189
NTS,NTS,Industrials,60.0,60.0,66.0,49,,4365.35,-0.04,-0.0625,-0.016399999999999998,0.0256,0.0256,34.567,7049202176.0,4.085,6.33,1.7357595000000001,0.11052100000000001,0.17006999
OBSERV,Observe Medical,Health care,11.9,11.7,11.9,12,,179.31,-0.04,0.0625,-0.0083,,,,,,,,,0.0
OCY,Ocean Yield,Energy,48.0,47.9,48.0,716,,8404.07,-0.0031,-0.0072,-0.0041,-0.08900000000000001,-0.08900000000000001,5.05,9456219136.0,-0.631,0.67,9.504951,0.629927,-0.39233002
OTS,Oceanteam,Energy,4.9,4.9,5.0,10,,167.63,0.0,-0.0755,0.1136,-0.4147,-0.4147,1.786,222029168.0,0.015,,2.743561,1.396621,0.023039998
ODL,Odfjell Drilling,Energy,32.72,32.72,32.78,160,,7747.55,-0.0055000000000000005,-0.0127,0.2862,0.5807,0.5807,4.391,9067887616.0,0.166,0.14,7.4516063,1.059533,0.06365
ODF,Odfjell ser. A,Industrials,26.5,26.0,26.5,23,LP,1590.54,0.0153,0.0115,0.0,-0.1017,-0.1017,7.047000000000001,3289550080.0,-0.9420000000000001,-0.2,3.7604654,0.018503,-0.08463999999999999
ODFB,Odfjell ser. B,Industrials,26.2,26.2,26.6,8,LP,491.41,-0.0368,0.0077,-0.022400000000000003,-0.0775,-0.0775,7.047000000000001,3265939968.0,-0.9420000000000001,,3.7178942999999998,0.018503,-0.08463999999999999
OKEA,OKEA,Energy,17.5,17.5,17.78,68,,1786.12,0.0367,0.0606,0.0404,,,16.487000000000002,2819564288.0,-1.5319999999999998,,1.0614424,,-0.048210002
OET,Okeanis Eco Tankers,Energy,107.0,106.0,107.0,110,,3503.16,0.0288,0.049,0.1146,,,9.897,4174306560.0,-0.262,,10.811357000000001,,-0.0864
OLT,Olav Thon Eiendomsselskap,Real estate,167.8,167.4,167.8,36,,17387.97,0.0048,0.017,0.0661,0.233,0.233,256.39099999999996,41074966528.0,17.791,13.47,0.6544691999999999,0.753821,0.47623999999999994
ORK,Orkla,Consumer staples,88.96,88.96,89.0,2326,,88987.2,-0.0071,-0.0142,-0.0034,0.3588,0.3588,33.427,97669914624.0,3.299,3.88,2.6613219,0.091713,0.07752
OTELLO,Otello Corporation,Communication services,16.0,16.0,16.28,60,,2206.97,-0.0099,-0.0172,-0.0123,0.2085,0.2085,2.485,2204699904.0,-0.6759999999999999,-0.05,6.438632,0.034593,-0.39376998
