ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,58.8,58.6,59.0,25,,1303.65,-0.0034,-0.0167,0.0905,-0.3223,-0.2175,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,,Marine Shipping,59.0,59.0,53.891304000000005,0.0027966104,0.8163,,59.6,,20974.0,,59.0,56.75294,0.165,59.0,,20974.0,,,,1.06,1597622400.0,1.121996,,,58.4,2.0,NOK,282.6923,5399.0,,,,1303648896.0,,,28986.0,47.063137,58.4,58.8,,,5399.0,93.8,,,,39.0,58.6,False,0.0177,,59.6,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,55.83,,0.16968,,-0.23857874,,,,22170900.0,,,6.22,,,,1577750400.0,0.19871001,4700000.0,0.20800000000000002,,0.19070482,9.453377,0.57717997,1640908800.0,1593475200.0,,,6990487.0,1546483456.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,,,,,
FIVEPG,5th Planet Games,Communication services,1.79,1.79,1.79,425,LP,189.78,-0.0083,0.02,-0.0403,5.1110000000000015,1.8984,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,,Electronic Gaming & Multimedia,1.8,1.83,1.3609456,,0.0,,1.83,,6336635.0,,1.8,1.7911764,,1.83,,6336635.0,,,,,,2.714866,,,1.76,4.0,NOK,,1767841.0,,,,189777632.0,,,3772661.0,,1.76,1.79,,0.0,1767841.0,3.8,,,,0.25,1.785,False,,0.0,1.83,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.2820513,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.19070482,10.258621,0.50402,1640908800.0,1577750400.0,,,46798691.0,96724816.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,120.0,120.0,126.0,4,LP,121.67,,,0.0526,-0.0015,,7630,Financial Services,29.0,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,117.0,117.0,118.26619,0.06837607,0.67620003,,120.0,,16.0,,117.0,113.55882,8.0,117.0,,16.0,,,,8.0,1583798400.0,0.40223000000000003,,,117.0,2.0,NOK,2.903179,985.0,,,,121669200.0,,,24.0,1.1084921,117.0,126.0,,,985.0,153.0,,,,105.0,120.0,False,0.0684,,120.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.446000000000001,,0.38182,,0.0,,,,1013910.0,,,501.01,,,,1577750400.0,0.0,41909000.0,41.333999999999996,,0.19070482,0.23951617,0.0,1640908800.0,1593475200.0,,,553343.0,707542848.0,,,,,,0.34299999999999997,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.42,4.42,4.44,68,,1948.58,-0.0156,-0.0339,0.0011,0.1734,0.5362,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,,Capital Markets,4.485,4.44,3.8680215,0.049052395,0.8062,,4.47,,181352.0,,4.485,4.4470587,0.22,4.44,,181352.0,,,,0.22,1588118400.0,0.9587680000000001,,,4.39,4.0,NOK,9.618736,218991.0,,,,1946922240.0,,,391039.0,1.3775231000000001,4.39,4.44,,185000.0,218991.0,4.625,10.267441999999999,,10.54,2.69,4.42,False,0.049099997,340000.0,4.47,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.084,,0.17288,,0.3761468,,0.43,,440979008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.19070482,2.9571332999999997,0.18238,1640908800.0,1593475200.0,,,342568196.0,1531770368.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,7th floor,,,,,
ADE,Adevinta,Communication services,160.9,160.8,161.1,2979,,110193.89,-0.0086,0.0044,0.1119,0.5481,0.5132,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,,Internet Content & Information,162.4,167.9,108.56511,,0.0,,169.5,,605527.0,,162.4,143.3397,,167.9,,605527.0,,,,,,,,,159.7,2.0,NOK,,360209.0,,,,110193975296.0,,,484373.0,,159.7,161.1,,,360209.0,169.5,,,,66.7,160.6,False,,,169.5,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.42605639,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.19070482,,0.66005,1640908800.0,1593475200.0,,,227972750.0,106110001152.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,16.95,16.85,16.95,154,,396.47,-0.0478,-0.0557,-0.08130000000000001,-0.3034,0.0124,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,,Marine Shipping,17.8,17.2,21.40036,,0.4088,,17.6,,76391.0,,17.8,18.32206,,17.2,,76391.0,,,,4.21,1591228800.0,,,,16.75,2.0,NOK,,168941.0,,,,396465600.0,,,70867.0,,16.75,16.95,,,168941.0,33.4,,,,16.1,16.85,False,0.2345,,17.6,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.120000005,,,,23390300.0,,,,,,,,0.09734,,,,0.19070482,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,,,,,
AEGA,Aega,Utilities,1.16,1.16,1.2,4,,55.74,-0.0333,-0.07200000000000001,-0.1077,0.0,-0.1367,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,,Utilities—Renewable,1.2,1.22,1.2370504,0.0033333334,,,1.22,,84559.0,,1.2,1.2670588,0.004,1.22,,84559.0,,,,0.04,1591142400.0,-0.700348,,,1.16,4.0,NOK,,4370.0,,,,55738928.0,,,59746.0,,1.16,1.2,,394100.0,4370.0,1.85,,,,1.05,1.16,False,0.0328,60000.0,1.22,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.17006803,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.19070482,7.0303024999999995,0.46798,1640908800.0,1585612800.0,,,24350240.0,57661000.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,
AFG,AF Gruppen,Industrials,166.2,166.2,166.4,75,,17452.5,0.0085,-0.0589,-0.07150000000000001,-0.0206,0.0168,0663,Industrials,5524.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,,Engineering & Construction,164.8,165.0,167.40576000000001,0.036407765,1.2996001,,166.4,,19684.0,,164.8,176.85883,6.0,165.0,,19684.0,,,,12.0,1589760000.0,0.43902399999999997,,,165.0,2.0,NOK,22.795227,8172.0,,,,17452494848.0,,,16743.0,0.7076388000000001,165.0,166.4,,178000.0,8172.0,185.0,19.809296,,5.43,124.5,166.2,False,0.0728,52100.0,166.4,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.757,,0.030369998999999998,15.244000000000002,-0.10163939,,8.39,,105009000.0,,,20.408,,,,1577750400.0,0.14407,749000000.0,7.291,,0.19070482,8.143865,0.60915,1640908800.0,1593475200.0,,,41049068.0,18658484224.0,,1263772800.0,5:1,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,,,,,,
AKA,Akastor,Energy,7.02,7.01,7.04,156,,1906.7,0.0043,0.0817,0.2294,-0.2938,-0.35479999999999995,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,,Oil & Gas Equipment & Services,6.99,7.1,5.405252,,0.0,,7.38,,454854.0,,6.99,5.9535294,,7.1,,454854.0,,,,,1397174400.0,1.36353,,,6.81,2.0,NOK,,602881.0,,,,1906702080.0,,,505698.0,0.3366947,6.81,7.04,,52200.0,602881.0,12.4,17.55,,,3.52,7.01,False,,227000.0,7.38,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.7390000000000001,,-0.0498,13.458,-0.3697183,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.19070482,0.47256818,0.51141,1640908800.0,1593475200.0,,,159931143.0,4185285632.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,OksenÃ¸yveien 10 Lysaker,,,,,
AKER,Aker,Financials,407.6,407.2,407.6,733,,30273.58,-0.0183,0.0079,0.0636,-0.2271,-0.0348,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,47 24 13 01 01,Oil & Gas Equipment & Services,415.4,414.0,339.259,0.02828599,0.0,,415.2,,97627.0,,415.4,396.9294,11.75,414.0,,97627.0,,,,11.75,1595289600.0,1.71777,,,404.0,2.0,NOK,,68086.0,,,,30273593344.0,,,181686.0,0.64265597,404.0,407.8,,111700.0,68086.0,566.0,15.527619,,,182.2,407.4,False,0.028299998,108400.0,415.2,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.905,,-0.08871,35.113,-0.11263382400000001,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.19070482,1.6211143,0.70268,1640908800.0,1593475200.0,,,67696448.0,89749749760.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,,,,,,
