,ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
104,JAEREN,Jæren Sparebank,Equity certificates,156.0,156.0,162.0,1,LP,769.46,-0.0127,-0.025,0.0541,0.0748,0.2181
105,KAHOOT-ME,Kahoot!,Communication services,36.0,36.0,36.2,400,,14381.65,0.0286,-0.0955,-0.0217,0.6364,
106,KID,Kid,Consumer discretionary,74.6,74.0,74.6,264,,3032.13,-0.026099999999999998,-0.0581,0.07490000000000001,0.5261,0.7201000000000001
107,KIT,Kitron,Information technology,14.4,14.4,14.42,862,,2579.10,0.036000000000000004,0.1632,0.2183,0.3091,0.4314
108,KCC,Klaveness Combination Carriers,Industrials,36.1,36.0,43.5,9,,1733.55,,-0.019,0.0464,-0.2404,-0.168
109,KOMP,Komplett Bank,Financials,6.62,6.61,6.62,218,,1233.76,0.0458,0.0091,0.0091,-0.4696,-0.2957
110,KOA,Kongsberg Automotive,Consumer discretionary,0.14,0.14,0.14,1482,,1054.62,-0.0098,-0.055999999999999994,-0.7848,-0.8948,-0.9017000000000001
111,KOG,Kongsberg Gruppen,Industrials,135.8,135.8,136.0,442,,24442.15,0.0,0.0059,-0.031400000000000004,0.0028000000000000004,0.1909
112,KVAER,Kværner,Energy,9.0,9.0,9.03,964,,2415.87,0.049,0.07780000000000001,0.3006,-0.11599999999999999,-0.2938
113,LAVO-ME,Lavo.tv,Communication services,0.08,0.08,0.08,37,LP,11.39,-0.036000000000000004,-0.0741,-0.24850000000000003,0.25,0.0
114,LSG,Lerøy Seafood Group,Consumer staples,54.7,54.64,54.7,1282,,32572.53,0.0018,-0.0397,-0.061399999999999996,-0.0366,-0.08380000000000001
115,LIFE-ME,Lifecare,Health care,5.55,5.5,5.55,281,,449.13,-0.0431,0.0,0.3028,0.6818000000000001,2.8542
116,LSTSB-ME,Lillestrøm Sparebank,Equity certificates,123.0,120.0,123.0,1,LP,123.00,,,0.008199999999999999,0.0794,0.1993
117,MGN,Magnora,Energy,11.3,11.15,11.3,214,,593.37,0.066,0.2556,0.4752,0.654,0.6659
