ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
NEXT,NEXT Biometrics Group,Information technology,2.42,2.41,2.42,99,,183.79,-0.0163,-0.07980000000000001,0.22219999999999998,-0.2894,-0.4551
NISB-ME,Nidaros Sparebank,Equity certificates,110.0,108.0,114.0,0,LP,123.10,,,0.0,0.026699999999999998,0.0951
NORBIT,NORBIT,Information technology,16.35,16.35,16.75,2,LP,928.47,0.0031,0.0348,0.1934,-0.1664,-0.2245
NOM,Nordic Mining,Materials,2.27,2.25,2.27,44,,448.31,-0.0044,-0.0658,0.0089,0.0806,0.1042
NANO,Nordic Nanovector,Health care,22.26,22.22,22.32,1014,,1472.76,0.0702,0.057,-0.021099999999999997,-0.2987,-0.3937
NOD,Nordic Semiconductor,Information technology,89.5,89.45,89.55,278,,15905.31,0.0006,0.0085,0.25,0.6068,1.0341
NHY,Norsk Hydro,Materials,25.88,25.88,25.9,1347,,53031.35,-0.019299999999999998,-0.0558,-0.0278,-0.2071,-0.1844
NSKOG,Norske Skog,Materials,28.35,28.3,28.4,54,,2338.88,-0.0087,-0.0308,-0.1223,-0.2861,
NORTH,North Energy,Energy,1.43,1.42,1.45,9,,167.08,-0.024,0.0070999999999999995,0.122,-0.0747,-0.0339
NODL,Northern Drilling,Energy,6.44,6.26,6.44,12,,103.90,-0.0046,0.0321,0.014199999999999999,-0.6881,-0.8393999999999999
NOL,Northern Ocean Ltd.,Energy,6.43,6.27,6.43,32,,410.25,0.0063,0.0753,0.0717,,
NRS,Norway Royal Salmon,Consumer staples,220.8,221.0,222.4,79,,9476.47,0.0036,-0.0204,-0.0815,-0.057999999999999996,0.11109999999999999
NAS,Norwegian Air Shuttle,Industrials,2.28,2.28,2.28,4456,,8125.75,-0.053,-0.1367,-0.13699999999999998,-0.9394,-0.9472
NOR,Norwegian Energy Company,Energy,150.0,149.5,150.5,13,LP,3616.63,0.0101,-0.026000000000000002,-0.0196,-0.3348,-0.47740000000000005
NOFI,Norwegian Finans Holding,Financials,68.7,68.55,68.7,182,,12825.93,-0.0235,-0.0452,0.0223,-0.2791,0.1198
NPRO,Norwegian Property,Real estate,11.4,11.45,11.55,3,,5627.33,-0.0087,-0.0256,-0.05,-0.1759,-0.0279
NRC,NRC Group,Industrials,32.6,32.6,32.7,9,,2377.44,-0.0060999999999999995,-0.028300000000000002,0.0382,-0.4244,-0.4905
NTS,NTS,Industrials,70.0,69.0,70.0,0,,8349.06,,,-0.0278,0.1841,0.1459
OBSERV,Observe Medical,Health care,14.95,14.85,14.95,10,,290.53,-0.0132,-0.0508,0.0679,0.38689999999999997,
