ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
ORK,Orkla,Consumer staples,86.88,86.88,86.92,1019,,86906.57,-0.0014000000000000002,0.0255,0.0195,0.0040999999999999995,0.1595
OTELLO,Otello Corporation,Communication services,12.3,12.25,12.3,45,,1691.96,-0.012,0.0603,-0.0315,-0.23120000000000002,-0.1887
PEN,Panoro Energy,Energy,10.66,10.64,10.66,147,,731.64,-0.0292,-0.0716,-0.0922,-0.5354,-0.3448
PARB,Pareto Bank,Financials,38.2,38.1,38.5,76,,2668.34,-0.018000000000000002,0.1105,0.15410000000000001,-0.0104,0.0187
PCIB,PCI Biotech Holding,Health care,48.05,47.95,48.35,590,,1790.63,-0.0232,-0.3103,-0.3209,-0.3696,0.7646
PSE,Petrolia,Energy,8.95,8.85,8.95,305,,529.25,0.11869999999999999,0.29710000000000003,1.7623,1.9833,1.9247999999999998
PNOR,PetroNor E&P Limited,Energy,0.97,0.93,0.96,15,,939.60,0.04650000000000001,0.0179,-0.07730000000000001,-0.052000000000000005,-0.09789999999999999
PEXIP,Pexip Holding,Information technology,84.7,84.66,84.75,313,,8554.39,0.0043,-0.032,-0.057699999999999994,,
PGS,PGS,Energy,3.49,3.48,3.49,318,,1351.35,0.0213,0.06860000000000001,-0.2241,-0.7963,-0.6915
PHLY,Philly Shipyard,Industrials,70.0,70.4,70.8,10,,847.55,-0.005699999999999999,-0.0667,-0.1139,0.6393,0.8667
PHO,Photocure,Health care,70.0,70.1,70.3,264,LP,1861.54,-0.005699999999999999,-0.0155,-0.1566,-0.21789999999999998,0.2195
PPG PREF,Pioneer Property Group,Real estate,100.0,100.0,101.0,4,,486.86,0.0,0.0,0.0087,0.027999999999999997,0.056299999999999996
PLCS,Polarcus,Energy,0.37,0.36,0.37,14,,188.56,0.0124,-0.056600000000000004,-0.18350000000000002,-0.7241,-0.6602
POL,Polaris Media,Communication services,34.0,34.0,35.0,4,,1657.95,-0.0058,-0.0395,-0.0761,-0.0341,0.1409
PLT,poLight,Information technology,68.9,68.5,68.9,219,LP,623.30,0.0902,0.17379999999999998,0.1503,0.7646,5.6511000000000005
PRS,Prosafe,Energy,1.35,1.33,1.35,16,,110.52,0.0,0.024300000000000002,-0.1456,-0.3603,-0.875
PROTCT,Protector Forsikring,Financials,47.45,47.35,47.55,106,,3885.50,0.0282,-0.0732,0.3,-0.0953,-0.0027
QFR,Q-Free,Information technology,5.1,5.0,5.1,221,,455.04,0.10869999999999999,0.1184,0.032400000000000005,-0.25,-0.3154
QFUEL-ME,Quantafuel,Industrials,24.0,23.9,24.0,93,,3015.93,-0.0204,0.0667,-0.0040999999999999995,,
QEC,Questerre Energy Corporation,Energy,0.82,0.82,0.85,21,,351.74,-0.024900000000000002,-0.029500000000000002,-0.1393,-0.4556,-0.4207
RAKP,RAK Petroleum,Energy,6.78,6.3,6.76,3,,1318.36,0.0594,0.0728,-0.0059,-0.418,-0.46399999999999997
REACH,Reach Subsea,Energy,1.13,1.1,1.13,3,,162.21,0.0273,0.056100000000000004,-0.0174,-0.2871,-0.4619
REC,REC Silicon,Information technology,3.7,3.68,3.7,1950,,1035.89,-0.059000000000000004,0.2766,0.26780000000000004,0.3824,-0.1773
RIVER-ME,River iGaming,Consumer discretionary,5.7,5.5,5.7,2,,108.40,0.1176,0.0179,-0.1364,-0.6437999999999999,
ROM,RomReal,Real estate,2.56,1.91,2.52,0,,105.78,,,,0.113,0.0079
ROMSB-ME,Romsdal Sparebank,Equity certificates,114.9,114.6,115.0,1,LP,225.74,-0.0009,,,,
SDSD,S.D. Standard Drilling,Energy,0.74,0.74,0.75,9,,426.26,-0.013300000000000001,0.0,-0.028900000000000002,-0.45189999999999997,-0.3884
SAGA,Saga Tankers,Financials,0.94,0.91,0.94,9,,248.85,0.0,0.0275,-0.0508,-0.1307,0.0258
SALM,SalMar,Consumer staples,421.2,421.0,421.3,554,,47563.11,-0.0021,-0.015700000000000002,-0.0353,-0.06280000000000001,-0.0344
SALMON,Salmones Camanchaca,Consumer staples,59.0,55.6,58.8,1,,3894.00,0.0279,0.0424,0.0926,-0.0821,-0.15710000000000002
SADG,Sandnes Sparebank,Equity certificates,58.0,58.2,59.0,8,,1213.38,-0.0169,-0.0102,0.0,-0.050300000000000004,-0.0058
SAS NOK,SAS AB,Industrials,8.21,8.22,8.35,129,,3141.00,-0.044199999999999996,0.0,-0.1266,-0.4307,-0.327
SATS,SATS,Consumer discretionary,22.0,21.9,22.05,194,,3778.79,0.0,0.1677,0.16399999999999998,-0.0298,
SBANK,Sbanken,Financials,67.6,67.6,67.8,158,,7214.65,-0.0015,0.049699999999999994,0.10279999999999999,-0.09380000000000001,-0.0492
SCANA,Scana,Materials,1.09,1.09,1.1,21,,117.18,-0.0091,-0.07629999999999999,0.2601,0.3625,0.354
SSO,Scatec Solar,Utilities,162.7,162.6,162.9,517,,22396.68,-0.0006,0.0074,0.0599,0.3127,0.7959999999999999
SCHA,Schibsted ser. A,Communication services,286.7,251.0,,0,,29948.67,,,0.1217,0.08070000000000001,0.252
SCHB,Schibsted ser. B,Communication services,259.4,248.0,267.0,0,,33547.56,,,0.11230000000000001,0.0302,0.1845
SBX,SeaBird Exploration,Energy,4.5,4.42,4.5,12,LP,121.26,0.009000000000000001,-0.0605,-0.0323,-0.6018,-0.7877
SDRL,Seadrill,Energy,3.73,3.73,3.8,81,,372.54,0.006999999999999999,-0.0043,-0.344,-0.8181999999999999,-0.8856
