ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
ASC,0250,Financial Services,275,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1,Munkedamsveien 45 East,Capital Markets,7th floor,4.5,4.5,3.79018,0.04888889,0.8062,,4.5,,340249,,4.5,4.2179413,0.22,4.5,,340249,,,,0.22,1588118400,0.98372,,,4.445,4,NOK,9.738562,62625,,,,1970836352,,,511907,1.3944433,4.445,4.49,,185000,62625,4.58,10.395349,,10.49,2.69,4.47,False,0.048899997,340000,4.5,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ASC.OL,finmb_2972520,no_market,,1.088,,0.17288,,0.25,,0.43,,440903008,,,1.493,,,,1577750400,0.19143,244343008,0.459,,0.08030069,2.9939716,0.18238,1640908800,1593475200,,,348806080,1538378368,,,,,,0.229,,,,,,,,https://logo.clearbit.com/abgsc.com,,,,,,
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,,1.36,1.35,1.0682621,,0,,1.8,,587857,,1.36,1.9238362,,1.35,,587857,,,,,,2.679069,,,1.35,4,NOK,,4743710,,,,126263384,,,6872842,,1.35,1.63,,0,4743710,3.8,,,,0.25,1.6,False,,0,1.8,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,0.5962441,,,,77462200,,,0.174,,,,1577750400,0,,-0.118,,0.08030069,9.367816,0.50402,1640908800,1577750400,,,41707742,73080976,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,56.6,56,58.28777,0.0029151945,2.2674,,56.8,,19805,,56.6,53.864704,0.165,56,,19805,,,,1.86,1581552000,1.07216,,,55.8,2,NOK,918.0328,3952,,,,1241570432,,,30677,73.465706,55.8,56,,,3952,93.8,,,,39,55,False,0.032899998,,56.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,85.022,,0.07692,,-0.2789809,,,,22170900,,,6.184,,,,1577750400,0.19871001,1300000,0.061,,0.08030069,9.055628,0.57717997,1640908800,1585612800,,,9024667,1436873216,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,,,,,,
ANDF-ME,8400,Consumer Defensive,,"Andfjord Salmon AS operates a fish farm. It operates a closed sea facility for organic salmon farming. The company was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,,Norway,[],http://www.andfjordsalmon.com,1,Havnegata 19,Farm Products,8402 Sortland,58.3,59,,,0,,59.89,,,,58.3,,,59,,,,,,,,,,,58.5,2,NOK,,5776,,,,,,,,,58.5,59.49,,,5776,59.89,,,,58.5,58.8,False,,,59.89,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,1057.786,,0,-217.425,,,,,,,,4.914,,,,1577750400,,-6394534,-0.214,,0.08030069,11.935287,,1640908800,,,,,1741677568,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,,,,,,
AKBM-ME,1327,Healthcare,,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,Oksenoyveien 10,Drug Manufacturers—Specialty & Generic,PO Box 496,95.5,96.98,,,,,97,,,,95.5,,,96.98,,,,,,,,,,,95.8,2,NOK,,28536,,,,,,,,,95.8,96.49,,,28536,97,,,,95.8,96,False,,,97,OSL,AKER BIOMARINE AS,Aker BioMarine ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,42.454,,-0.00658,199.625,,,,,,,,2.589,,,,1546214400,,-1022000,-0.015,,0.08030069,37.079952,,1609372800,1514678400,,,14611039,6594613248,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,47 24 13 01 10,,,,,
AFG,0663,Industrials,5526,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1,Innspurten 15,Engineering & Construction,,181,179,167.03238,0.05248619,1.0266,,181,,26429,,181,176.3,9.5,179,,26429,,,,12,1589760000,0.436627,,,179,2,NOK,21.920795,5021,,,,19006629888,,,21229,0.79333127,179,181,,178000,5021,185,21.573301,,5.42,124.5,180.6,False,0.066300005,52100,181,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AFG.OL,finmb_6174594,no_market,,0.828,,0.03506,15.242,0.07418394,,8.39,,105009000,,,22.213,,,,1577750400,0.14407,840000000,8.257,,0.08030069,8.148382,0.60915,1640908800,1585612800,,,40215335,19845687296,,1263772800,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,,,,,,
AKA,1366,Energy,2112,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",Barum,47 21 52 58 00,Norway,[],http://akastor.com,1,Building B,Oil & Gas Equipment & Services,Oksenoyveien 10 Lysaker,5.5,5.5,6.004245,,0,,5.5,,761352,,5.5,4.992647,,5.5,,761352,,,,,1397174400,1.273837,,,5.25,2,NOK,,336689,,,,1469409920,,,432622,0.25947553,5.25,5.42,,52200,336689,12.4,13.525,,,3.52,5.38,False,,227000,5.5,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKA.OL,finmb_874402,no_market,,0.668,,-0.0498,12.157,-0.52006984,,0.4,,271609984,,,14.855,,,,1577750400,0.25563,-152000000,-0.981,,0.08030069,0.36418715,0.51141,1640908800,1593475200,,,136612714,3780857088,,1175212800,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,,,,,,
AASB-ME,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,Banks—Regional,,110,110,121.86331,0.07272727,1.0156,,110,,87,,110,114.17647,8,110,,87,,,,8,1583798400,0.401681,,,110,2,NOK,2.94275,100,,,,111530096,,,38,1.080718,110,136,,,100,153,,,,105,0,False,0.070199996,,110,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.033,,0.36725,,-0.07563025,,,,1013910,,,485.692,,,,1577750400,0,37900000,37.38,,0.08030069,0.22648099,0,1640908800,1585612800,,,553343,725802432,,,,,,-0.328,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 01,,,,,
ABT,1366,Healthcare,,"Aqua Bio Technology ASA engages in developing and commercializing active ingredients for use in skin care products in Norway. It offers Aquabeautine XL, a proprietary ingredient; and Spirulysat, an antioxidant for cosmetic use. The company also markets and distributes natural and skin care products to consumers, retailers, and professionals in Europe and the Middle East. It distributes its products through Internet, stores, and skin care clinics. The company markets and distributes organic skin care products under the Moana brand name in New Zealand and arctic skin care products under the Cuvget brand name in Norway. Aqua Bio Technology ASA was founded in 2000 and is based in Lysaker, Norway.",Lysaker,,Norway,[],http://www.aquabiotechnology.com,1,Fornebuveien 37,Biotechnology,,4.84,4.9,2.9343166,0.20661156,0,,5.05,,47863,,4.84,4.7455883,1,4.9,,47863,,,,,1496880000,1.24593,,,4.9,4,NOK,,19568,,,,76469896,,,149625,59.04145,4.9,5,,320000,19568,7.55,-9.222222,,,1.25,4.98,False,,330000,5.05,OSL,AQUA BIO TECHNOLOG,Aqua Bio Technology ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ABT.OL,finmb_39453852,no_market,,52.073,,0,-5.186,1.0166667,,-0.54,,15355400,,,0.477,,,,1577750400,0.02359,-13215518,-1.03,,0.08030069,10.440251,0.80484,1640908800,1577750400,,,1905450,67444440,,1309132800,1:20,,,,,,,,,,,https://logo.clearbit.com/aquabiotechnology.com,,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,,1.25,1.25,1.2194964,0.0032000002,,,1.25,,53666,,1.25,1.1964706,0.004,1.25,,53666,,,,0.04,1591142400,-0.703488,,,1.16,4,NOK,,11615,,,,58621976,,,42789,,1.16,1.22,,394100,11615,1.62,,,,1.05,1.18,False,0.0339,60000,1.25,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.18300653,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.08030069,7.3939395,0.46798,1640908800,1585612800,,,24350240,60063540,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,
