ticker,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,beta,beta3Year,bookValue,category,dateShortInterest,earningsQuarterlyGrowth,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,fundFamily,fundInceptionDate,heldPercentInsiders,heldPercentInstitutions,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,revenueQuarterlyGrowth,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,threeYearAverageReturn,totalAssets,trailingEps,yield,ytdReturn
SNOR,0.103773594,0.23080206,,,0.038619,,959.937,,,0.458,,4.633,2348512512,,1254822,11.46,,,-,,,,,1546214400,-,,,1,,,1569801600,35741000,1609372800,,2,0.12292473,,0.43717998,,2243480,,,-,,,,,,16.038,,
SOGN,0.009523869,0.23080206,,,-0.096375,,1411.696,,,3.58,,-5.561,-741660992,,382017,,,,-,,,,,1546214400,-,,,1,,,1569801600,4659000,1609372800,,2,0.07508699,,0.26904,,632500,,,-,,,,,,7.366,,
NOM,-0.16077727,0.23080206,,,1.429159,,0.852,,,,-5.972,,433600672,,172827025,-0.18,,,-,,,,,1577750400,2016-12-08,1:6,,1,,,1577750400,1391000,1640908800,,4,2.7230046,,0,,197492000,,,-,,,,,,0.01,,
NORBIT,Infinity,0.23080206,,,,,7.339,,,1.515,8.9,1.816,1106052608,,18414862,,,,-,,,,,1546214400,-,,,1,,,1569801600,59816000,1609372800,,2,2.588091,,0.098179996,,56786900,,,-,,,,,,7.777,,
VOW,Infinity,0.23080206,,,1.186985,,1.037,,,0.234,75.165,8.395,3059228928,,21909746,,,,-,,,,,1546214400,-,,,1,,,1561852800,29200000,1609372800,,2,30.086792,,0.080129996,,106564000,,,-,,,,,,0.304,,
SVEG,0.314394,0.23080206,,,0.110378,,189.041,,,0.216,,24.685,101626748928,,44714467,6.32,,,-,,,,,1577750400,2010-05-20,2:1,,1,,,1577750400,504000000,1640908800,,2,0.371348,,0.50133,,107319000,,,-,,,,,,7.457,,
SOAG,0.18867922,0.23080206,,,-0.189456,,285.234,,,0.121,,7.331,6191142912,,3789161,24.01,,,-,,,,,1577750400,-,,,1,,,1577750400,377727008,1640908800,,2,0.9115323,,0.47787997,,12388100,,,-,,,,,,30.49,,
RIVER-ME,-0.5041667,0.23080206,,,,,,,,,,,282719680,,9915544,,,,-,,,,,1546214400,-,,,1,,,1561852800,,1609372800,,2,,,-2.16699,,19016700,,,-,,,,,,,,
HYARD,-0.77227724,0.23080206,,,0.102965,,6.653,,,,-5.325,0.308,897766784,,7737999,,,,-,,,,,1546214400,-,,,1,,,1561852800,-215399008,1609372800,,4,0.369758,,-0.07383,,24726000,,,-,,,,,,-8.68,,
EMGS,0.5437262,0.23080206,,,2.217462,,0.122,,,,8.055,3.308,295663456,,54541018,-0.08,,,-,,,,,1577750400,2016-07-01,1:40,,1,,,1577750400,15039000,1640908800,,4,16.557377,,0.16829,,130970000,,,-,,,,,,0.115,,
BIOTEC,0.95704055,0.23080206,,,0.072487,,0.951,,,,-105.289,4.491,379039328,,25312385,-0.04,,,-,,,,,1577750400,-,,,1,,,1577750400,-6092000,1640908800,,2,8.454259,,-0.07218,,48334700,,,-,,,,,,-0.13,,
WSTEP,-0.079365075,0.23080206,,,,,13.687,,,-0.561,9.921,0.907,599200000,,17110340,2.26,,,-,,,,,1577750400,-,,,1,,,1577750400,36100000,1640908800,,2,1.6512018,,0.05466,,26673400,,,-,,,,,,1.6,,
EMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOFI,0.23749125,0.23080206,,,0.726523,,48.154,,,0.178,,5.06,19584724992,,120378632,10.7,,,-,,,,,1546214400,-,,,1,,,1569801600,1938237952,1609372800,,2,1.8897704,,0.50078,,186695008,,,-,,,,,,10.38,,
FUNCOM,0.19858146,0.23080206,,,0.42257,,0.582,,,,202.741,45.56,1293688448,,26855687,,,,-,,,,,1546214400,2018-02-01,1:5,,1,,,1569801600,1324000,1609372800,,2,29.020617,,0.046630003,,77287000,,,-,,,,,,0.013,,
SPOG,-0.05084747,0.23080206,,,0.073311,,195.835,,,-0.312,,35.702,23738546176,,16181310,5.06,,,-,,,,,1546214400,-,,,1,,,1569801600,91300000,1609372800,,2,0.285955,,0.42578,,20731200,,,-,,,,,,4.4,,
WALWIL,-0.21162397,0.23080206,,,1.63509,,6.341,,,,21.981,3.486,13628181504,,102214952,0.47,,,-,,,,,1577750400,-,,,1,,,1577750400,93000000,1640908800,,2,3.4347894,,0.02379,,422340992,,,-,,,,,,0.22,,
SNI,0.072356224,0.23080206,,,0.961285,,22.731,,,0.634,22.203,4.519,9206852608,,25128270,1.5,,,-,,,,,1575072000,-,,,1,,,1575072000,21043000,1638230400,,2,5.147156,,0.01033,,59023800,,,-,,,,,,0.347,,
FKRAFT,0.878453,0.23080206,,,,,8.497,,,0.303,15.976,0.988,7171457024,,69878710,,,,-,,,,,1546214400,-,,,1,,,1569801600,315863008,1609372800,,2,8.638344,,0.04354,,104496000,,,-,,,,,,2.986,,
