ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,bookValue,enterpriseValue,trailingEps,forwardEps,priceToBook,beta,profitMargins
BEL,Belships,Industrials,6.5,6.3,6.5,0,LP,1375.9,,,-0.07139999999999999,-0.1034,0.4599,0.718,1570477952.0,0.085,0.08,9.052925,0.39621,0.11012999999999999
BGBIO,BerGenBio,Health care,18.24,18.2,18.24,0,,1213.9,,,-0.1964,-0.2492,-0.26280000000000003,3.5980000000000003,860451008.0,-3.4339999999999997,-3.85,5.069483,1.3832389999999999,0.0
BIOTEC,Biotec Pharmacon,Health care,8.04,8.3,8.3,0,,388.61,,,0.5952000000000001,0.6926000000000001,0.9143,0.951,379039328.0,-0.13,-0.04,8.454259,0.072487,-0.07218
BSP-ME,Black Sea Property,Consumer discretionary,5.95,3.32,5.35,0,,85.97,,,-0.063,0.0171,-0.9627,11.847999999999999,119746920.0,-2.682,,0.50219446,-11.202867999999999,0.0
BON,Bonheur,Industrials,223.0,223.0,223.0,0,,9484.61,,,0.1095,0.1206,0.9068,140.915,13156276224.0,1.403,,1.5825143999999998,0.5,0.00765
BOR,Borgestad,Materials,19.1,19.0,19.2,0,LP,242.89,,,0.0053,-0.045,0.1819,56.58,1150181632.0,0.904,-4.23,0.33757509999999996,0.936573,0.0062
BDRILL,Borr Drilling,Energy,38.33,38.34,45.9,0,,4247.67,,,-0.4509,-0.4941,-0.6638,12.187999999999999,6213816320.0,-3.264,-0.14,3.1448967,2.092573,-1.18018
BRG,Borregaard,Materials,102.5,102.0,102.0,0,,10212.41,,,0.1045,0.0789,0.2998,33.181999999999995,12190625792.0,4.17,5.35,3.0890242999999997,-0.065074,0.08236
BOUVET,Bouvet,Information technology,400.0,405.0,405.0,0,,4099.81,,,0.039,0.0309,0.9128,25.959,4231146496.0,17.352,13.84,15.408914999999999,0.33360700000000004,0.08614001
BRA-ME,BRAbank,Financials,0.64,0.65,0.65,0,,317.39,,,-0.0154,0.3853,-0.6631999999999999,1.69,190109152.0,0.013999999999999999,,0.3786982,0.682281,0.033940002000000004
BWLPG,BW LPG,Energy,63.9,61.35,61.35,0,,8857.7,,,-0.1734,-0.1347,1.3496,7.526,10469164032.0,0.606,0.21,8.490566000000001,0.9958809999999999,0.12122999999999999
BWO,BW Offshore Limited,Energy,50.25,50.15,50.15,0,,9293.98,,,-0.2386,-0.2386,0.1305,5.672000000000001,10643050496.0,0.447,,8.859309,2.297364,0.07493
BMA,Byggma,Industrials,92.0,86.0,92.0,0,,642.47,,,,,,120.319,896576000.0,8.769,,0.764634,0.27429899999999996,0.03422
CARA,Carasent,Health care,14.5,15.0,15.0,0,,589.19,,,0.5525,0.4857,3.2647000000000004,2.115,510145792.0,0.015,,6.855792,0.21004899999999999,0.013930000000000001
COV,ContextVision,Health care,100.0,97.5,100.0,0,LP,773.68,,,0.0,-0.0385,0.6502,0.8079999999999999,773675008.0,-0.033,0.26,123.762375,0.6169680000000001,0.14269
CRAYON,Crayon Group Holding,Information technology,61.4,61.0,61.0,0,,4695.99,,,-0.0223,0.1808,2.3625,7.857,4894344704.0,-0.16,1.07,7.8146877,1.29659,-0.0008900000000000001
DAT,Data Respons,Information technology,48.0,48.0,48.0,0,,3624.5,,,0.0042,0.0021,0.8820999999999999,13.605,3685702400.0,1.95,1.85,3.5281148,0.704283,0.07329
DNB,DNB,Financials,174.85,174.2,174.2,0,,274198.96,,,0.0658,0.0662,0.1465,154.216,1005749534720.0,15.539000000000001,14.88,1.1337993,0.792421,0.47307998
DNO,DNO,Energy,8.16,8.32,8.32,0,,7955.63,,,-0.212,-0.29510000000000003,-0.5367000000000001,1.141,9039699968.0,0.07,0.33,7.148115600000001,1.0,0.07566
DOF,DOF,Energy,1.35,1.35,1.4,0,,415.48,,,-0.1916,-0.1401,-0.6578,5.291,20444286976.0,-8.632,0.85,0.25515026,2.393739,-0.42413999999999996
EAM,EAM Solar,Utilities,14.15,14.15,14.3,0,,96.96,,,-0.08710000000000001,0.2094,-0.6607,2.096,95245720.0,-0.152,,6.750953999999999,-0.065897,-0.0078
EIOF,Eidesvik Offshore,Energy,5.64,5.36,5.64,0,,350.53,,,0.0144,0.07629999999999999,0.2314,21.423000000000002,2479791104.0,-2.173,,0.26326844,0.6186159999999999,-0.2156
EMGS,Electromagnetic Geoservices,Energy,2.02,1.95,2.03,0,,264.56,,,0.0125,-0.0335,0.4532,0.122,295663456.0,0.115,-0.08,16.557377,2.217462,0.16829000000000002
ELE,Element,Materials,4.69,4.5,4.5,0,,87.16,,,-0.2358,-0.1515,-0.66,0.727,74230304.0,-0.897,,6.45392,4.80313,0.0
ELK,Elkem,Materials,22.26,22.3,22.3,0,,12939.97,,,-0.0973,-0.101,-0.1691,22.265,18976968704.0,2.082,4.4,0.99977547,,0.051539999999999996
EMAS,EMAS Offshore,Energy,0.29,,,0,,127.15,,,,,,,,,,,,
ENDUR,Endúr,Energy,1.12,0.98,0.98,0,LP,237.09,,,-0.122,-0.0429,-0.1814,1.341,169698992.0,-0.762,,0.83146906,,-0.32004002
ENTRA,Entra,Real estate,160.4,160.4,160.4,0,,29196.79,,,0.0525,0.1062,0.3726,123.921,50089308160.0,16.175,7.24,1.294373,0.29736399999999996,1.1116999
EPIC-ME,Epic Gas,Energy,14.0,13.1,13.9,0,LP,1492.63,,,-0.041100000000000005,-0.041100000000000005,0.6470999999999999,2.773,1821100032.0,-0.036000000000000004,,5.0486835999999995,0.276771,-0.023
EQNR,Equinor,Energy,161.5,161.5,161.5,0,,533687.3,,,-0.1072,-0.07980000000000001,-0.1416,12.417,554977132544.0,0.55,2.23,13.006362,0.7454689999999999,0.029289997999999998
EPR,Europris,Consumer discretionary,33.74,33.8,33.8,0,,5594.72,,,0.0132,-0.022,0.2947,11.927,9213811712.0,2.2640000000000002,2.59,2.8288757999999996,0.716,0.06021
FJORD,Fjord1,Industrials,40.8,40.1,40.1,0,,4075.64,,,0.124,0.1148,0.0044,22.66,7967867392.0,3.485,3.51,1.8005296000000002,0.8953270000000001,0.12705999999999998
FKRAFT,Fjordkraft Holding,Utilities,73.4,73.4,73.4,0,,7670.02,,,0.2072,0.2655,1.1168,8.497,7171457024.0,2.986,,8.638344,,0.043539999999999995
FLNG,FLEX LNG,Energy,69.0,69.9,69.9,0,,3733.63,,,-0.2105,-0.2409,-0.388,15.168,4401572352.0,0.15,0.14,4.549050299999999,0.258386,0.08022001
FRO,Frontline,Energy,76.8,77.0,77.0,0,,15182.77,,,-0.3149,-0.3075,0.64,7.162999999999999,17129969664.0,0.326,0.43,10.721765,0.913165,0.06767000000000001
FUNCOM,Funcom,Communication services,16.89,16.9,16.9,0,,1305.38,,,0.1987,0.2844,0.2284,0.5820000000000001,1293688448.0,0.013000000000000001,,29.020616999999998,0.42257,0.046630002999999996
GIG,Gaming Innovation Group,Consumer discretionary,6.5,6.51,6.51,0,,580.38,,,-0.15689999999999998,-0.2063,-0.6546,1.355,571535744.0,-0.08,0.1,4.797048,1.109236,-0.25417998
RISH,GC Rieber Shipping,Industrials,9.6,9.6,9.6,0,,825.91,,,-0.0204,0.1707,0.0971,20.258,1735957120.0,0.17,,0.47388688,0.544481,0.07122
GENT-ME,Gentian Diagnostics,Health care,59.4,60.0,60.0,0,,914.92,,,0.05690000000000001,-0.0481,0.0607,13.925999999999998,749511680.0,-2.977,,4.2654033,-0.13122999999999999,-1.03986
GJF,Gjensidige Forsikring,Financials,206.2,206.2,206.2,0,,103098.19,,,0.1219,0.1191,0.424,52.425,63830765568.0,13.19,9.52,3.933238,0.363261,0.20909001
GEOS-ME,Golden Energy Offshore Services,Energy,2.44,2.52,3.48,0,,86.41,,,,-0.3222,-0.6246,8.675,335960160.0,-0.618,,0.28126799999999996,,-0.27154
GOGL,Golden Ocean Group,Industrials,42.74,42.54,42.54,0,,6123.69,,,-0.1013,-0.1611,-0.0197,10.425,7387848192.0,0.138,,4.09976,1.972807,0.03075
GOD,Goodtech,Industrials,8.0,8.0,8.0,0,LP,180.92,,,0.1852,0.1679,0.6667000000000001,10.501,205990112.0,-1.8219999999999998,,0.7618322,1.042009,-0.07706
GSF,Grieg Seafood,Consumer staples,136.5,136.5,136.5,0,,15074.18,,,-0.0408,-0.0271,0.2313,34.489000000000004,16866161664.0,4.453,10.91,3.9577839999999997,-0.065074,0.061220000000000004
GRONG-ME,Grong Sparebank,Equity certificates,111.0,105.0,111.0,0,LP,329.94,,,0.0278,0.0278,0.1297,234.875,1416681728.0,18.033,,0.47259182,-0.098821,0.30363
GYL,Gyldendal,Consumer discretionary,452.0,452.0,,0,,1042.82,,,0.0089,0.0044,0.25120000000000003,302.20099999999996,1500876160.0,22.198,,1.4956933000000001,0.046952,0.025639999999999996
HAFNIA,Hafnia Limited,Energy,22.97,22.5,24.0,0,,8504.51,,,-0.1969,-0.1586,,2.9219999999999997,9262612480.0,-0.161,,7.861053999999999,,-0.0537
HAVI,Havila Shipping,Energy,2.8,2.9,3.14,0,,66.57,,,-0.0939,-0.0572,-0.2632,-40.465,4308690432.0,-45.601000000000006,-2.0,,1.453871,-1.5698301000000001
HYARD,Havyard Group,Industrials,2.46,2.46,2.46,0,,60.83,,,-0.209,-0.2264,-0.7564,6.653,897766784.0,-8.68,,0.369758,0.10296500000000001,-0.07382999999999999
HELG,Helgeland Sparebank,Equity certificates,88.0,88.0,88.0,0,LP,1832.42,,,0.0864,0.0476,0.2665,170.796,7091206144.0,10.67,10.32,0.51523453,0.46869799999999995,0.45118
HEX,Hexagon Composites,Industrials,35.8,35.0,35.0,0,,6491.1,,,-0.0737,-0.0151,0.1187,11.922,8044273664.0,0.7,0.88,3.0028517000000003,0.384678,0.041319999999999996
HIDDN,Hiddn Solutions,Information technology,1.92,1.93,1.93,0,,44.62,,,0.33409999999999995,0.4386,-0.8622,-0.402,10270595.0,-9.214,,,2.1698880000000003,-2.1918900000000003
HBC,Hofseth BioCare,Health care,8.04,8.0,8.2,0,,2619.55,,,-0.1625,-0.1067,2.1779,0.39,2578976000.0,-0.27,,20.615385,0.736408,-1.2005700000000001
HUNT,Hunter Group,Energy,4.2,4.15,4.15,0,,2413.64,,,-0.2902,-0.2345,0.21600000000000005,0.33899999999999997,2524501760.0,0.003,0.01,12.374632,0.19028,5.4448795
HLNG,Höegh LNG Holdings,Energy,23.6,23.7,23.7,0,,1797.85,,,-0.2955,-0.2955,-0.3881,5.167000000000001,3752738816.0,0.135,0.45,4.5674477,0.8945629999999999,0.029949998
HSPG,Høland og Setskog Sparebank,Equity certificates,159.0,150.0,150.0,0,,109.38,,,,0.359,0.6108,957.44,429344512.0,75.627,11.8,0.16606785,0.089785,0.39203998
ICE,Ice Group,Communication services,17.95,17.9,17.9,0,LP,3620.41,,,-0.0771,-0.0842,,-3.15,7751389696.0,-6.556,,,-0.195918,-0.68838
IDEX,IDEX Biometrics,Information technology,1.15,1.17,1.17,0,,825.69,,,0.055,-0.1016,-0.7051000000000001,0.25,577528448.0,-0.46,-0.27,4.6,1.914332,0.0
INC,Incus Investor,Materials,0.93,0.93,0.93,0,,99.99,,,0.1273,0.1625,0.1341,0.252,155624592.0,-0.604,,3.6904762000000004,1.186985,-0.16052
INDUCT-ME,Induct,Information technology,3.8,3.82,4.58,0,,40.76,,,,-0.1739,-0.2171,0.257,46321112.0,-0.461,,14.785992000000002,2.81045,-0.34876999999999997
INFRNT,Infront,Financials,23.8,23.2,24.0,0,LP,1033.52,,,-0.0083,-0.063,0.123,5.655,1031248256.0,0.636,1.13,4.2086644,-0.638135,-0.15883
INSR,Insr Insurance Group,Financials,6.0,5.86,6.02,0,,889.0,,,-0.1018,-0.1404,-0.2084,2.088,59109252.0,-0.662,0.66,2.8735630000000003,0.158154,-0.10568
IOX,Interoil Exploration and Production,Energy,3.15,2.92,2.92,0,,481.4,,,-0.15460000000000002,0.0997,-0.4434,-0.11199999999999999,285643008.0,-0.10099999999999999,0.01,,2.248764,-0.58529
ITE,Itera,Information technology,11.55,11.5,11.9,0,,940.12,,,0.0313,0.0043,0.5670000000000001,0.693,976294272.0,0.5,0.5,16.666666,0.40115300000000004,0.07343
JPK-ME,J.P. Kenny Petroleum,Energy,6.0,6.1,,0,,63.88,,,,,,,,,,,,
JIN,Jinhui Shipping and Transportation,Industrials,4.8,4.6,4.8,0,,524.44,,,-0.0588,-0.0909,-0.3785,2.261,542835904.0,-0.039,0.21,2.1229546000000004,0.710873,-0.06925
JAEREN,Jæren Sparebank,Equity certificates,159.0,159.0,159.0,0,LP,784.26,,,0.0258,0.0392,0.1981,360.01099999999997,3579888384.0,14.922,14.04,0.4416532,0.257825,0.41518003
KAHOOT-ME,Kahoot!,Communication services,71.8,71.8,71.8,0,,9288.01,,,0.0331,0.08789999999999999,,3.202,7812819456.0,-0.47600000000000003,,22.423486999999998,,-2.0251200000000003
KID,Kid,Consumer discretionary,58.2,59.0,59.8,0,,2365.55,,,0.1323,0.171,0.5374,25.64,3784147968.0,3.734,3.77,2.2698907999999998,0.071563,0.08009
KIT,Kitron,Information technology,12.38,12.3,12.3,0,,2217.31,,,0.1358,0.1255,0.5197999999999999,4.0360000000000005,2750215936.0,0.6990000000000001,0.76,3.0673935,1.252883,0.04007
KCC,Klaveness Combination Carriers,Industrials,43.0,41.0,46.0,0,,2065.16,,,-0.0733,-0.1042,,4.105,2373690880.0,-0.012,,10.47503,,-0.0037799999999999995
KOMP,Komplett Bank,Financials,8.07,8.28,8.28,0,,1485.85,,,-0.3646,-0.35340000000000005,-0.396,10.118,,1.11,2.63,0.7975884,,0.28129998
KOA,Kongsberg Automotive,Consumer discretionary,5.18,5.18,5.18,0,,2320.08,,,-0.1338,-0.155,-0.3148,0.7020000000000001,2419599872.0,0.011000000000000001,1.25,7.3789167,1.127677,0.026189999999999998
KOG,Kongsberg Gruppen,Industrials,165.6,165.6,165.6,0,,29803.58,,,0.1129,0.2,0.3972,70.768,30640625664.0,3.89,7.02,2.340041,,0.029070001
KVAER,Kværner,Energy,10.0,10.07,10.16,0,,2679.06,,,-0.0917,-0.1007,-0.1672,12.640999999999998,254666656.0,1.0490000000000002,0.69,0.79107666,1.370675,0.03443
LAVO-ME,Lavo.tv,Communication services,0.04,0.03,0.04,0,LP,5.31,,,-0.3838,-0.4167,,-0.498,3292543.0,-0.758,,,,0.0
LSG,Lerøy Seafood Group,Consumer staples,58.0,58.0,58.0,0,,34537.6,,,-0.0476,-0.0051,-0.1116,26.988000000000003,39590379520.0,2.407,6.14,2.1491032000000003,-0.26523800000000003,0.06987
LIFE-ME,Lifecare,Health care,3.38,3.38,3.38,0,,273.53,,,0.1118,0.0242,1.2533,0.275,231005856.0,-0.109,,12.290909,,0.0
LSTSB-ME,Lillestrøm Sparebank,Equity certificates,130.0,130.0,131.0,0,LP,130.0,,,0.05690000000000001,0.0833,0.2662,877.957,2762230016.0,90.434,,0.14807104,0.17357899999999998,0.49806999999999996
MGN,Magnora,Energy,8.3,7.75,8.3,0,,436.46,,,0.0375,0.1857,0.4749,1.892,369733152.0,1.3780000000000001,,4.3868922999999995,0.853377,1.54915
MSEIS,Magseis Fairfield,Energy,3.99,3.76,3.76,0,,738.83,,,-0.2176,-0.3121,-0.7959,1.242,772172608.0,-0.665,0.42,3.2125604,0.629324,-0.23313000000000003
MEDI,Medistim,Health care,197.0,197.0,197.0,0,,3585.17,,,0.0207,0.026,1.7743,12.267999999999999,3707521280.0,4.328,2.64,16.058037,-0.33855,0.21677999
MELG,Melhus Sparebank,Equity certificates,140.0,140.0,140.0,0,LP,387.79,,,0.0,-0.0071,0.1824,383.594,1916315264.0,12.639000000000001,11.7,0.36496922,0.053542,0.42343000000000003
MOWI,Mowi,Consumer staples,219.2,218.5,218.5,0,,113350.75,,,-0.042800000000000005,-0.0394,0.1603,5.5760000000000005,114281553920.0,0.932,15.74,39.311333000000005,-0.102141,0.10637999
MPCC,MPC Container Ships,Industrials,18.15,17.35,18.0,0,LP,1522.82,,,-0.0833,-0.0833,-0.395,5.0280000000000005,1788275968.0,-0.395,0.34,3.6097852999999995,0.911487,-0.15909
MULTI,Multiconsult,Industrials,73.6,71.0,73.6,0,,1981.71,,,0.0395,0.0222,0.2734,21.938000000000002,3217102592.0,1.729,5.33,3.3549092000000003,0.37349299999999996,0.01354
NAPA,Napatech,Information technology,4.33,4.2,4.58,0,,359.64,,,0.0535,-0.0728,0.607,0.397,138180784.0,-0.862,,10.9068,-0.603789,-0.36110002
NATTO,NattoPharma,Consumer staples,9.4,9.15,9.8,0,LP,182.43,,,0.1824,0.2533,-0.045700000000000005,6.1739999999999995,172370224.0,0.23,-0.07,1.5225137,0.47199300000000005,0.038939999999999995
NAVA,Navamedic,Health care,20.7,20.7,20.7,0,,251.35,,,0.104,0.1189,1.0720999999999998,8.437999999999999,223185792.0,0.131,,2.4531882,0.44728100000000004,0.007359999999999999
NKR,Nekkar,Industrials,2.16,2.2,2.2,0,,228.13,,,-0.031400000000000004,0.0537,-0.2107,1.699,-64189224.0,1.125,,1.2713361,-0.300658,0.5348
NEL,NEL,Industrials,11.38,11.4,11.4,0,,14920.29,,,0.2382,0.317,1.094,1.6019999999999999,13386584064.0,-0.196,-0.06,7.1036205,0.196046,-0.48402
NEXT,NEXT Biometrics Group,Information technology,3.47,3.46,3.46,0,,148.97,,,-0.0975,-0.0361,-0.6651,4.336,29260236.0,-4.612,-6.1,0.80027676,2.6243819999999998,-1.49009
NISB-ME,Nidaros Sparebank,Equity certificates,121.0,118.0,125.0,0,LP,135.41,,,,0.08039999999999999,,,,,,,,0.31968
NORBIT,NORBIT,Information technology,18.99,19.8,19.8,0,LP,1078.61,,,-0.0357,-0.0503,,7.3389999999999995,1106052608.0,7.777,,2.588091,,0.09817999599999999
NOM,Nordic Mining,Materials,2.32,2.4,2.4,0,,458.18,,,-0.1559,0.1044,-0.1133,0.852,433600672.0,0.01,-0.18,2.7230046000000003,1.429159,0.0
NANO,Nordic Nanovector,Health care,25.24,25.3,25.44,0,,1669.46,,,-0.0425,-0.2048,-0.3921,5.394,1098165376.0,-7.252999999999999,-7.96,4.679273,0.155683,0.0
NOD,Nordic Semiconductor,Information technology,63.85,64.0,64.0,0,,11257.63,,,0.1281,0.1463,0.8752,1.3230000000000002,11272716288.0,0.042,0.08,48.261528000000006,1.40939,0.025409998
NHY,Norsk Hydro,Materials,29.72,29.85,29.85,0,,60856.12,,,-0.0833,-0.0895,-0.1164,39.029,77348003840.0,-0.885,3.72,0.76148504,,-0.01199
NSKOG,Norske Skog,Materials,42.2,42.5,43.0,0,,3481.5,,,-0.0094,-0.034300000000000004,,66.582,4416999936.0,24.77,,0.6338049,,0.16754000000000002
NORTH,North Energy,Energy,1.38,1.38,1.4,0,,161.81,,,0.026,-0.1039,-0.0563,2.6,-59222864.0,-0.34,-0.93,0.5307691999999999,0.625205,0.0
NODL,Northern Drilling,Energy,14.68,14.68,14.68,0,,1578.92,,,-0.2593,-0.2891,-0.7425,6.612,1829336960.0,-0.027000000000000003,-0.27,2.2202057999999996,1.1324370000000001,0.0
NRS,Norway Royal Salmon,Consumer staples,224.4,224.4,224.4,0,,9746.0,,,-0.0937,-0.0619,0.2469,76.237,10013814784.0,30.14,18.5,2.9434526,-0.193574,0.2339
NAS,Norwegian Air Shuttle,Industrials,40.15,40.15,40.15,0,,6566.81,,,-0.0531,0.0636,-0.3475,38.345,66517721088.0,-26.875999999999998,-20.18,1.0470726000000001,1.138385,-0.062220000000000004
NOR,Norwegian Energy Company,Energy,226.0,225.0,232.0,0,LP,5480.29,,,-0.0174,0.0022,-0.0583,22.771,6453096448.0,6.372999999999999,17.14,9.924905,-0.188632,0.98460996
NOFI,Norwegian Finans Holding,Financials,91.0,91.0,91.0,0,,16989.22,,,-0.0267,-0.0451,0.2432,48.153999999999996,19584724992.0,10.38,10.7,1.8897703999999997,0.7265229999999999,0.50078
NPRO,Norwegian Property,Real estate,14.45,14.35,14.45,0,,7132.89,,,-0.0255,0.0446,0.3869,16.68,15111515136.0,1.8619999999999999,0.47,0.8663069,0.23970300000000003,0.91005
NRC,NRC Group,Industrials,37.0,37.0,37.0,0,,1998.86,,,-0.2868,-0.3468,-0.3763,37.817,4788823040.0,-2.02,6.83,0.97839594,-0.038714,-0.0189
NTS,NTS,Industrials,68.5,69.0,69.0,0,,4983.77,,,0.096,0.1417,0.201,34.567,7704004608.0,4.085,6.33,1.9816586999999999,0.009972,0.17006999
OBSERV,Observe Medical,Health care,10.0,9.7,9.7,0,,153.43,,,-0.0741,-0.1597,,0.805,126583520.0,,,12.422360000000001,,0.0
OCY,Ocean Yield,Energy,46.15,46.3,46.6,0,,8080.16,,,-0.0658,-0.0385,-0.1847,5.05,9169515520.0,-0.631,0.67,9.138614,0.654859,-0.39233002
OTS,Oceanteam,Energy,4.44,4.3,4.45,0,,151.89,,,-0.1623,-0.0939,-0.4484,1.786,217239584.0,0.015,,2.4860022,1.433278,0.023039998
