ticker,name,marketcap,sector,info,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,bookValue,enterpriseValue,trailingEps,priceToBook,beta
TEAM,Team Tankers International,1100.45,Industrials,,,,0.1111,-0.136,-0.136,1.675,1294598528.0,-0.379,3.3432836999999997,0.10361400000000001
TECH,Techstep,469.21,Information technology,,0.0103,-0.0167,-0.0484,-0.1061,-0.0723,2.708,512304896.0,-0.39399999999999996,1.0893648999999999,-0.8263530000000001
TEL,Telenor,231822.95,Communication services,,-0.01,0.0006,-0.0085,0.0202,0.0319,25.471999999999998,361661366272.0,5.006,6.369739,0.310539
TGS,TGS-NOPEC Geophysical Company,31779.19,Energy,,-0.0113,0.0424,0.0638,0.3479,0.1736,12.918,31924627456.0,1.5859999999999999,20.808173999999998,0.990345
SSC,The Scottish Salmon Company,5486.68,Consumer staples,,0.0018,0.0018,0.0035,0.9264,0.877,0.941,5480500224.0,0.183,30.021254,0.337892
THIN,Thin Film Electronics,131.54,Information technology,,-0.0154,0.1952,-0.0346,-0.8506,-0.8629000000000001,0.452,147756240.0,-1.2,5.154866999999999,1.7473849999999997
TIETOO,TietoEVRY,32283.21,Information technology,,0.1337,,,,,,17804032000.0,,,0.459372
TOM,Tomra Systems,41541.65,Industrials,,-0.0028000000000000004,0.044500000000000005,0.1121,0.4725,0.3627,33.625,44723023872.0,5.34,8.339033,0.562349
TOTG,Totens Sparebank,839.06,Equity certificates,LP,,,0.062,0.1978,0.2077,307.60900000000004,3921736192.0,16.121,0.44537058,0.203539
TRE,Treasure,2890.56,Industrials,,-0.0148,-0.0075,-0.0362,0.17420000000000002,0.2729,2.909,2935854080.0,0.7829999999999999,4.572018,0.8613129999999999
TYSB-ME,Tysnes Sparebank,186.6,Equity certificates,LP,,,,,0.1809,237.484,656046272.0,22.076,0.5179296,
ULTIMO,Ultimovacs,883.17,Health care,,0.0063,0.0226,0.0567,,,16.77,469011584.0,-2.4290000000000003,1.9320215,
VEI,Veidekke,15830.67,Industrials,,-0.0109,-0.0142,0.1539,0.2807,0.2741,28.885,20640643072.0,7.218,4.081703,0.228479
