ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,Industrials,56.6,56.6,57.0,6,,1254.87,0.0034999999999999996,0.07200000000000001,0.076,-0.34869999999999995,-0.24789999999999998
FIVEPG,5th Planet Games,Communication services,2.15,2.13,2.15,283,LP,228.58,0.0337,0.0969,0.3185,6.360499999999999,2.2334
AASB-ME,Aasen Sparebank,Equity certificates,114.0,111.0,117.0,0,LP,115.59,,,-0.0087,-0.051399999999999994,0.028300000000000002
ASC,ABG Sundal Collier Holding,Financials,4.17,4.17,4.19,39,,1838.88,0.0097,-0.0479,0.039900000000000005,0.10830000000000001,0.2898
ADE,Adevinta,Communication services,145.7,145.7,146.1,1656,,99784.03,-0.0169,0.0713,0.5313,0.401,0.5052
ADSC-ME,ADS Crude Carriers,Energy,18.2,18.25,18.4,8,,425.70,0.0,-0.0189,-0.0521,-0.252,0.0353
AEGA,Aega,Utilities,1.29,1.29,1.32,15,,61.99,-0.0672,-0.0079,0.0246,0.0776,0.017
AFG,AF Gruppen,Industrials,174.4,174.4,174.6,21,,18313.57,-0.0011,-0.0268,-0.0034000000000000002,0.0277,0.0922
AKA,Akastor,Energy,6.01,6.01,6.04,105,,1632.37,0.0292,0.0791,0.2346,-0.39640000000000003,-0.4728
AKER,Aker,Financials,382.6,382.6,383.2,722,,28415.12,0.0319,-0.011899999999999999,0.1249,-0.2756,-0.1562
AKBM-ME,Aker BioMarine,Consumer staples,88.55,88.55,88.98,120,,7755.75,0.0062,-0.0215,,,
AKERBP,Aker BP,Energy,171.75,171.8,171.9,1827,,61763.62,0.014499999999999999,-0.0558,-0.0369,-0.37670000000000003,-0.24489999999999998
AKSO,Aker Solutions,Energy,14.58,14.57,14.59,1079,,3964.93,0.0062,0.0021,0.6766,-0.4106,-0.4817
AKVA,AKVA Group,Industrials,63.2,63.2,63.4,16,LP,2092.33,0.0326,-0.0063,0.0359,-0.13119999999999998,-0.1632
AMSC,American Shipping Company,Industrials,27.05,26.95,27.05,39,,1639.68,0.0,-0.0018,0.08199999999999999,-0.1288,-0.1367
ANDF-ME,Andfjord Salmon,Consumer staples,56.5,55.51,56.5,36,,1904.09,0.0144,-0.0358,0.13,,
ABT,Aqua Bio Technology,Materials,4.8,4.74,4.8,31,LP,73.71,0.0667,0.0213,0.326,1.0513,0.9672
AQUA,AqualisBraemar,Energy,4.7,4.6,4.7,4,,330.49,0.0217,0.0444,0.2113,0.2718,0.2686
ARCHER,Archer,Energy,2.1,2.09,2.1,31,,309.92,0.032,-0.0434,0.0,-0.34119999999999995,-0.5446
AZT,ArcticZymes Technologies,Health care,43.7,43.1,43.7,136,,2112.23,0.009300000000000001,0.0358,0.4914,8.1368,9.85
ARCUS,Arcus,Consumer staples,40.9,40.4,40.8,33,,2773.05,-0.0025,-0.0098,0.0518,0.1593,0.1284
AFK,Arendals Fossekompani,Industrials,2900.0,2920.0,2960.0,2,,6349.32,-0.0203,0.0,0.0902,0.12689999999999999,0.1577
ASETEK,Asetek,Information technology,63.7,63.4,63.7,50,,1606.62,0.0599,0.0143,0.1862,1.0548,2.1073
ATEA,Atea,Information technology,104.4,104.2,104.6,85,,11481.20,0.013600000000000001,-0.024300000000000002,0.0932,-0.1882,-0.048600000000000004
ATLA NOK,Atlantic Petroleum,Energy,6.9,6.48,7.24,0,,25.52,,,0.0088,-0.121,
ASA,Atlantic Sapphire,Consumer staples,115.5,114.5,115.5,87,,8233.54,0.0132,-0.0128,-0.0941,-0.1047,0.16670000000000001
AURG,Aurskog Sparebank,Equity certificates,192.0,188.0,192.0,0,LP,617.12,,,0.0378,0.0738,0.1436
