ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
2020,2020 Bulkers,Industrials,61.8,61.4,61.8,12,,1370.16,0.006500000000000001,0.049,0.0935,-0.2878,-0.2063,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,61.4,61.4,54.450726,0.0026872964,0.8163,,61.8,,37886.0,,61.4,55.87647,0.165,61.4,,37886.0,,,,1.07,1597622400.0,1.121996,,,61.0,2.0,NOK,297.1154,2215.0,,,,1370161664.0,,,29759.0,49.46432,61.0,61.8,,,2215.0,93.8,,,,39.0,61.4,False,0.0173,,61.8,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,57.751000000000005,,0.16968,,-0.21005392,,,,22170900.0,,,6.22,,,,1577750400.0,0.19871001,4700000.0,0.20800000000000002,,0.15912509,9.935692,0.57717997,1640908800.0,1593475200.0,,,6990487.0,1599693568.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,,,,,,
FIVEPG,5th Planet Games,Communication services,1.71,1.7,1.71,327,LP,181.27,-0.0058,-0.0833,0.25370000000000004,4.8371,2.1216,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,,1.715,1.665,1.309177,,0.0,,1.73,,4886189.0,,1.715,1.7518866999999998,,1.665,,4886189.0,,,,,,2.714866,,,1.625,4.0,NOK,,1601361.0,,,,179677424.0,,,4229226.0,,1.625,1.705,,0.0,1601361.0,3.8,,,,0.25,1.7,False,,0.0,1.73,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.28125,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.15912509,9.712645,0.50402,1640908800.0,1577750400.0,,,46798691.0,90813856.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,114.0,115.0,118.0,0,LP,115.59,,,,,,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,,114.0,114.0,119.21739,0.07017544,1.0156,,114.0,,2.0,,114.0,113.02941000000001,8.0,114.0,,2.0,,,,8.0,1583798400.0,0.40223000000000003,,,114.0,2.0,NOK,2.7580202000000003,0.0,,,,115585744.0,,,37.0,1.0530676,114.0,0.0,,,0.0,153.0,,,,105.0,115.0,False,0.070199996,,114.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.419,,0.38182,,-0.025641024,,,,1013910.0,,,501.01,,,,1577750400.0,0.0,41909000.0,41.333999999999996,,0.15912509,0.22754036,0.0,1640908800.0,1593475200.0,,,553343.0,704501056.0,,,,,,0.34299999999999997,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 01,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.58,4.53,4.55,5,,2019.68,0.0,0.0055000000000000005,0.0178,0.2172,0.5788,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,7th floor,4.58,4.59,3.8425724999999997,0.04803493599999999,0.8062,,4.59,,212176.0,,4.58,4.392059,0.22,4.59,,212176.0,,,,0.22,1588118400.0,0.9587680000000001,,,4.58,4.0,NOK,9.978213,7396.0,,,,2019683840.0,,,416702.0,1.4290047,4.58,4.55,,185000.0,7396.0,4.625,10.651162,,10.54,2.69,4.525,False,0.048600002999999996,340000.0,4.59,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.113,,0.17288,,0.39814818,,0.43,,440979008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.15912509,3.0676490000000003,0.18238,1640908800.0,1593475200.0,,,342118857.0,1573620608.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,,,,,,
ADE,Adevinta,Communication services,157.7,157.6,158.0,350,,108002.34,-0.0063,0.026,0.3739,0.5192,0.5047999999999999,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,,159.0,159.6,106.68948999999999,,0.0,,160.3,,613397.0,,159.0,132.29852,,159.6,,613397.0,,,,,,,,,157.6,2.0,NOK,,47234.0,,,,108207882240.0,,,449867.0,,157.6,158.3,,,47234.0,168.2,,,,66.7,157.6,False,,,160.3,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.45856345,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.15912509,,0.66005,1640908800.0,1593475200.0,,,227972750.0,103751999488.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,18.15,18.15,18.2,7,,424.53,0.0,0.0083,-0.032,-0.2541,0.095,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,22 Amathountos Agios Tychonas,18.15,18.15,21.65652,,0.4088,,18.3,,49459.0,,18.15,18.47206,,18.15,,49459.0,,,,4.21,1591228800.0,,,,18.0,2.0,NOK,,8504.0,,,,424533952.0,,,72343.0,,18.0,18.2,,,8504.0,33.4,,,,16.1,18.15,False,0.23200001,,18.3,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.08333331,,,,23390300.0,,,,,,,,0.09734,,,,0.15912509,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,,,,,
AEGA,Aega,Utilities,1.32,1.25,1.3,1,,63.43,0.0394,-0.0075,0.056,0.1379,0.1193,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,,1.27,1.32,1.2387681000000001,0.0031496065000000003,,,1.32,,61395.0,,1.27,1.2552941,0.004,1.32,,61395.0,,,,0.04,1591142400.0,-0.700348,,,1.32,4.0,NOK,,250.0,,,,63427060.0,,,53452.0,,1.32,1.3,,394100.0,250.0,1.85,,,,1.05,1.25,False,0.033299997000000005,60000.0,1.32,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.09859156599999999,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.15912509,8.0,0.46798,1640908800.0,1585612800.0,,,24350240.0,61505068.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,
AFG,AF Gruppen,Industrials,177.0,175.8,177.2,15,,18586.59,-0.005600000000000001,0.0114,-0.0221,0.0431,0.1354,0663,Industrials,5526.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,,178.0,177.8,167.41232,0.053370785,1.0266,,177.8,,9083.0,,178.0,177.72353,9.5,177.8,,9083.0,,,,12.0,1589760000.0,0.43902399999999997,,,174.2,2.0,NOK,21.436357,943.0,,,,18586593280.0,,,17817.0,0.77579904,174.2,177.2,,178000.0,943.0,185.0,21.096542000000003,,5.43,124.5,175.8,False,0.0674,52100.0,177.8,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.815,,0.03506,15.005,0.048358202,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.15912509,7.968307000000001,0.60915,1640908800.0,1585612800.0,,,40215335.0,19537090560.0,,1263772800.0,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,,,,,,
AKA,Akastor,Energy,5.99,5.99,6.04,79,,1626.94,-0.0244,-0.08410000000000001,0.0891,-0.3974,-0.4022,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,OksenÃ¸yveien 10 Lysaker,6.14,6.14,5.475,,0.0,,6.14,,374106.0,,6.14,5.6186767,,6.14,,374106.0,,,,,1397174400.0,1.36353,,,5.99,2.0,NOK,,84807.0,,,,1626943744.0,,,492509.0,0.2872936,5.99,6.05,,52200.0,84807.0,12.4,14.974998999999999,,,3.52,6.0,False,,227000.0,6.14,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.698,,-0.0498,12.716,-0.44058502,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.15912509,0.40323123,0.51141,1640908800.0,1593475200.0,,,136612714.0,3954571520.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,,,,,,
AKER,Aker,Financials,398.8,398.6,399.2,297,,29619.98,-0.0148,-0.0537,-0.0154,-0.2445,-0.024700000000000003,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,Oil & Gas Equipment & Services,,404.6,402.0,342.6703,0.029041027999999997,0.0,,402.0,,92465.0,,404.6,388.5353,11.75,402.0,,92465.0,,,,11.75,1595289600.0,1.71777,,,394.6,2.0,NOK,,25559.0,,,,29590282240.0,,,189812.0,0.62815046,394.6,399.2,,111700.0,25559.0,566.0,15.177143,,,182.2,398.4,False,0.0287,108400.0,402.0,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.896,,-0.08871,34.945,-0.0614115,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.15912509,1.5845238000000001,0.70268,1640908800.0,1593475200.0,,,67696448.0,89319030784.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,47 24 13 01 01,,,,,
