ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,bookValue,enterpriseValue,trailingEps,forwardEps,priceToBook,beta,profitMargins
SBO,Selvaag Bolig,Real estate,55.0,54.8,55.4,1033,,5138.17,0.011,0.0596,0.0803,0.0438,0.9714,32.977,7177525248.0,7.957000000000001,4.89,1.667829,0.6526310000000001,0.20899001
SHLF,Shelf Drilling,Energy,21.7,21.6,21.8,40,,2958.94,-0.0091,-0.0482,0.2765,0.2191,-0.4792,4.685,3815680256.0,-1.06,-0.46,4.631804,0.401473,-0.22694999
SIOFF,Siem Offshore,Energy,1.23,1.23,1.35,2,,1149.73,,,-0.0611,-0.0238,-0.2722,0.43200000000000005,2171289344.0,-0.087,-0.02,2.847222,0.578947,-0.27688998
SKUE,Skue Sparebank,Equity certificates,180.0,178.0,180.0,1,LP,338.58,0.0,0.0588,0.07139999999999999,0.0588,0.5053,575.341,956156032.0,21.346,18.82,0.31285793,0.143319,0.42544997
SOFTOX-ME,SoftOx Solutions,Health care,27.0,27.0,28.0,6,,209.28,-0.0146,-0.0074,-0.2286,-0.1176,,3.7260000000000004,124549200.0,-3.65,,7.2463765,,0.0
SOGN,Sogn Sparebank,Equity certificates,105.0,103.0,107.0,1,LP,66.41,0.0,0.0,-0.0094,-0.0187,0.03,1411.6960000000001,-742293504.0,7.3660000000000005,,0.07437862,-0.0834,0.26904
SOLON,Solon Eiendom,Real estate,38.2,38.2,38.5,52,,2669.29,-0.0078,-0.0305,-0.0129,-0.0591,0.1077,15.540999999999999,5240252928.0,1.159,2.79,2.4580142000000005,-0.440968,0.05704
SOFF,Solstad Offshore,Energy,0.97,0.95,0.97,120,,282.67,-0.0152,-0.0762,-0.0762,-0.001,-0.4829,-9.13,31342467072.0,-17.517,-1.01,,1.892307,-1.01052
SBVG,SpareBank 1 BV,Equity certificates,40.3,40.1,40.3,35,LP,2539.21,-0.0049,0.0025,0.0254,0.0177,0.2113,81.579,10168772608.0,4.591,4.12,0.49399966,0.400809,0.42745999
NONG,SpareBank 1 Nord-Norge,Equity certificates,79.9,79.6,79.9,285,LP,8021.8,0.0152,0.0,0.031,0.0178,0.2871,139.183,33560961024.0,9.985,6.86,0.5740644,0.28502,0.5284300000000001
SNOR,SpareBank 1 Nordvest,Equity certificates,114.0,112.0,114.0,5,,254.28,0.0,,0.0,-0.0087,0.1257,959.937,2339538432.0,16.038,11.46,0.11875779,0.028112,0.43717998
RING,SpareBank 1 Ringerike Hadeland,Equity certificates,236.0,234.0,236.0,4,,3693.5,,0.0085,0.06309999999999999,0.0261,0.2752,237.269,6910591488.0,26.918000000000003,21.24,0.9946517,0.279352,0.48712003
MING,SpareBank 1 SMN,Equity certificates,103.2,102.8,103.2,371,,13399.06,0.0178,0.0019,0.0341,0.029900000000000006,0.2619,144.75,37432975360.0,12.505,9.67,0.7129533,0.588663,0.43546999999999997
SRBANK,SpareBank 1 SR-Bank,Financials,102.8,102.8,102.9,779,,26281.82,0.0178,0.0098,0.0373,0.028,0.1771,92.486,141049905152.0,12.345999999999998,,1.1115196000000003,0.482591,0.50713
SOAG,SpareBank 1 Østfold Akershus,Equity certificates,240.0,236.0,240.0,3,LP,2973.15,0.0084,0.0084,0.0169,0.0,0.28850000000000003,278.784,6102749184.0,29.804000000000002,24.01,0.86088157,-0.097165,0.47734
SPOL,SpareBank 1 Østlandet,Equity certificates,98.9,98.6,98.9,170,LP,11455.57,0.0102,0.0041,0.0692,0.0692,0.2337,135.35399999999998,50124566528.0,11.354000000000001,8.88,0.7306766,0.5049060000000001,0.46381999999999995
MORG,Sparebanken Møre,Equity certificates,319.0,316.0,319.0,24,LP,3138.04,0.0031,0.0063,0.0063,0.0063,0.1788,694.2719999999999,30771017728.0,32.558,30.98,0.45947412,0.100404,0.43812
SOR,Sparebanken Sør,Equity certificates,112.0,111.0,112.0,19,LP,1749.4,0.0182,0.0182,0.0275,0.0182,0.245,798.913,53432782848.0,10.829,10.48,0.14019048,-0.19028299999999998,0.4481
SBTE,Sparebanken Telemark,Equity certificates,131.0,129.0,131.0,8,,1427.72,0.0,0.0077,0.0077,0.0077,0.1975,313.526,7397619200.0,15.338,,0.41782817,,0.42771998
SVEG,Sparebanken Vest,Equity certificates,65.8,65.8,66.0,158,LP,7061.56,-0.003,0.0154,0.0444,0.0379,0.297,273.203,102244777984.0,7.159,6.32,0.24084656,0.208906,0.49228
SPOG,Sparebanken Øst,Equity certificates,57.0,56.0,57.0,30,,1181.68,0.0106,0.0035,0.0556,0.044,0.0849,195.835,23759278080.0,4.4,5.06,0.29106134,0.102834,0.42578
SBLK,Star Bulk Carriers,Industrials,83.2,81.0,83.2,12,LP,7545.12,-0.0258,-0.1333,-0.1883,-0.2151,0.0927,16.178,9320548352.0,-0.303,,5.1427865,1.6786009999999998,-0.03578
SNI,Stolt-Nielsen,Industrials,125.0,123.6,125.0,242,,6690.47,0.0196,-0.0126,0.0965,0.0965,0.2718,22.504,9795252224.0,0.308,1.5,5.5545683,0.9587040000000001,0.00908
STB,Storebrand,Financials,72.9,72.74,72.9,2500,,34034.88,0.0128,-0.018000000000000002,0.051,0.0562,0.1653,69.89399999999999,58729287680.0,6.962000000000001,5.68,1.0430081,0.79757,0.04917
STORM,Storm Real Estate,Real estate,3.18,3.0,3.2,2,,28.09,0.0,0.06709999999999999,-0.1405,-0.0647,-0.4,0.467,46777908.0,0.001,0.09,6.8094220000000005,0.812145,0.00398
STRONG,StrongPoint,Information technology,11.25,11.25,11.4,21,LP,496.96,-0.0088,-0.0217,-0.0385,-0.0625,0.3326,5.642,609225920.0,0.475,1.1,1.9939737000000002,0.365182,0.018760001000000002
SUBC,Subsea 7,Energy,105.6,105.6,105.7,1869,,31556.96,0.0091,-0.02,0.0096,0.0062,0.1135,18.156,31756568576.0,0.29,0.25,5.816259,1.3392709999999999,0.02377
SUNSB-ME,Sunndal Sparebank,Equity certificates,115.0,112.0,114.0,0,LP,155.5,,,0.0,0.0,0.0852,406.63199999999995,946307648.0,7.72,,0.28281102,,0.36046999999999996
SUSB-ME,Surnadal Sparebank,Equity certificates,113.0,112.0,113.0,2,LP,227.06,,0.0089,0.0089,0.0089,,500.126,1726598656.0,47.727,,0.22594306,,0.42123002
TEONE-ME,TargetEveryOne,Information technology,1.13,1.13,1.2,51,,135.4,0.0561,-0.15039999999999998,0.7121,0.0367,,,,,,,,
TRVX,Targovax,Health care,7.84,7.84,7.95,477,,496.93,-0.0076,-0.16210000000000002,0.1093,-0.1009,-0.096,5.233,452618528.0,-2.6430000000000002,-2.85,1.4981847,2.093927,0.0
TEAM,Team Tankers International,Industrials,5.45,5.45,5.75,5,,1107.73,,-0.018000000000000002,-0.018000000000000002,0.0093,-0.155,1.675,1304919296.0,-0.379,,3.2537312999999997,0.10572999999999999,-0.23075001
TECH,Techstep,Information technology,3.1,3.05,3.11,3,,504.66,0.0231,-0.0032,0.0,-0.0855,-0.0746,2.708,540934848.0,-0.39399999999999996,,1.1447563,-0.724279,-0.0582
TEL,Telenor,Communication services,167.0,166.95,167.0,3148,,237584.73,0.0075,-0.006,0.0441,0.0607,0.0455,25.471999999999998,367624749056.0,5.006,10.0,6.5562186,0.281781,0.0641
TGS,TGS-NOPEC Geophysical Company,Energy,248.7,248.7,248.8,2888,,29138.86,0.0032,-0.05690000000000001,-0.0724,-0.0689,0.0794,12.918,29018261504.0,1.5859999999999999,2.07,19.252205,0.982186,0.26136
SSC,The Scottish Salmon Company,Consumer staples,28.15,28.15,28.2,14,,5461.89,0.0,-0.0018,-0.0035,-0.0035,0.7286,0.941,5461100032.0,0.183,10.13,29.914984000000004,0.32064699999999996,0.15428
THIN,Thin Film Electronics,Information technology,2.15,2.14,2.15,196,,125.98,0.0287,-0.0315,-0.14,-0.07730000000000001,-0.8344,0.452,138967200.0,-1.2,-0.05,4.955752400000001,1.8502020000000001,0.0
TIETOO,TietoEVRY,Information technology,291.0,288.6,291.0,42,,34411.78,-0.0048,0.0118,0.0738,0.0483,,,21515669504.0,,,,0.47692299999999993,0.0636
TOM,Tomra Systems,Industrials,267.4,267.2,267.4,2956,,39446.87,0.0478,-0.0504,-0.0618,-0.0395,0.2869,33.625,42475085824.0,5.34,5.73,7.952416,0.550607,0.08534
TOTG,Totens Sparebank,Equity certificates,145.0,145.0,146.0,9,LP,888.06,0.0,0.0432,0.0432,0.0432,0.2782,307.60900000000004,3970732544.0,16.121,14.88,0.4713776,0.214574,0.4621
