ticker,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,beta,beta3Year,bookValue,category,dateShortInterest,earningsQuarterlyGrowth,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,fundFamily,fundInceptionDate,heldPercentInsiders,heldPercentInstitutions,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,revenueQuarterlyGrowth,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,threeYearAverageReturn,totalAssets,trailingEps,yield,ytdReturn
GSF,0.29476583,0.20719647,,,-0.129554,,34.489,,,,18.066,2.183,17561892864,,45033708,10.91,,,-,,,,,1546214400,-,,,1,,,1569801600,492520000,1609372800,,2,4.099858,,0.06122,,110434000,,,-,,,,,,4.453,,
MEDI,2.03207,0.20719647,,,-0.152226,,12.268,,,0.516,36.339,10.411,3780276480,,10577536,2.64,,,-,,,,,1546214400,-,,,1,,,1569801600,78710000,1609372800,,2,17.443756,,0.21677999,,18040500,,,-,,,,,,4.328,,
TGS,-0.058615267,0.20719647,,,0.982186,,12.918,,,0.212,55.606,42.847,27476828160,,115594568,2.07,,,-,,,,,1546214400,2006-06-15,4:1,,1,,,1569801600,167602000,1609372800,,2,18.865149,,0.26136,,117165000,,,-,,,,,,1.586,,
BWO,0.23495364,0.20719647,,,2.017004,,5.672,,,-0.575,16.485,10.151,11216549888,,88703800,0.68,,,-,,,,,1546214400,2016-12-02,1:50,,1,,,1569801600,82800000,1609372800,,2,9.370593,,0.07493,,231804000,,,-,,,,,,0.447,,
WRE-ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLA NOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPCC,-0.3214286,0.20719647,,,0.924721,,5.028,,,,63.767,9.374,1809251456,,49187490,0.34,,,-,,,,,1546214400,-,,,1,,,1569801600,-30705000,1609372800,,2,3.7788386,,-0.15909,,83901904,,,-,,,,,,-0.395,,
SOLON,0.045946002,0.20719647,,,-0.440968,,15.541,,,-0.685,25.685,4.061,5226292224,,19437820,2.79,,,-,,,,,1546214400,2017-03-27,1:200,,1,,,1569801600,73414000,1609372800,,2,2.5352294,,0.05704,,69876800,,,-,,,,,,1.159,,
LAVO-ME,-0.747191,0.20719647,,,,,-0.498,,,,-0.169,-37.344,3558652,,37822171,,,,-,,,,,1546214400,-,,,1,,,1561852800,-21206840,1609372800,,4,,,0,,151838000,,,-,,,,,,-0.758,,
NEL,0.7324562,0.20719647,,,0.090688,,1.602,,,,-64.335,24.038,11468233728,,1125639060,-0.06,,,-,,,,,1546214400,2013-08-16,1:10,,1,,,1569801600,-230920992,1609372800,,2,6.423221,,-0.48402,,1311100032,,,-,,,,,,-0.196,,
