ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
EAM,EAM Solar,Utilities,14.15,14.15,14.3,0,,96.96,,,-0.08710000000000001,0.2094,-0.6607
EIOF,Eidesvik Offshore,Energy,5.64,5.36,5.64,0,,350.53,,,0.0144,0.07629999999999999,0.2314
EMGS,Electromagnetic Geoservices,Energy,2.02,1.95,2.03,0,,264.56,,,0.0125,-0.0335,0.4532
ELE,Element,Materials,4.69,4.5,4.5,0,,87.16,,,-0.23579999999999998,-0.1515,-0.66
ELK,Elkem,Materials,22.26,22.3,22.3,0,,12939.97,,,-0.0973,-0.10099999999999999,-0.1691
EMAS,EMAS Offshore,Energy,0.29,,,0,,127.15,,,,,
ENDUR,Endúr,Energy,1.12,0.98,0.98,0,LP,237.09,,,-0.122,-0.0429,-0.1814
ENTRA,Entra,Real estate,160.4,160.4,160.4,0,,29196.79,,,0.0525,0.10619999999999999,0.3726
EPIC-ME,Epic Gas,Energy,14.0,13.1,13.9,0,LP,1492.63,,,-0.041100000000000005,-0.041100000000000005,0.6470999999999999
EQNR,Equinor,Energy,161.5,161.5,161.5,0,,533687.30,,,-0.1072,-0.07980000000000001,-0.1416
EPR,Europris,Consumer discretionary,33.74,33.8,33.8,0,,5594.72,,,0.0132,-0.022000000000000002,0.29469999999999996
FJORD,Fjord1,Industrials,40.8,40.1,40.1,0,,4075.64,,,0.124,0.1148,0.0044
FKRAFT,Fjordkraft Holding,Utilities,73.4,73.4,73.4,0,,7670.02,,,0.2072,0.2655,1.1168
FLNG,FLEX LNG,Energy,69.0,69.9,69.9,0,,3733.63,,,-0.21050000000000002,-0.2409,-0.38799999999999996
FRO,Frontline,Energy,76.8,77.0,77.0,0,,15182.77,,,-0.31489999999999996,-0.3075,0.64
FUNCOM,Funcom,Communication services,16.89,16.9,16.9,0,,1305.38,,,0.19870000000000002,0.2844,0.2284
GIG,Gaming Innovation Group,Consumer discretionary,6.5,6.51,6.51,0,,580.38,,,-0.15689999999999998,-0.20629999999999998,-0.6546
RISH,GC Rieber Shipping,Industrials,9.6,9.6,9.6,0,,825.91,,,-0.0204,0.1707,0.0971
